unit,n_spk,M,mu,p_rayleigh,cell_type,M_real_same_n,M_null_median,p_shuffle
129,2545,0.03591434236506941,-2.6280536797337657,0.03752894533206513,excitatory,0.025960642611036134,0.02088189379286568,0.3521594684385382
135,12080,0.2425191365335144,-2.3963232991165286,2.73784794106947e-309,inhibitory,0.2416357750329422,0.020258896270564965,0.0033222591362126247
136,33513,0.4002876375253987,-1.9501640374802796,0.0,inhibitory,0.38934609196297026,0.01974866859487734,0.0033222591362126247
137,1854,0.05773075202986557,3.101652963330926,0.002072323454680091,excitatory,0.05773075202986558,0.019283740249312287,0.009966777408637873
140,17681,0.16814787607816845,1.490685607941847,7.815547860760397e-218,inhibitory,0.17317337845419617,0.019986989464631816,0.0033222591362126247
143,1406,0.07069669053656968,1.503925662919185,0.00088739619550217,excitatory,0.07069669053656968,0.02303623985465976,0.006644518272425249
144,225,0.1373781174177928,-3.061284781237041,0.01431613426174046,excitatory,0.1373781174177928,0.05687363518214146,0.026578073089700997
145,1508,0.1580832288533361,-3.0501613896703206,4.299777408510058e-17,excitatory,0.1580832288533361,0.021439877631890307,0.0033222591362126247
146,2381,0.11480768187585988,-0.847645098653025,2.3459663626387838e-14,excitatory,0.11764329105284149,0.019219021283362954,0.0033222591362126247
147,137,0.14385375587167293,-1.811707105621051,0.05871472559174917,excitatory,0.14385375587167293,0.07062718538339154,0.07641196013289037
148,2046,0.5011742080114269,-2.0514071054020744,6.513065831454086e-224,excitatory,0.49857012392757366,0.019321891649319897,0.0033222591362126247
151,3180,0.19633077557451661,-2.133246089781758,5.835940818357137e-54,excitatory,0.21928756808855693,0.02019217865603612,0.0033222591362126247
161,2418,0.03773034576922346,0.35167925420628166,0.031993772569308694,excitatory,0.042648196746821465,0.019834926120822754,0.03322259136212625
163,1392,0.11728193569776975,-2.0514039713491568,4.83670081764141e-09,excitatory,0.11728193569776975,0.02404524395617795,0.0033222591362126247
168,30917,0.4086814582329219,-2.0108975560636346,0.0,inhibitory,0.430217708015253,0.01986680588789038,0.0033222591362126247
169,555,0.23379113515768396,-2.430982483106648,6.691497190879496e-14,excitatory,0.233791135157684,0.03445782741300524,0.0033222591362126247
171,1276,0.241185638304425,2.432986770081491,5.810894967631323e-33,excitatory,0.241185638304425,0.024289275285399623,0.0033222591362126247
172,357,0.11019093351526289,1.4967003791539526,0.013105688152000977,excitatory,0.11019093351526289,0.04391237262298839,0.013289036544850499
173,2603,0.11376558267257517,2.313672615095273,2.3377017517116165e-15,excitatory,0.12185841413586067,0.021390276052418385,0.0033222591362126247
175,1357,0.09803492886399506,-2.020631580892646,2.167535488556824e-06,excitatory,0.09803492886399506,0.023267194513837294,0.0033222591362126247
176,4057,0.06759192730535768,-1.6084246569995426,8.918940640245298e-09,excitatory,0.07937474832018036,0.0203359299849276,0.0033222591362126247
177,1063,0.06820364658852797,1.261477141354601,0.007120360913995059,excitatory,0.06820364658852798,0.027455874494209928,0.009966777408637873
178,22434,0.302039342818225,1.291030581253991,0.0,inhibitory,0.31502799239944596,0.02002452422079155,0.0033222591362126247
179,2005,0.07624018051926279,-2.416262112514688,8.682569247386266e-06,excitatory,0.07629303947430556,0.02090024096661742,0.0033222591362126247
180,3674,0.18758605797595382,3.0785432305384495,7.132731172577065e-57,excitatory,0.18562642807185506,0.020550511584529266,0.0033222591362126247
181,3242,0.0756992313218091,1.2726486980137197,8.545412182664972e-09,excitatory,0.07628938981948873,0.020845870223470203,0.0033222591362126247
182,2184,0.15560273611954975,-2.0761045042531516,1.083273255106285e-23,excitatory,0.15468568324034368,0.017633765301562822,0.0033222591362126247
183,2269,0.10720220934675649,2.2009758547539517,4.734903545929844e-12,excitatory,0.1026214323501588,0.019911022056091777,0.0033222591362126247
186,895,0.07534801573096382,2.732187405210904,0.006212421585065848,excitatory,0.07534801573096382,0.029624304039324548,0.016611295681063124
