unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_spikes_run,is_place_cell
98,left,4.757471968167842,1.6533618261749352,1.34,1.58,1.58,0.24,84,True
101,left,19.91149128067728,0.9720355068085201,0.02,0.62,0.30000000000000004,0.6,527,True
103,left,4.5933956063091355,0.5745143568919869,0.98,1.58,1.46,0.6000000000000001,124,True
112,left,43.49061536807736,2.052987028684394,0.02,0.26,0.1,0.24000000000000002,700,True
113,left,18.519294204303577,0.6632345026911688,0.02,0.94,0.18,0.9199999999999999,830,True
114,left,13.14705471319233,1.3292577665811671,1.1400000000000001,1.58,1.42,0.43999999999999995,338,True
116,left,8.877850793904154,0.7235866892388106,0.02,0.45999999999999996,0.30000000000000004,0.43999999999999995,277,True
117,left,1.867681428192558,0.8523270196219218,0.02,0.5800000000000001,0.18,0.56,50,True
118,left,18.24054390812493,0.8696148318291537,0.42000000000000004,1.18,0.9,0.7599999999999999,547,True
123,left,27.825982555770505,0.7556772886622313,0.14,0.74,0.33999999999999997,0.6,798,True
125,left,9.631316694269458,0.26620686531226,0.38,1.58,1.5,1.2000000000000002,493,False
129,left,2.8847578348338208,0.14122663900361052,0.02,1.3,0.33999999999999997,1.28,119,False
137,left,23.352569347184527,0.776309172252341,0.30000000000000004,1.02,0.5800000000000001,0.72,717,True
143,left,5.487258719986062,1.4317987305783815,0.45999999999999996,0.78,0.62,0.32000000000000006,104,True
145,left,20.199196002279958,1.2800119527558707,0.98,1.5,1.18,0.52,511,True
146,left,5.445504226383479,0.21353168661537283,0.26,1.58,1.5,1.32,355,False
148,left,2.5741459138604306,0.4760892474996023,0.02,0.8200000000000001,0.33999999999999997,0.8,109,False
161,left,2.0290990471449892,0.3159076002644967,0.02,0.33999999999999997,0.14,0.31999999999999995,76,False
163,left,5.533021109393995,0.47508714218659276,0.8200000000000001,1.5,1.18,0.6799999999999999,202,False
169,left,1.2607884856129334,0.4958797834324158,0.33999999999999997,0.78,0.5,0.44000000000000006,37,False
171,left,2.7220142198078694,0.9590021855548467,1.5,1.58,1.58,0.08000000000000007,58,False
173,left,19.33931712458902,1.4808502395436187,0.38,0.9,0.66,0.52,439,True
175,left,1.0303932209049518,1.341850567060591,0.02,0.38,0.02,0.36,21,True
176,left,7.3871762114726796,0.13711312570526477,0.86,1.58,1.34,0.7200000000000001,372,False
179,left,33.97042306068875,0.9772672498815467,0.9,1.46,1.18,0.5599999999999999,932,True
180,left,1.4197564728944565,1.1180464150612193,0.18,0.78,0.26,0.6000000000000001,46,True
181,left,6.965907757527902,2.182805810214607,0.02,0.1,0.02,0.08,51,False
182,left,29.63942239236262,1.0106217682440692,0.74,1.34,1.1,0.6000000000000001,841,True
186,left,2.6885670913465756,1.0322132114882745,1.5,1.58,1.58,0.08000000000000007,46,False
201,left,4.983342520641913,0.7505077828246708,0.02,0.26,0.06,0.24000000000000002,124,True
202,left,6.879395340524286,0.18481953768481335,0.14,1.5,0.62,1.3599999999999999,433,False
203,left,6.741327432978306,1.0380788202644777,0.02,0.38,0.14,0.36,185,True
204,left,4.608046231547809,0.6697466915231273,0.02,0.22,0.02,0.2,113,True
211,left,6.623785596499413,1.444119444646842,1.5,1.58,1.58,0.08000000000000007,88,False
215,left,15.907304165658795,1.189600578909264,1.06,1.58,1.46,0.52,501,True
217,left,3.8297119139869107,3.083575834065896,1.5,1.58,1.58,0.08000000000000007,28,False
219,left,3.3459906325472653,0.6485085423822132,1.18,1.54,1.34,0.3600000000000001,90,True
220,left,1.1076976941790415,2.159702007111379,1.54,1.58,1.58,0.040000000000000036,9,False
222,left,10.876311944315923,0.8752133461292215,0.02,0.18,0.02,0.16,207,True
225,left,3.4616239970566816,1.5043301051550841,1.5,1.58,1.58,0.08000000000000007,40,False
229,left,6.085735040774775,1.159528812107834,0.5,0.98,0.7,0.48,137,True
238,left,14.359407744062668,1.2792928208655034,0.5,1.06,0.8200000000000001,0.56,329,True
240,left,13.493945193230585,0.627626199720382,0.42000000000000004,1.06,0.74,0.64,388,True
242,left,5.5024801127301,0.8677149584779562,0.33999999999999997,0.62,0.45999999999999996,0.28,112,True
257,left,6.408630804033674,0.07913494447584615,0.38,1.58,0.8200000000000001,1.2000000000000002,368,False
258,left,11.375278481542994,0.2502992083562375,0.30000000000000004,1.58,0.74,1.28,555,False
259,left,3.879800971244035,0.050682281173530644,0.02,1.58,0.22,1.56,248,False
263,left,5.168015088127854,1.1923754281704357,0.18,0.5800000000000001,0.33999999999999997,0.4000000000000001,114,True
268,left,3.5641708001338683,0.37421706651743575,0.54,1.5,1.3,0.96,122,False
269,left,1.3617491425007946,0.6269371443288174,0.54,1.18,0.78,0.6399999999999999,35,True
270,left,1.0425401927672096,0.825821012988488,1.46,1.58,1.58,0.1200000000000001,25,True
272,left,3.389670042733785,0.5977460290258687,1.1,1.58,1.58,0.48,97,True
