session,maze,track_len,unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_field_spikes,is_place_cell,slope_cycles,slope_deg,phi0,rho,pval
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,204,right,3.5343303051619337,0.48570021508916617,0.02,0.22,0.1,0.2,67,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,215,right,3.174920912405054,0.6865318507315149,1.1400000000000001,1.58,1.34,0.43999999999999995,53,True,0.0475000000000001,17.100000000000037,-1.6012646204588217,0.024789482624631265,0.8862275449101796
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,216,right,6.385917364335542,1.5321581207803687,0.33999999999999997,0.78,0.62,0.44000000000000006,136,True,0.45999999999999996,165.6,-0.9809985278361985,0.11031042590946201,0.17764471057884232
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,219,right,7.144551521297869,0.6014718766288565,0.02,0.30000000000000004,0.1,0.28,151,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,220,right,7.5141451115599835,1.2750669987602583,0.8200000000000001,1.58,1.22,0.76,180,True,0.6225,224.10000000000002,-2.2038919665814265,0.18423921488273443,0.033932135728542916
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,221,right,1.2460886281454582,2.0593185230601048,0.02,0.18,0.06,0.16,25,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,222,right,1.8813569806031047,0.6426836132664764,0.02,0.42000000000000004,0.22,0.4,44,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,225,right,2.6677464189064843,1.3865709984175167,0.30000000000000004,0.66,0.45999999999999996,0.36,36,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,229,right,1.124609477464661,0.4726501402068983,0.30000000000000004,0.78,0.42000000000000004,0.48,20,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,237,right,3.690010849630035,1.2277161637756848,1.34,1.58,1.5,0.24,26,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,238,right,1.6239652848966584,0.5429855863107954,0.02,0.26,0.1,0.24000000000000002,36,False,,,,,
