session,unit,direction,lo,hi,peak_pos,width,peak_rate,si,n_spikes,mrl,slope,phi0,rho,p,n
Cicero_09102014,2,left,200.0,236.0,214.0,36.0,29.948640560899253,2.584693716302951,507,0.11075144699262333,-4.926017280828796,4.690879931994624,-0.2494055477277643,1.175165920130894e-08,507
Cicero_09102014,3,left,112.0,156.0,138.0,44.0,6.349612124776248,1.964389158926457,176,0.2074507151388521,-10.078229232716057,6.16307357022838,-0.02888468759297144,0.6957556428087546,176
Cicero_09102014,4,left,108.0,160.0,142.0,52.0,6.420401755163191,1.1664218497670649,195,0.2526081941120911,-1.6964600329384885,4.523647255054345,-0.13115770213196593,0.04700976125987033,195
Cicero_09102014,10,left,92.0,128.0,110.0,36.0,7.807933464525472,1.4387164520506595,229,0.2584311948757283,-3.5688492544780055,5.025350912360383,-0.3774149466225589,2.512350794070528e-08,229
Cicero_09102014,19,left,168.0,196.0,182.0,28.0,9.633882475118861,3.129416125177739,136,0.40815064705342935,-2.7646015351590174,4.08119849628078,-0.5045946505907793,9.085989960411212e-08,136
Cicero_09102014,20,left,12.0,40.0,26.0,28.0,11.365199798564792,1.787860393361681,198,0.29570922383741977,-2.978229835603124,4.310355295031157,-0.4645836215521548,1.1915868292078358e-10,198
Cicero_09102014,21,left,72.0,116.0,94.0,44.0,14.868073706033316,1.6963559036418596,491,0.3151896110879472,-4.222300526424681,5.7772855159800685,-0.7160397306694115,0.0,491
Cicero_09102014,25,left,104.0,140.0,126.0,36.0,15.943844237578626,1.604734879129862,500,0.1335006865847906,3.93327400229442,4.565618321364976,0.06340661446423058,0.16101756084352337,500
Cicero_09102014,26,left,240.0,280.0,262.0,40.0,7.91490583095313,1.3405283140781339,125,0.13164999040661607,4.9637163926718735,4.308256435776649,0.02610583702575134,0.766292126938074,125
Cicero_09102014,38,left,72.0,124.0,94.0,52.0,8.327677872770762,0.9288770911592242,378,0.10961392379221412,-5.001415504514951,5.680808553450816,-0.5182821792684079,0.0,378
Cicero_09102014,40,left,240.0,288.0,270.0,48.0,4.96750987265046,2.8693510792364174,97,0.09592437922410778,-6.195220712879072,5.789221956538927,0.19476470942252944,0.06043117224471928,97
Cicero_09102014,42,left,240.0,288.0,262.0,48.0,2.8039950576656287,1.945919593441139,52,0.3056183473445104,2.6766369408585047,4.629742149478429,0.46966403915014887,0.001165294379816606,52
Cicero_09102014,43,left,88.0,124.0,110.0,36.0,1.9281875528132277,1.1370827252050413,48,0.48057311031495015,-2.0985838925979823,5.529056082704539,-0.29124450364683013,0.035584040561047026,48
Cicero_09102014,47,left,224.0,284.0,254.0,60.0,4.358886135644589,0.7575243498653177,108,0.09241870867573787,5.730265000147782,4.39371887559242,0.09452872206570936,0.34720268502828944,108
Cicero_09102014,49,left,204.0,260.0,226.0,56.0,5.977542003135368,2.4044861473484582,138,0.22602192446919528,-2.5258404934861933,4.977128229299874,-0.33804386718339463,3.133995796233968e-05,138
Cicero_09102014,53,left,64.0,124.0,98.0,60.0,6.88651228701394,0.7731629482644751,258,0.02656925235320749,4.3605306031826325,4.580371825849563,0.1621717682528369,0.008085425593157725,258
Cicero_09102014,54,left,84.0,128.0,118.0,44.0,2.2206890114034987,1.2449772802126766,75,0.10989263906849152,5.202477434344696,4.059251899945242,-0.09163841303662892,0.3933145537002929,75
Cicero_09102014,58,left,204.0,248.0,226.0,44.0,2.278076789017467,0.6216876758475897,42,0.1608658611663832,-4.775220833456485,5.119194908148993,-0.4822759307984997,0.0015716391906124283,42
Cicero_09102014,59,left,176.0,220.0,202.0,44.0,3.4623414687819882,2.1339623141627717,85,0.4050780661528036,-4.5741589036267385,5.7214317775730095,-0.7128425806983163,2.133877297083586e-09,85
Cicero_09102014,61,left,196.0,236.0,214.0,40.0,23.715059085540954,0.9231502863441192,435,0.04918746087909908,-5.805663223833937,5.500505942499817,-0.2057862250186813,1.502258837349224e-05,435
Cicero_09102014,70,left,172.0,216.0,198.0,44.0,12.613513349089057,2.6597113035433693,292,0.15924628733163135,-4.762654462842127,5.304186252721996,-0.6610068972713361,0.0,292
