session,unit,cell_type,channel,theta_delta,n_spikes,rate,mrl,ppc,pref,p_rayleigh,mrl_null_mean,p_shuffle,sig
Achilles-11012013,3,excitatory,115,9.129317340045104,3950,1.308409457252682,0.08970180830325628,0.007795223330172914,4.890068568799088,1.4809851443816055e-14,0.014446806694193097,0.004975124378109453,True
Achilles-11012013,4,excitatory,115,9.129317340045104,5778,1.0446035776584606,0.027803706057320025,0.0006000796599403278,5.180058950824679,0.011480135913236733,0.011838763771659646,0.01990049751243781,True
Achilles-11012013,5,excitatory,115,9.129317340045104,1158,0.6095409162475616,0.10720383330769336,0.010638290797104726,3.8289493437108213,1.6069582022422703e-06,0.0259828453077567,0.004975124378109453,True
Achilles-11012013,6,excitatory,115,9.129317340045104,643,0.5539568563434081,0.16302338058817017,0.025060386828081357,4.161029410529912,3.422550733141523e-08,0.0356155536417298,0.004975124378109453,True
Achilles-11012013,7,excitatory,115,9.129317340045104,2437,1.270052087819806,0.08684765611847034,0.007135102612752076,0.9965365940147618,1.0086082809051771e-08,0.018742272459757393,0.004975124378109453,True
Achilles-11012013,8,excitatory,115,9.129317340045104,2324,0.6725780450877827,0.1285120551822348,0.01609197998808607,4.458520483440713,1.841982984656282e-17,0.018269022944009092,0.004975124378109453,True
Achilles-11012013,9,excitatory,115,9.129317340045104,494,0.2360684508797718,0.045425514837887,3.92653848961941e-05,4.092384323580588,0.36100916190415394,0.04135458056564256,0.4079601990049751,False
Achilles-11012013,10,excitatory,115,9.129317340045104,2722,1.3550116135672157,0.15257506472545773,0.02292019379765199,4.181493297341573,2.1069643854116097e-28,0.01672491483049415,0.004975124378109453,True
Achilles-11012013,11,excitatory,115,9.129317340045104,2477,0.8385112062358403,0.01649920232532975,-0.0001315435990101548,4.276785929967094,0.5095599173608656,0.01727594201182647,0.4925373134328358,False
Achilles-11012013,12,excitatory,115,9.129317340045104,2373,1.005345287804741,0.19242886444567298,0.0366228935328427,4.665207557888198,3.069488753154502e-39,0.018440181461987906,0.004975124378109453,True
Achilles-11012013,13,excitatory,115,9.129317340045104,2656,1.913882581297042,0.0454742276575497,0.0016920364188589632,3.1296639562023087,0.004110692856937693,0.017542679921450862,0.004975124378109453,True
Achilles-11012013,14,excitatory,115,9.129317340045104,2155,0.48191052329475326,0.1627358949277605,0.02603101373168931,4.460446975733492,1.132459907063182e-25,0.019617326455367352,0.004975124378109453,True
Achilles-11012013,15,excitatory,115,9.129317340045104,3630,0.5549942798583186,0.10619334054382042,0.011004575045565335,4.970910697154249,1.492647495816878e-18,0.014719847856422642,0.004975124378109453,True
Achilles-11012013,16,excitatory,115,9.129317340045104,476,0.2967031252644108,0.1448626476758621,0.01892410287416971,4.147457270334164,4.400260475708985e-05,0.04081436593153161,0.004975124378109453,True
Achilles-11012013,17,excitatory,115,9.129317340045104,592,0.21076077723971762,0.1903214197366177,0.03459148518418374,5.045725661431485,4.067804453710414e-10,0.036657184256759186,0.004975124378109453,True
Achilles-11012013,18,excitatory,115,9.129317340045104,1860,1.1508029848427224,0.1232203347147031,0.014653494701559144,5.051436100014548,4.915620955714908e-13,0.0215692854273058,0.004975124378109453,True
Achilles-11012013,19,excitatory,115,9.129317340045104,1303,0.3293546653652789,0.11450600357524218,0.012353646072019745,3.915797098837398,3.620023801175918e-08,0.023851204018219337,0.004975124378109453,True
Achilles-11012013,20,excitatory,115,9.129317340045104,2273,1.0293425317417504,0.12512977670553538,0.015224211661431007,4.530218505803293,3.063203775455124e-16,0.018564140435972258,0.004975124378109453,True
