session,unit,cell_type,n_RUN,mrl_RUN,p_RUN,ppc_RUN,pref_RUN,n_REM,mrl_REM,p_REM,ppc_REM,pref_REM,n_nonREM,mrl_nonREM,p_nonREM,ppc_nonREM,pref_nonREM,mrl_null_mean,mrl_null_p95,p_shuffle,sig_RUN,sig_REM,sig_nonREM
Achilles-10252013,78,excitatory,187,0.08757439111564133,0.2385758312907929,0.00233416254905637,5.726870536185152,470,0.03132739886529526,0.6307261737660419,-0.0011486976924462854,2.2243823085867254,645,0.14830157260818555,6.453907987706858e-07,0.020474712581598293,2.0090729038085704,0.06430891981400505,0.13539081140482162,0.23880597014925373,False,False,True
Achilles-10252013,79,excitatory,646,0.17952621560416498,7.779358198770583e-10,0.03072924296060918,3.790646621184868,620,0.1566005747052416,2.2967123730923876e-07,0.022947849432580634,4.667290371576708,1224,0.05913409217936632,0.013813219631068815,0.002682038601833539,1.9347627604454618,0.03520454316806217,0.06809537626448818,0.004975124378109453,True,True,True
Achilles-10252013,82,excitatory,1668,0.13383241513717153,9.342157793225971e-14,0.01732197983775383,4.11127416092487,557,0.03413863077976349,0.5226935028093473,-0.0006310189134622707,6.128379626423751,906,0.08841850929211455,0.0008309637221489318,0.006721498899014818,0.9366076230523848,0.02177324144340866,0.04016603456229022,0.004975124378109453,True,False,True
Achilles-10252013,83,inhibitory,3281,0.5327255038571249,0.0,0.2835781077227727,4.066400287222299,6639,0.6578479400720327,0.0,0.43267845939655536,3.6521778933670173,1868,0.173511159517311,2.489333746953391e-25,0.029586629237875722,3.4295229273125947,0.014691074154546617,0.030398434794669624,0.004975124378109453,True,True,True
Achilles-10252013,84,excitatory,270,0.050237929599095545,0.5063091069055303,-0.0011842402081450047,1.470819712079549,366,0.0777899088598225,0.10914366566769877,0.0033281227147220096,5.6474286821526,735,0.15919929935371427,7.304415608721681e-09,0.024016548272907962,1.7348849799004293,0.054113297102394695,0.10673682548668005,0.5124378109452736,False,False,True
Achilles-10252013,86,excitatory,432,0.03708535338836471,0.5523040477121459,-0.0009416711732574615,2.3919679121671256,419,0.23774040355704798,3.7863105189298217e-11,0.05426337149180169,0.8074738896418956,591,0.15538924943876709,5.888521435836237e-07,0.022491828703585993,1.8075938534520033,0.0420716007376763,0.08204531392819976,0.5223880597014925,False,True,True
Achilles-10252013,87,excitatory,143,0.17977790712738229,0.009626551401090392,0.0255054486790672,2.983940353531611,213,0.19499739606060776,0.0002864136395221483,0.03348636175565535,3.4226115123076855,421,0.1043151753157078,0.010170855169963126,0.008526612124482916,2.641316203339286,0.06855595278335137,0.15090597956304405,0.014925373134328358,True,True,True
Achilles-10252013,89,excitatory,145,0.23219726369957713,0.0003714583590027075,0.04734553850060965,2.5733877993792382,252,0.14311590704268032,0.005640239774258538,0.01657970134605409,0.8842444221524437,367,0.10397711483909308,0.018815670324815337,0.008108538881328241,2.1768555276875157,0.0708568215503003,0.14727702454393324,0.004975124378109453,True,True,True
Achilles-10252013,90,excitatory,112,0.14482148606122902,0.09528846856754206,0.012153202129712328,4.290312138590409,611,0.011043417611221008,0.9282472865260197,-0.0015171872601321477,0.7153298813149581,415,0.06250282347581862,0.19772659653244345,0.001500580244242699,2.693806865593681,0.09046785481466639,0.17176432432367644,0.1044776119402985,False,False,False
Achilles-10252013,92,excitatory,2259,0.15963102411883534,6.991930650416902e-26,0.025050479301379307,4.172211348662607,356,0.09929464514118874,0.029786772664655077,0.007070298177809568,5.951781216004571,813,0.1816583397174096,1.8113393033483185e-12,0.03180886538443862,1.8368441234315283,0.019564011942334255,0.03536756269592088,0.004975124378109453,True,True,True
Achilles-10252013,93,excitatory,840,0.15197006200611168,3.393878326491204e-09,0.021930531331059357,5.487743996482411,1111,0.06080498418438161,0.016414482336259164,0.0027996760531058366,4.7135750156208776,1653,0.029143359739758515,0.24565556475966477,0.0002445226659626973,2.296756679474115,0.029661266862583125,0.06109045958701806,0.004975124378109453,True,True,False
Achilles-10252013,94,excitatory,663,0.19941928284702848,2.767118283174796e-12,0.03831754893673859,4.115933954558496,370,0.07147743648719318,0.1510418061082985,0.002412842419807241,0.8076775485866299,1015,0.1411303871517359,1.51457603153515e-09,0.018951235670870658,2.4726371444924093,0.03254777950520744,0.05852049197846841,0.004975124378109453,True,False,True
Achilles-10252013,95,excitatory,2080,0.025827655856728474,0.24972402157720597,0.0001863881859891723,4.40968929189568,204,0.20730504448117243,0.00014466368292908392,0.038260974479495266,4.4182422444833245,546,0.12855025754209384,0.00011715997576904008,0.014720627739302211,1.0664980073256818,0.018905098966674114,0.037148584650273986,0.22885572139303484,False,True,True
Achilles-10252013,96,excitatory,601,0.06422645408914979,0.08377319306033555,0.002465245800540441,4.641677250343672,364,0.13117329055140511,0.0018703803980971434,0.014499011856987157,5.706786334807921,537,0.14785787810924897,7.552435356861698e-06,0.020037067701281035,2.5191296560476135,0.03498667476920678,0.07258371968580346,0.08955223880597014,False,True,True
