session,unit_id,unit_name,layer,hemisphere,n_spikes,grid_score,grid_spacing,grid_orientation,shuffle_p,shuffle_z,arena_cm,duration_s,coverage
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,3,t3c1,MEC LIII,,525,-0.06379622048542323,66.12653398427288,20.27677182875267,,,100.0,599.98,0.8512820512820513
sub-10884/sub-10884_ses-13070402_behavior+ecephys.nwb,0,t2c1,MEC LIII,,831,0.278122471161893,53.79872342608335,-22.102626449228225,,,100.0,599.98,0.889375
sub-10884/sub-10884_ses-13070402_behavior+ecephys.nwb,1,t3c1,MEC LIII,,1635,0.10062711698532123,51.744613522825524,-27.095089041712953,,,100.0,599.98,0.889375
sub-10884/sub-10884_ses-14070405_behavior+ecephys.nwb,0,t1c1,MEC LIII,,543,-0.09151578841994734,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.8666666666666667
sub-10884/sub-10884_ses-14070405_behavior+ecephys.nwb,1,t1c2,MEC LIII,,1154,-0.14489077547760662,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.8666666666666667
sub-10884/sub-10884_ses-14070405_behavior+ecephys.nwb,2,t3c3,MEC LIII,,641,-0.043949979953595654,121.98872898755852,-15.830315486258002,,,100.0,599.98,0.8666666666666667
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,0,t1c1,MEC LIII,,609,-0.09464622133437332,121.98872898755852,-14.169684513741998,,,97.35577930581871,599.96,0.9301282051282052
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,1,t3c2,MEC LIII,,354,0.18694942896087943,73.43386811461404,-3.1281098890540115,,,97.35577930581871,599.96,0.9301282051282052
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,2,t3c3,MEC LIII,,489,0.37634270505978495,61.37387183690091,18.453503105504506,0.09900990099009901,1.6381097334245165,97.35577930581871,599.96,0.9301282051282052
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,3,t3c4,MEC LIII,,471,0.8947228626938495,121.98872898755852,-14.169684513741998,0.009900990099009901,3.6660405404239116,97.35577930581871,599.96,0.9301282051282052
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,0,t3c1,MEC LII,,1224,0.2550489879931999,77.49170673352648,-24.347505999540342,,,98.21123868264334,599.86,0.945
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,1,t3c2,MEC LII,,712,0.3642141351469074,70.65254488087874,-23.223475309738706,0.13861386138613863,1.339032013560707,98.21123868264334,599.86,0.945
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,2,t3c3,MEC LII,,523,-0.36544794437481193,99.67638937907562,22.81967471787763,,,98.21123868264334,599.86,0.945
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,3,t3c5,MEC LII,,467,-0.3307908824675334,65.21246757161805,-20.76431976313629,,,98.21123868264334,599.86,0.945
sub-10884/sub-10884_ses-19070401_behavior+ecephys.nwb,0,t1c1,MEC LIII,,454,-0.11252002162693252,57.62771906114492,22.869208449226743,,,99.35569171525897,599.98,0.88875
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,0,t3c1,MEC LIII,,732,0.18182674563476875,123.74368670764582,-15.0,,,98.4925920349679,599.98,0.94
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,1,t3c2,MEC LIII,,802,-0.10018608191580064,85.55297219187291,17.68225791770672,,,98.4925920349679,599.98,0.94
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,2,t3c3,MEC LIII,,371,0.9063785657107671,70.34212145047248,-21.938221032515283,0.009900990099009901,3.94492905241902,98.4925920349679,599.98,0.94
sub-10884/sub-10884_ses-03080409_behavior+ecephys.nwb,3,t4c1,MEC LIII,,644,0.9523762583620717,55.86688740602108,22.971887842211277,0.009900990099009901,4.315261245188118,98.4925920349679,599.98,0.94
sub-10884/sub-10884_ses-04080402_behavior+ecephys.nwb,0,t3c1,MEC LII,,1644,-0.2549012890985048,48.40192494242287,-6.7630068038807805,,,98.38247516616775,599.94,0.93625
sub-10884/sub-10884_ses-04080402_behavior+ecephys.nwb,1,t3c2,MEC LII,,543,0.9675693194109591,80.41045382127702,-18.62188027334746,0.019801980198019802,3.089013400681029,98.38247516616775,599.94,0.93625
sub-10884/sub-10884_ses-04080402_behavior+ecephys.nwb,2,t3c4,MEC LII,,584,1.0030752506797078,67.594625799414,-16.817544848971323,0.009900990099009901,3.4934478969804723,98.38247516616775,599.94,0.93625
sub-10884/sub-10884_ses-31070404_behavior+ecephys.nwb,0,t4c1,MEC LIII,,1569,0.019818334157184845,60.173177350021184,-18.081670633685302,,,97.9255670357912,599.98,0.92875
sub-10884/sub-10884_ses-05080401_behavior+ecephys.nwb,0,t2c1,MEC LII,,545,0.025351591248496636,58.29934081639914,-10.199455862432453,,,98.70354014891012,599.98,0.9075
sub-10884/sub-10884_ses-05080401_behavior+ecephys.nwb,1,t3c2,MEC LII,,433,0.8224383333375203,64.87965277158152,19.970930626449785,0.0297029702970297,2.9465706112274224,98.70354014891012,599.98,0.9075
sub-10884/sub-10884_ses-05080401_behavior+ecephys.nwb,2,t3c4,MEC LII,,1272,1.159651257778117,72.81090437388285,28.234143409257115,0.009900990099009901,5.112343364912713,98.70354014891012,599.98,0.9075
sub-10884/sub-10884_ses-16070401_behavior+ecephys.nwb,0,t1c1,MEC LIII,,576,0.14336284762521742,52.448087459158366,-17.571247024320073,,,100.0,599.98,0.885625
sub-10884/sub-10884_ses-16070401_behavior+ecephys.nwb,1,t2c1,MEC LIII,,648,0.6265346259419567,44.37795923353067,26.770404479877737,0.019801980198019802,2.784305495526058,100.0,599.98,0.885625
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,0,t1c1,MEC LII,,1686,0.3320195664509041,57.569001236855605,15.213383223174512,0.1188118811881188,1.240499540314836,100.0,599.98,0.9175
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,1,t2c1,MEC LII,,865,0.6204820306871357,51.480978719160866,13.349909255236076,0.019801980198019802,2.2364010368207743,100.0,599.98,0.9175
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,2,t2c3,MEC LII,,1454,0.5828361736389772,54.646641863735134,18.313524344371,0.039603960396039604,2.4476779085802636,100.0,599.98,0.9175
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,3,t3c1,MEC LII,,656,1.2559878826280393,52.48827557618933,16.76056016370816,0.009900990099009901,4.9538071884955635,100.0,599.98,0.9175
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,4,t3c2,MEC LII,,752,0.38050175040637907,54.05041143018229,14.143951669133154,0.12871287128712872,1.3443488743133223,100.0,599.98,0.9175
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,5,t3c3,MEC LII,,788,0.9412095480824213,56.87172801779838,11.910987423439758,0.019801980198019802,3.6274991715222056,100.0,599.98,0.9175
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,6,t3c4,MEC LII,,1687,-0.26501825970200343,60.554743341922794,22.161322296027166,,,100.0,599.98,0.9175
