event,epoch,start,end,dur,n_bins,n_active,n_spikes,direction,dir_mass,wcorr,slope,p_cycle,p_perm,p_max,significant,forward,speed
4474,POST_NREM,29910.51195,29910.59695,0.08499999999912689,4,17,21,leftward,0.5079707803067004,0.22824626909168313,5.444683055803957,0.6423576423576424,0.9460539460539461,0.9460539460539461,False,False,5.444683055803957
4475,POST_NREM,29913.74695,29914.00195,0.25500000000101863,13,36,62,rightward,0.5284385954207992,0.4962349738727588,2.9773633731104647,0.005994005994005994,0.04795204795204795,0.04795204795204795,True,True,2.9773633731104647
4476,POST_NREM,29920.47695,29920.76695,0.2900000000008731,14,40,85,rightward,0.3755216834839993,-0.21278076004759397,-1.2112991289412371,0.3916083916083916,0.6143856143856143,0.6143856143856143,False,False,1.2112991289412371
4477,POST_NREM,29923.13195,29923.24695,0.11500000000160071,6,18,32,leftward,0.647910894998594,0.27139508329836853,3.9350771673174867,0.31868131868131866,0.5534465534465535,0.5534465534465535,False,False,3.9350771673174867
4478,POST_NREM,29934.57195,29934.87195,0.2999999999992724,15,27,63,rightward,0.4223923947590349,-0.19904324032836712,-1.1241706959957907,0.34865134865134867,0.6133866133866134,0.6133866133866134,False,False,1.1241706959957907
4479,POST_NREM,29936.12195,29936.22195,0.09999999999854481,5,20,25,leftward,0.609882935808536,0.36246282690178755,6.43640270440226,0.19080919080919082,0.6583416583416584,0.6583416583416584,False,False,6.43640270440226
4480,POST_NREM,29938.24695,29938.37195,0.125,6,21,34,rightward,0.5205266091541653,-0.225837560505324,-2.622579730915307,0.35664335664335667,0.5744255744255744,0.5744255744255744,False,False,2.622579730915307
4481,POST_NREM,29942.13695,29942.24195,0.10499999999956344,5,17,22,leftward,0.2947394544000925,0.21732198507098882,2.1357623706421016,0.7332667332667333,0.7662337662337663,0.7662337662337663,False,False,2.1357623706421016
4482,POST_NREM,29942.26695,29942.45195,0.1849999999976717,9,30,39,leftward,0.6775990958508448,0.5626984141792835,5.620495885374668,0.025974025974025976,0.04895104895104895,0.04895104895104895,True,False,5.620495885374668
4483,POST_NREM,29942.84695,29943.22695,0.38000000000101863,19,51,122,leftward,0.4088072570723903,-0.11438996798111883,-0.5254682272737589,0.7082917082917083,0.7762237762237763,0.7762237762237763,False,True,0.5254682272737589
4484,POST_NREM,29946.88695,29947.09195,0.20500000000174623,10,29,44,rightward,0.44821343342684405,0.33996128881812776,2.712859826244257,0.13286713286713286,0.2547452547452547,0.2547452547452547,False,True,2.712859826244257
4485,POST_NREM,29952.84695,29953.14195,0.29500000000189175,15,37,72,leftward,0.6129725613841048,-0.42487232617863613,-2.544500623483921,0.02097902097902098,0.052947052947052944,0.052947052947052944,False,True,2.544500623483921
4486,POST_NREM,29956.45695,29956.74195,0.2849999999998545,14,51,103,rightward,0.4857832608650942,0.38009615760546306,1.992658861762447,0.09490509490509491,0.11488511488511488,0.11488511488511488,False,True,1.992658861762447
4487,POST_NREM,29960.01195,29960.14695,0.1349999999983993,7,20,35,leftward,0.6169024656166305,-0.12423630558684087,-1.5679380840426873,0.8161838161838162,0.9370629370629371,0.9370629370629371,False,True,1.5679380840426873
4488,POST_NREM,29965.51695,29965.64695,0.12999999999738066,6,16,24,rightward,0.6638497542524807,-0.12215548335810099,-1.5929306442866031,0.8071928071928072,0.8651348651348651,0.8651348651348651,False,False,1.5929306442866031
4489,POST_NREM,29969.04195,29969.21195,0.17000000000189175,8,21,38,leftward,0.32170313203995377,0.48237963467128614,4.757425629637965,0.012987012987012988,0.0939060939060939,0.0939060939060939,False,False,4.757425629637965
4490,POST_NREM,29969.62695,29969.86195,0.2349999999969441,12,21,38,rightward,0.3695246289878149,0.5183390298170236,4.233885441761962,0.012987012987012988,0.06593406593406594,0.06593406593406594,False,True,4.233885441761962
4491,POST_NREM,29970.95195,29971.05195,0.10000000000218279,5,20,26,leftward,0.605680959346347,-0.5675280868272936,-8.66405503733399,0.061938061938061936,0.04095904095904096,0.061938061938061936,False,True,8.66405503733399
4492,POST_NREM,29971.50695,29971.94195,0.4350000000013097,22,33,81,leftward,0.35998386659049475,0.16872613332423253,0.6896200166532551,0.36863136863136864,0.5134865134865135,0.5134865134865135,False,False,0.6896200166532551
4493,POST_NREM,29997.23195,29997.33195,0.09999999999854481,5,25,39,leftward,0.7444778167727305,0.4258125014958276,3.9687467980941893,0.07992007992007992,0.3076923076923077,0.3076923076923077,False,False,3.9687467980941893
4494,POST_NREM,30004.82695,30005.11195,0.2849999999998545,14,40,79,leftward,0.4071163127805423,0.1982507129735162,1.2176240325617687,0.3946053946053946,0.5824175824175825,0.5824175824175825,False,False,1.2176240325617687
4495,POST_NREM,30005.41695,30005.50695,0.09000000000014552,4,16,23,rightward,0.46785656523899444,-0.4251381599811409,-4.957209201465656,0.5314685314685315,0.17282717282717283,0.5314685314685315,False,False,4.957209201465656
4496,POST_NREM,30007.47695,30007.57195,0.09500000000116415,5,22,30,leftward,0.3270905119371764,-0.42706200397557365,-7.144943211224193,0.08891108891108891,0.3596403596403596,0.3596403596403596,False,True,7.144943211224193
4497,POST_NREM,30008.63195,30009.10195,0.47000000000116415,23,58,136,rightward,0.29060995720366234,0.3055533090310424,1.1588580638903991,0.03496503496503497,0.1088911088911089,0.1088911088911089,False,True,1.1588580638903991
4498,POST_NREM,30016.12695,30016.25695,0.12999999999738066,6,19,40,leftward,0.36253104051458407,-0.5228670210683539,-8.02613939573939,0.11288711288711288,0.38461538461538464,0.38461538461538464,False,True,8.02613939573939
4499,POST_NREM,30020.34695,30020.49195,0.14500000000043656,7,26,46,leftward,0.4480650188349137,-0.6450646656879047,-6.432728133457628,0.004995004995004995,0.05094905094905095,0.05094905094905095,False,True,6.432728133457628
4500,POST_NREM,30021.82695,30021.98195,0.15500000000247383,8,23,36,rightward,0.7132793320917609,-0.27587425363577417,-2.642870927335929,0.37462537462537465,0.5174825174825175,0.5174825174825175,False,False,2.642870927335929
4501,POST_NREM,30025.41695,30025.72695,0.3100000000013097,15,43,96,leftward,0.33135089534065926,-0.5360604240987397,-2.7548121864919066,0.000999000999000999,0.030969030969030968,0.030969030969030968,True,True,2.7548121864919066
4502,POST_NREM,30031.38695,30031.71695,0.33000000000174623,16,46,112,leftward,0.6306629358734773,-0.4415149437909645,-2.3208697867566856,0.027972027972027972,0.03296703296703297,0.03296703296703297,True,True,2.3208697867566856
4503,POST_NREM,30040.57195,30040.66695,0.09499999999752617,5,17,22,rightward,0.55184840320674,0.37780504635608386,5.805784571711822,0.4125874125874126,0.6013986013986014,0.6013986013986014,False,True,5.805784571711822
4504,POST_NREM,30040.92195,30041.08695,0.16500000000087311,8,18,30,rightward,0.5045337783148939,-0.17469275244579954,-1.8679724941114448,0.6133866133866134,0.7582417582417582,0.7582417582417582,False,False,1.8679724941114448
4505,POST_NREM,30042.31695,30042.42195,0.10499999999956344,5,20,25,rightward,0.8964030089385036,-0.29391443425674957,-4.897778838257866,0.48951048951048953,0.6713286713286714,0.6713286713286714,False,False,4.897778838257866
4506,POST_NREM,30042.46695,30042.69695,0.22999999999956344,11,37,62,leftward,0.33512145222280804,0.08300322339289473,0.7110646217822238,0.8821178821178821,0.935064935064935,0.935064935064935,False,False,0.7110646217822238
4507,POST_NREM,30042.89695,30043.04195,0.14500000000043656,7,22,38,rightward,0.9748446819528599,-0.6827064949658254,-8.5204648492155,0.014985014985014986,0.07092907092907093,0.07092907092907093,False,False,8.5204648492155
4508,POST_NREM,30043.08195,30043.26695,0.18500000000130967,9,21,39,rightward,0.6869618038737352,0.48318850826040977,2.694202760733846,0.028971028971028972,0.00999000999000999,0.028971028971028972,True,True,2.694202760733846
