uid,n_spikes,R,pref_phase,p_rayleigh,cell_type,location,significant,R_null_mean,p_shuffle
171,1059,0.2726701378698521,2.7059590233464177,6.390950003961148e-35,excitatory,rCA1,True,0.036563091411673715,0.009900990099009901
172,290,0.1162150527500746,1.4609347142328197,0.019906237366620692,excitatory,rCA1,True,0.06322381099850945,0.04950495049504951
173,2168,0.11326675115619242,2.451882866734371,8.327476023020367e-13,excitatory,rCA1,True,0.02394505018185606,0.009900990099009901
175,1212,0.11646576712188281,-2.116753086033551,7.248391277387019e-08,excitatory,rCA1,True,0.0303020788560908,0.009900990099009901
176,3462,0.08398463030908931,-1.4903588498999558,2.4830867990973718e-11,excitatory,rCA1,True,0.01860496203237092,0.009900990099009901
177,777,0.07108097169584332,-2.744930552756171,0.019726427881825243,excitatory,rCA1,True,0.03961325366875503,0.12871287128712872
178,18208,0.31345545655114154,1.5215926691803188,0.0,inhibitory,rCA1,True,0.008881248844044136,0.009900990099009901
179,1782,0.12403101771864185,-2.4744940595880878,1.2426914541465696e-12,excitatory,rCA1,True,0.02649663544124834,0.009900990099009901
180,2872,0.20005539202587524,-3.0465480034246086,1.2039544070688373e-50,excitatory,rCA1,True,0.02242543021081715,0.009900990099009901
181,2793,0.07256037670082874,1.5270453717883516,4.107964134258138e-07,excitatory,rCA1,True,0.02414971332214066,0.009900990099009901
182,1919,0.13935178010585855,-2.081335503432711,6.547227984972469e-17,excitatory,rCA1,True,0.02583428044996545,0.009900990099009901
183,1999,0.11086227613938006,2.6042237830975523,2.1379296887376386e-11,excitatory,rCA1,True,0.026171449525755664,0.009900990099009901
186,785,0.11462217834626656,-3.0857026167725277,3.318139075756367e-05,excitatory,rCA1,True,0.04199443680640378,0.009900990099009901
201,1654,0.04182760584453029,-2.6516653643785992,0.055368003730084096,excitatory,rCA1,False,0.02255914917717515,0.09900990099009901
202,917,0.11725181514966045,-0.9782640806074087,3.3488112061196208e-06,excitatory,rCA1,True,0.034963865582384075,0.009900990099009901
203,919,0.06643673649512344,2.4962656650281514,0.017312631148882682,excitatory,rCA1,True,0.031144943081751877,0.0297029702970297
204,1048,0.12023063056313284,2.0892380006170885,2.6348643698360454e-07,excitatory,rCA1,True,0.03159642318804624,0.009900990099009901
