session,unit,direction,n_spikes,peak_rate,spatial_info,field_start,field_end,field_width,slope_deg,phase_offset_deg,rho,p_asym,p_shuf,significant,precessing
Achilles-10252013,118,R,112,6.68735340270173,0.6174536561239549,0.179729365832909,0.539188097498727,0.359458731665818,-254.7,345.797289681666,-0.34417468267313944,0.0005105746317481952,0.005988023952095809,True,True
Achilles-10252013,148,R,130,7.206794217476784,0.6041210032967522,0.8587069700905652,1.4977447152742416,0.6390377451836764,-41.39999999999999,287.42987219148523,-0.20733359881097632,0.01767550367205839,0.01996007984031936,True,True
Achilles-10252013,175,R,459,21.78606436605191,1.3596842561140365,0.09984964768494944,0.4193685202767876,0.3195188725918382,-206.99999999999997,277.0444747525085,-0.4578303014445769,0.0,0.001996007984031936,True,True
Achilles-10252013,176,R,953,26.23248513399595,0.5959395154096823,0.09984964768494944,0.698947533794646,0.5990978861096966,-643.5000000000001,246.99752390655937,0.14899349011029167,3.495101686734614e-06,0.001996007984031936,True,True
Achilles-10252013,177,R,269,12.772246682357633,0.8191140366385912,0.6190678156466864,1.1782258426824035,0.559158027035717,-194.4,284.6233280297474,-0.2610230365312008,1.6849229088400364e-05,0.001996007984031936,True,True
Achilles-10252013,179,R,206,11.77197122069072,0.48448957578596863,0.09984964768494944,0.4193685202767876,0.3195188725918382,-275.4,322.50868101863585,-0.25385855911464955,0.00023870490361166397,0.001996007984031936,True,True
Achilles-10252013,202,R,63,3.8819102545853337,0.43804904756229407,0.9385866882385246,1.457804856200262,0.5192181679617373,-78.30000000000001,292.31857537052144,-0.1271981723243902,0.3127296626906393,0.2994011976047904,False,False
Achilles-10252013,215,R,55,4.331971442199637,0.9683888715225017,1.1382859836084236,1.4977447152742416,0.359458731665818,12.600000000000051,263.5132790511492,0.03345913756839431,0.8043358748007796,0.7944111776447106,False,False
Achilles-10252013,216,R,141,6.629203203557258,1.2621082649507196,0.3394888021288281,0.8187671110165854,0.4792783088877573,142.20000000000002,324.0490954423908,0.0714751380924046,0.424613919886097,0.3912175648702595,False,False
Achilles-10252013,219,R,71,5.9196057911931454,0.4263223322130503,0.09984964768494944,0.29954894305484836,0.19969929536989892,-78.30000000000001,68.33647339263196,-0.17905975766639076,0.11262619653896255,0.14570858283433133,False,False
Achilles-10252013,220,R,162,7.472230448563245,1.2470630007857526,0.8187671110165854,1.4977447152742416,0.6789776042576562,215.10000000000005,227.65707758907584,0.08245666352983948,0.2930099872447709,0.3772455089820359,False,False
Achilles-10252013,240,R,237,8.898664971672435,0.5439268833722727,0.3394888021288281,0.9785265473125044,0.6390377451836764,-208.8,330.93132714561995,-0.08807818956350326,0.17313672878255026,0.1996007984031936,False,False
