start,end,n_active,n_bins,r_rightward,p_cycle_rightward,p_id_rightward,r_leftward,p_cycle_leftward,p_id_leftward,direction,r,p_cycle,p_id,significant,forward,epoch
31752.9848,31753.172,10,9,0.12428971261946424,0.334,0.386,-0.3079144386163239,0.002,0.108,leftward,-0.3079144386163239,0.002,0.108,False,True,POST
31753.3104,31753.4876,7,8,-0.07675640214060991,0.652,0.724,0.07761297032129641,0.608,0.698,leftward,0.07761297032129641,0.608,0.698,False,False,POST
31754.0176,31754.1176,5,5,-0.30632414415693615,0.084,0.286,0.07500438780001106,0.808,0.794,rightward,-0.30632414415693615,0.084,0.286,False,False,POST
31755.8928,31756.0,5,5,-0.04171995783731178,0.814,0.824,-0.10639410058515571,0.578,0.766,leftward,-0.10639410058515571,0.578,0.766,False,True,POST
31761.688,31761.8088,9,6,0.28756903350778734,0.396,0.466,0.08957564377517786,0.812,0.848,rightward,0.28756903350778734,0.396,0.466,False,True,POST
31770.3828,31770.4828,6,5,0.18075448550998804,0.526,0.562,0.3928895237150194,0.156,0.254,leftward,0.3928895237150194,0.156,0.254,False,False,POST
31774.5124,31774.7016,6,9,-0.14575306804100754,0.312,0.36,-0.22257421304304256,0.15,0.134,leftward,-0.22257421304304256,0.15,0.134,False,True,POST
31818.386,31818.486,5,5,0.0013285496648115908,0.996,0.994,0.05185731103010119,0.714,0.766,leftward,0.05185731103010119,0.714,0.766,False,False,POST
31819.4452,31819.5452,8,5,-0.21138510331294094,0.566,0.29,-0.36422753253900064,0.248,0.082,leftward,-0.36422753253900064,0.248,0.082,False,True,POST
31827.6556,31827.7556,7,5,-0.16023607708398682,0.302,0.494,0.05343699188793945,0.792,0.852,rightward,-0.16023607708398682,0.302,0.494,False,False,POST
31837.2104,31837.3192,9,5,0.10934165512575078,0.674,0.802,0.2811072954319736,0.296,0.518,leftward,0.2811072954319736,0.296,0.518,False,False,POST
31841.5984,31841.6984,5,5,0.8333834685580986,0.034,0.02,0.7308804931976369,0.002,0.126,rightward,0.8333834685580986,0.034,0.02,True,True,POST
31842.3752,31842.4752,6,5,-0.13659272810051346,0.492,0.212,-0.010324811512529234,0.96,0.826,rightward,-0.13659272810051346,0.492,0.212,False,False,POST
31843.8596,31844.0536,7,9,-0.20700019063084144,0.128,0.188,-0.1897791606835382,0.106,0.28,rightward,-0.20700019063084144,0.128,0.188,False,False,POST
31856.492,31856.592,5,5,0.007105255153123552,0.99,0.956,-0.4808227382009226,0.002,0.018,leftward,-0.4808227382009226,0.002,0.018,True,True,POST
31858.9024,31859.0304,5,6,-0.4005076500276987,0.012,0.074,0.18117204229082978,0.27,0.43,rightward,-0.4005076500276987,0.012,0.074,False,False,POST
31860.8016,31860.9016,7,5,-0.0005074605208694424,1.0,0.994,-0.2273610699857814,0.24,0.56,leftward,-0.2273610699857814,0.24,0.56,False,True,POST
