unit,direction,peak,si,com,stability,place_cell
143,leftward,12.766861093947412,1.945411210949318,1.584,0.3557576571276127,True
144,leftward,0.4938872252179346,2.8241087692237117,1.328,0.10199197904866121,False
145,leftward,22.802195917529318,1.625366503849748,1.36,0.7331226286569346,True
146,leftward,7.52136689970445,0.3926028273782436,1.232,0.01845779936024501,False
147,leftward,1.0689613915675844,1.7365548544414664,0.4,-0.09827494408801292,False
148,leftward,3.951097801743477,0.5568938201484579,0.33599999999999997,0.19862170250090871,False
151,leftward,6.122882361382943,1.7521839799345968,1.584,0.4743712440293441,True
161,leftward,2.9262818094162624,0.7688010675701271,0.08,0.11816250379954027,False
163,leftward,8.128560581711842,0.666341039267824,1.1680000000000001,0.5948765496115863,True
169,leftward,3.0601639837032812,1.3425024715835816,0.016,0.1291224451743019,False
171,leftward,2.4196645452537573,1.1116900326256016,1.552,0.3263093409340089,True
172,leftward,1.2005258705297488,1.5961114446584435,1.04,-0.050019851792822596,False
173,leftward,24.25386724921587,1.8097869970389253,0.688,0.88157727339403,True
175,leftward,1.4102562936945844,1.6877353468139218,0.112,0.17620787570566857,False
176,leftward,9.627593831845711,0.20017068125082021,1.36,0.3029661775544645,False
177,leftward,1.4102562936945844,2.3016678568541344,0.56,-0.04347684857497618,False
179,leftward,38.59755218154783,1.3834903365070905,1.2,0.8766389552290953,True
180,leftward,3.2905980186206967,1.4824744351443926,0.56,0.4038134022608723,True
181,leftward,17.772490828430595,2.507000296794036,0.016,0.9207189639651702,True
182,leftward,33.36243995276512,1.433313084758728,1.1360000000000001,0.7442358862869034,True
183,leftward,0.7650409959258203,2.0385676427382795,0.016,0.6952571371483078,False
186,leftward,3.0245806815671963,1.1714102743252859,1.552,0.06093215476059116,False
201,leftward,7.209679820300936,0.8425913937484911,0.048,0.7263652945290471,True
202,leftward,8.778845428248788,0.44619342532246253,0.624,0.1086438738039336,False
203,leftward,8.461537762167506,1.1006827433000943,0.112,0.4966456923800097,True
204,leftward,7.633778633259816,1.04014549195634,0.048,0.7459466158591701,True
210,leftward,0.7061916885469111,2.2955500518405754,0.016,0.11151455266191647,False
211,leftward,6.351619431291113,1.1917506290954005,1.552,0.11841225524230295,False
215,leftward,17.476405250680457,1.2347253727753638,1.488,0.5070633795932664,True
216,leftward,0.9877744504358692,3.0689557500589104,1.328,-0.04810491346553873,False
217,leftward,17.652139573774228,2.8896195154575794,1.584,0.9461057408127879,True
219,leftward,4.5604391835058635,0.8069917492095269,1.36,0.3915241934919512,True
220,leftward,1.3678779743515084,2.6214829049034174,1.584,0.5531462806949539,True
221,leftward,0.06513704639769087,3.1128811073913085,1.584,,False
222,leftward,15.267557266519631,1.2729393990701412,0.048,0.6062255452314264,True
225,leftward,2.8660300414983984,1.641031222464916,1.584,0.47625222987522164,True
229,leftward,7.1439743704059,1.1618487023763493,0.656,0.6009216119931903,True
236,leftward,0.5202278772295578,1.7769287356000643,0.88,0.011978249439179588,False
237,leftward,1.648609470093669,1.5275032585025696,0.656,-0.07937935365190561,False
238,leftward,18.72820358026408,1.503835540067995,0.88,0.7466016722909598,True
240,leftward,15.492080167497859,0.8205980135311539,0.784,0.6023507987043365,True
241,leftward,2.118575065640733,2.77660458785946,0.016,0.965159799094321,True
242,leftward,7.707079662660115,1.1287087064955972,0.46399999999999997,0.5008839514621343,True
253,leftward,0.9877744504358692,2.0849721739881417,1.328,0.17638213135241287,False
255,leftward,1.0689613915675844,1.1048518772947116,0.4,0.029457401313022265,False
257,leftward,9.180491951109843,0.1799804923156324,0.784,0.15640234147257603,False
258,leftward,13.861334886708612,0.44129158417841546,0.752,0.4802494204235376,True
259,leftward,6.928268458431027,0.20114575398529996,0.24,0.11694136430319105,False
263,leftward,5.960944426588683,1.1851130956457523,0.368,-0.04086094254692435,False
264,leftward,0.5419040387807893,2.9462122635515624,0.944,-0.03157979890189828,False
266,leftward,1.887923748010492,2.393057057849788,0.912,0.016988598845246068,False
268,leftward,5.344806957837922,0.7546687975866431,1.264,0.39094069475686644,True
269,leftward,2.868903734721826,1.2943640571908719,0.784,0.14470883614794275,False
270,leftward,3.5174005054753072,1.9276886850920183,1.584,0.4917397487196571,True
271,leftward,1.345416923869546,1.5203376611728667,1.456,0.12621902715050676,False
272,leftward,4.103633923054525,0.7847134362250211,1.584,0.3823709421793622,True
