unit,cell_type,location,si_rightward,si_z_rightward,p_rightward,peak_rate_rightward,peak_pos_rightward,mean_rate_rightward,sparsity_rightward,width_rightward,contrast_rightward,participation_rightward,stability_rightward,n_spikes_rightward,si_leftward,si_z_leftward,p_leftward,peak_rate_leftward,peak_pos_leftward,mean_rate_leftward,sparsity_leftward,width_leftward,contrast_leftward,participation_leftward,stability_leftward,n_spikes_leftward,is_place_cell
123,excitatory,rCA1,0.6021802500440165,0.3588430803403911,0.3306693306693307,0.6007387104466626,22.0,0.21273759318594912,0.5617623435918587,28.0,3.4750436640084192,0.19444444444444445,-0.2551308788210979,22.0,0.7206152164293895,21.603383871736412,0.0,27.664505400113182,38.0,8.201388297216386,0.4801997317427032,36.0,5.523267330884777,1.0,0.954780426415765,764.0,True
125,excitatory,rCA1,0.24879601630128373,11.489169503925275,0.0,5.876084424451317,2.0,2.514595991442345,0.7204070241208996,28.0,2.990524177113241,0.9166666666666666,0.8117693824874783,252.0,0.26674261207487737,19.1460708307194,0.0,9.699117725746676,150.0,4.792026849763964,0.7541447268941718,28.0,2.0137714226470695,0.8974358974358975,0.9525566358953947,447.0,True
126,excitatory,rCA1,1.4865356110237264,0.8503516797541254,0.19880119880119881,0.20137887163195686,2.0,0.04177150793208986,0.30839231463196226,16.0,12.032653062066606,0.08333333333333333,0.22971763849308952,4.0,2.002296753248188,-0.038234456419479916,0.3876123876123876,0.1354213718656344,114.0,0.02231446289291024,0.22754461312410174,32.0,21.965537793925595,0.04878048780487805,-0.08160901143412752,2.0,False
129,excitatory,rCA1,0.21115955558667251,10.334889421154083,0.0,8.394453878986194,158.0,3.1822235891470196,0.7572450132397749,28.0,2.5435088227338696,0.6486486486486487,0.8535273685670554,316.0,0.13834943552888943,3.518497760359121,0.002997002997002997,2.428271500785429,34.0,1.147757635637223,0.8403542601118267,28.0,1.8301015099616251,0.5365853658536586,0.27870072507360893,106.0,True
135,inhibitory,rCA1,0.01517887528615395,5.851628413270313,0.0,17.78459747550766,114.0,13.221714578327541,0.979301933340592,156.0,1.560755533364791,1.0,0.6152235828256262,1332.0,0.02643345887313163,7.25844636658074,0.0,13.736099883331121,102.0,9.717763653489568,0.9641850969372386,148.0,1.5842158963346666,1.0,0.8118389224205056,906.0,False
136,inhibitory,rCA1,0.019831828434307926,15.731204049149573,0.0,39.88766299370661,6.0,31.0525019647077,0.9729517603116528,160.0,,1.0,0.8238878144000251,3121.0,0.01856567834557843,10.371909229283254,0.0,46.349386886735374,70.0,38.23898558319635,0.9753963106786586,160.0,,1.0,0.8961130775822317,3566.0,False
137,excitatory,rCA1,0.6676588725165378,6.924323085734104,0.0,2.4440550141766444,2.0,0.6127413749928904,0.45561294002006114,16.0,6.5594453931551895,0.3888888888888889,0.6921450820645348,63.0,0.7772104007751087,20.98856316562797,0.0,22.532524045376327,58.0,7.2285494744372745,0.486967087838934,48.0,5.669903714375552,1.0,0.9551246622628145,674.0,True
140,inhibitory,rCA1,0.013755506284109128,9.22687500477117,0.0,24.595760980577012,98.0,19.88463335072206,0.9814253341439033,160.0,,1.0,0.4956384999064262,1997.0,0.01218365778436313,4.766055235692539,0.0,22.669184922924504,118.0,18.436348752916956,0.9832900416296848,160.0,,1.0,0.7838811098291736,1720.0,False
143,excitatory,rCA1,1.1829362741524758,2.1720858110428733,0.026973026973026972,2.30267798860193,50.0,0.4491265097991297,0.32035895063672765,24.0,10.107816143842864,0.05405405405405406,0.8105313961739617,45.0,1.2470175479408545,6.79738999007237,0.0,5.0437942505022875,62.0,1.1094989229531014,0.34964113758653786,24.0,7.641378836566916,0.14634146341463414,0.9105706260396368,102.0,True
144,excitatory,rCA1,2.7259303840846685,2.0847964145662123,0.03396603396603397,0.21421164898453568,74.0,0.01986104486929126,0.13036904913711297,12.0,27.696870765635285,0.05128205128205128,0.9999999999999997,2.0,2.141243304605609,0.31711449995252294,0.33466533466533466,0.18731780685815977,158.0,0.023332145368732515,0.19514183341049512,8.0,9.882863706067015,0.027777777777777776,-0.09993772234868424,2.0,False
145,excitatory,rCA1,0.5787493950059576,0.600984735105691,0.25074925074925075,0.3440623568525469,90.0,0.12971316703576424,0.591977013392508,36.0,3.867576943950824,0.1282051282051282,-0.07078422021699074,13.0,1.2600944639818534,20.95552112585578,0.0,21.338366971726824,122.0,5.1970260100911325,0.3425222012286191,40.0,10.95534552762334,1.0,0.9795205316213537,484.0,True
146,excitatory,rCA1,0.23311308329688707,25.268560422767347,0.0,22.704761145335855,134.0,11.044066426075918,0.7758709009301419,60.0,2.030643668549606,1.0,0.9483484221493571,1105.0,0.20523689615410406,11.597999772548672,0.0,5.413142102733277,150.0,3.127523599793223,0.8168603748204843,120.0,4.010067003520876,0.975609756097561,0.8702155727963111,293.0,True
147,excitatory,rCA1,0.4600564847553497,-1.5765954256142405,0.964035964035964,0.21421164898453568,74.0,0.06980329122982662,0.6240706988688225,12.0,2.9871434100263974,0.02564102564102564,-0.38208545501390306,7.0,1.229981754345678,3.7494685611849152,0.0,0.5564691622433473,34.0,0.13017728779009344,0.35468873760236885,32.0,8.794161218361234,0.14634146341463414,0.3952641301107389,12.0,False
