unit,direction,k,si,si_z,p,peak_rate,peak_pos,mean_rate,width,sparsity,contrast,participation,stability,n_spikes
237,rightward,116,1.0871229589314844,16.0169993991552,0.0,3.1162277345494354,154.0,0.5528272638642445,20.0,0.33558023144984445,6.95574994760922,0.4594594594594595,0.8937021209920069,57.0
238,rightward,117,0.5400172971757813,3.196286530770104,0.000999000999000999,1.6291330579508192,10.0,0.5539193217186087,20.0,0.5456790848658006,4.650638748184424,0.3055555555555556,0.5280457230836463,57.0
240,rightward,118,0.582778357533111,15.427477104621108,0.0,8.395060393361115,62.0,2.895826605790683,44.0,0.5349407786796001,4.751814345911477,0.8461538461538461,0.9757907400793794,288.0
242,rightward,120,1.0777860383120912,14.114750774486296,0.0,4.756291116470024,158.0,0.780875889582038,20.0,0.33121847505054086,6.4370597598480135,0.32432432432432434,0.8657052903803966,77.0
255,rightward,123,0.5706943081061927,8.470096534233909,0.0,2.5011396036859774,2.0,0.7045316909768243,12.0,0.5344892936891275,3.8534366840137326,0.37142857142857144,0.8124039505380742,69.0
258,rightward,126,0.1341545631737048,9.151787641304011,0.0,6.5542860124087206,2.0,3.7221929219231216,24.0,0.8541746226280317,1.6888365504178078,0.8888888888888888,0.780774552345284,375.0
259,rightward,127,0.20037286097776957,30.76659424889288,0.0,20.632842670120297,62.0,11.21461939801299,72.0,0.7985244169449398,2.7320474942074213,1.0,0.9675381796157302,1118.0
268,rightward,132,0.3349218170413496,18.706748025091503,0.0,14.303390506435916,2.0,5.466830990630934,24.0,0.650601502399213,3.6644753446992775,0.9722222222222222,0.8768357590070847,551.0
270,rightward,134,0.7116974191565231,18.78054546653426,0.0,5.082378867798219,46.0,1.4893007348785419,36.0,0.47368827548074516,5.9956004244847065,0.7692307692307693,0.9664742256966908,148.0
7,leftward,3,0.5222598535003982,9.03680122191302,0.0,5.767980159890476,26.0,2.2794444180296014,56.0,0.5962490888041213,4.961001316292641,0.8780487804878049,0.9190047292115852,212.0
9,leftward,4,1.7917712925563307,12.704907706699206,0.0,9.297741678273997,158.0,0.9731009324552509,8.0,0.17378861001884435,18.811237810342213,0.75,0.9927392671358393,89.0
11,leftward,5,0.6191271526916466,4.908071434754513,0.0,1.7764885709582374,18.0,0.6109833027679507,28.0,0.5350201363915577,3.7675886570996395,0.3902439024390244,0.6684800969625422,57.0
