session,unit,n,mrl,pref,p,cell_type,significant
Achilles,95,2636,0.02598009382882917,-1.1205466023801733,0.16877797397931962,excitatory,False
Achilles,96,702,0.08544112842861906,-1.9128461452458534,0.00591387038025943,excitatory,True
Achilles,97,54728,0.14304134144203004,1.7881320277549244,0.0,inhibitory,True
Achilles,98,415,0.06033586641620334,2.4754261758172746,0.2208377943382207,excitatory,False
Achilles,101,2391,0.09038290394827996,-2.0725538244055266,3.174209164019273e-09,excitatory,True
Achilles,103,1908,0.027149151723495822,-3.084897611804158,0.24506484976227316,excitatory,False
Achilles,107,57440,0.19998101751926012,1.2774849589038062,0.0,inhibitory,True
Achilles,109,1918,0.004059395769698251,-1.1227729049978648,0.9688959742131055,excitatory,False
Achilles,110,926,0.13520836605912911,-2.4986245263033906,4.15078950394883e-08,excitatory,True
Achilles,111,228,0.07209195787644433,0.3397583865550621,0.306079178078331,excitatory,False
Achilles,112,3645,0.03830415730056563,2.8924994533292514,0.004751932885492854,excitatory,True
Achilles,113,4586,0.01562060655298337,0.4976215275198807,0.3266240018948127,excitatory,False
Achilles,114,1315,0.11466520656035172,-2.7277120645091646,2.9455744360196387e-08,excitatory,True
Achilles,116,2239,0.09264180277504104,-2.1236817378910122,4.348932568394952e-09,excitatory,True
Achilles,117,875,0.14099160711284803,-1.4137920012885834,2.5845799764027508e-08,excitatory,True
Achilles,118,1450,0.13584008500983302,-1.9747400429731872,2.1374823489604816e-12,excitatory,True
Achilles,120,1846,0.1348276612661637,-2.720011617452728,2.3088444984036376e-15,excitatory,True
Achilles,121,4227,0.1293287298803879,2.5895073199594436,1.4825639636704834e-31,excitatory,True
Achilles,123,999,0.035832210885279915,-0.6727424628786348,0.27736166203222773,excitatory,False
Achilles,125,2302,0.1777382844328485,-1.6854290761419908,1.5356067832037977e-32,excitatory,True
Achilles,126,1027,0.10952952182749813,-2.3406633667550207,4.322047106201775e-06,excitatory,True
Achilles,129,2892,0.04720541768563066,-2.7263649666298737,0.0015854750600096305,excitatory,True
Achilles,135,12679,0.24532806922145403,-2.4423763856385974,0.0,inhibitory,True
Achilles,136,35290,0.40192432284977614,-1.96010389591471,0.0,inhibitory,True
Achilles,137,1868,0.06431406423697575,3.0686725586155985,0.0004383289552063113,excitatory,True
Achilles,140,18868,0.16349399192965905,1.5598523823295103,2.9770239414783724e-219,inhibitory,True
Achilles,143,1445,0.060702245329308395,1.645485200948754,0.004855951749612169,excitatory,True
Achilles,144,233,0.1678786706957036,-3.0358203446816385,0.001361249268519267,excitatory,True
Achilles,145,1522,0.17110978827370896,-2.9084489272966927,3.246949962552538e-20,excitatory,True
Achilles,146,2739,0.08286377247499775,-0.9007737194937961,6.60102769832915e-09,excitatory,True
Achilles,147,163,0.10237832235030823,-2.2099172967218212,0.18128476944683672,excitatory,False
Achilles,148,2241,0.48720203160434017,-2.0440475774078397,4.419977115931475e-229,excitatory,True
Achilles,151,3377,0.18839162257058095,-2.155294697229155,4.261417702740178e-53,excitatory,True
Achilles,161,2412,0.0371158814193922,0.23231809575509293,0.036037339400464094,excitatory,True
Achilles,163,1535,0.12100205206865218,-2.294434800561372,1.6090397447181145e-10,excitatory,True
Achilles,168,33107,0.4037724087856606,-2.0295216667748237,0.0,inhibitory,True
Achilles,169,729,0.22161005400891604,-2.384837662096423,1.8659685682536952e-16,excitatory,True
Achilles,171,1451,0.22832347550884488,2.5534000160173513,6.663235606681e-34,excitatory,True
Achilles,172,366,0.08415108458424464,1.450225216021806,0.07480692050477235,excitatory,False
Achilles,173,2601,0.13039467494647128,2.3370424460035872,5.191923769862777e-20,excitatory,True
Achilles,175,1361,0.1053445115947897,-2.0863700960056524,2.6587925461111626e-07,excitatory,True
Achilles,176,4371,0.06859513742692448,-1.7659929899658384,1.1440042878355556e-09,excitatory,True
Achilles,177,1031,0.0496032453967288,1.2034643478164673,0.07909644260692171,excitatory,False
Achilles,178,24132,0.2986113840005439,1.3139240892372341,0.0,inhibitory,True
Achilles,179,2067,0.07096808025774812,-2.559418564492044,2.9800112301805766e-05,excitatory,True
