session,subject,state,cond,n_cells,dur,n_bins,ring_score,hole,ang_unif,h1_top,h1_ratio,cc_iso_decoded,cc_internal_pref,split_cc,split_err_deg,med_speed,corr_near,corr_far,decode_err_deg
191126,A3702,wake,shuffle0,54,4953.622,24768,0.2290188899230633,0.15133333333333332,0.9413305883593566,0.28241384073354103,1.0290710259928924,0.012808994377346053,0.034295512718986,-0.006164474169765108,89.99999999999999,135.0,0.0031536967206221623,0.0038669943189574064,
191126,A3702,rem,real,54,124.0,620,0.6662705898070422,0.05,0.9546538799418108,0.07927929256568939,1.075600070461348,0.49458753561869345,0.8262197545673294,0.8577353904896274,12.000000000000004,29.999999999999915,0.2383151738791461,-0.07770088763261353,
191126,A3702,rem,shuffle0,54,124.0,620,0.5700682715969877,0.08064516129032258,0.9801498570885129,0.38097646380328354,1.1579300349920316,0.06834426039467503,0.14180614813333425,0.007254903521025247,96.00000000000003,105.00000000000009,0.011724276851350626,0.0080495593817348,
191126,A3702,nrem,real,54,3357.044,13529,0.5511021091488335,0.08333333333333333,0.9606477243490523,0.7003323218517479,1.2174114642130383,0.6408420052057581,0.6309994405492203,0.5521594726696718,15.000000000000034,209.99999999999991,0.24269453578097408,-0.020727966971434055,
191126,A3702,nrem,shuffle0,54,3357.044,13896,0.17065698627628378,0.17266666666666666,0.9293494868431523,0.2848786056443099,1.0188709707242467,0.07022427518656854,0.026435134704047052,-0.012374092327288765,78.00000000000003,315.0,-0.003299497811516285,-0.002266774532790008,
201021,A3717,wake,real,43,3610.008,18050,0.7758414509834063,0.014,0.9731820674764002,3.00804256349533,4.140988352414408,0.26566481890152294,0.9541945576458529,0.9501396536340344,9.0,45.0,0.41590652937052214,-0.1595336357451568,9.038114088151575
201021,A3717,wake,shuffle0,43,3610.008,18050,0.17821707911956153,0.163,0.9717013288759946,0.3281572683511548,1.1119020177174106,0.08755042442600079,0.07842087829040281,0.001204420344029307,90.0,104.99999999999996,0.003375561906919384,0.004922076740025916,
201021,A3717,rem,real,43,488.0,2440,0.720289271408949,0.03483606557377049,0.9633908143356089,1.020743348818994,2.5870905805476654,0.17442204812639714,0.4008831681480968,0.7931507580588203,11.999999999999966,30.000000000000043,0.3386307346944725,-0.06109185324251424,
201021,A3717,rem,shuffle0,43,488.0,2440,0.22722085999783415,0.19098360655737706,0.9310602872253644,0.277307896614559,1.0020888484032417,0.11133013532133486,0.18564217875555014,-0.05945324611108573,93.00000000000001,90.0,-0.00538078472111575,0.009780531117342587,
201021,A3717,nrem,real,43,4996.0,20476,0.5494794687896813,0.07766666666666666,0.8940938087348844,0.6784004971815636,1.7144991343981524,0.23202569776001183,0.8520188255201563,0.6390883606378392,21.000000000000018,255.00000000000017,0.26221536033454224,-0.047549025190522794,
201021,A3717,nrem,shuffle0,43,4996.0,20402,0.26969653497458934,0.16266666666666665,0.9639335019675139,0.31930202810972574,1.0965796093497213,0.11317451745257338,0.03704397931891764,-0.02246175653902418,93.00000000000001,345.0,-0.0019176240578809769,-0.002368824810031881,
200317b,A3708,wake,real,32,3642.636,18213,0.5421259218398699,0.11133333333333334,0.9417303458700326,1.1193582216266083,1.0369441451014973,0.4937970100234078,0.7552082469990729,0.5302940875229377,12.000000000000018,30.000000000000167,0.4307098217726149,-0.086262052083323,10.066441379868946
200317b,A3708,wake,shuffle0,32,3642.636,18213,0.3044083757854896,0.14433333333333334,0.9212094765922786,0.30034725643565385,1.0448137274633473,0.015457154642057613,0.07131807000402146,-0.013969815475249473,84.00000000000001,75.00000000000017,0.007274806587001828,0.006198952969199343,
200317b,A3708,rem,real,32,501.0,2505,0.6374655825153214,0.06427145708582835,0.9447364862211094,1.4226934142859153,2.5057985569742014,0.11615624233746027,0.7761820152242996,0.39078979408884107,18.0,30.000000000000167,0.357139771831889,-0.09766054187633444,
200317b,A3708,rem,shuffle0,32,501.0,2505,0.3081214190114916,0.1317365269461078,0.9627565796978019,0.3699456209098624,1.0447354066236436,0.2157382155636975,0.04402905350361512,0.028812681559594634,86.99999999999999,105.00000000000009,-0.013446719014444766,0.009093767670553183,
200317b,A3708,nrem,real,32,3578.0,14985,0.562807815627445,0.092,0.9840303503428337,0.45688569837045623,1.1465560684583809,0.5883167512747897,0.20606527406673436,-0.453277524474594,39.000000000000014,270.0,0.27607183239815686,-0.04143178171604501,
200317b,A3708,nrem,shuffle0,32,3578.0,15492,0.2845666594184306,0.148,0.9696585739626278,0.3356956717590648,1.0523610971227277,0.10238777347403001,0.03114624238254708,-0.004555139113175544,81.0,360.0,-0.004788994544769908,-0.00799919430386943,
210623,A6216,wake,real,37,3922.736,19613,0.43344241233577163,0.16333333333333333,0.9643603071903657,1.0996704046904466,1.1869491693622958,0.5156882221645241,0.7040952316867266,0.42875316779856176,12.000000000000018,30.000000000000043,0.27170247778649675,-0.001609003913818662,9.422616748105327
210623,A6216,wake,shuffle0,37,3922.736,19613,0.2752687869273365,0.139,0.9102852368905657,0.3287104764642176,1.2119211252670443,0.05825905633187913,0.1283171211139542,-0.005604651556894541,90.0,119.9999999999999,0.011093861373498598,0.008805879305195849,
210623,A6216,rem,real,37,398.0,1990,0.5318442036421183,0.08693467336683416,0.9490449651495485,0.8847064683375218,4.290313999498115,0.8238873619649388,0.5456291804918503,0.585276362910522,18.0,29.999999999999915,0.16413333603458966,-0.021063728320541323,
210623,A6216,rem,shuffle0,37,398.0,1990,0.22663809938028523,0.14321608040201006,0.9487742425615311,0.47216691394883703,1.183633442702735,0.26695780546643094,0.0048313220584946855,0.011476087927208466,90.0,90.0,0.00556227264383164,0.0016282781168866143,
210623,A6216,nrem,real,37,5033.0,21501,0.44073837977488295,0.103,0.9511061029789886,0.335311168738026,1.050103279848231,0.278104090543844,0.8072479751603775,0.024027822195201994,36.0,255.00000000000003,0.1846786867045946,0.01206604478898674,
210623,A6216,nrem,shuffle0,37,5033.0,20187,0.2132477317770175,0.15466666666666667,0.9596051562171954,0.3088864042084769,1.044582171957551,0.0367607215171535,0.15789106534950217,0.010681100549654243,87.00000000000003,375.00000000000006,-0.005485925118465312,-0.005327006386999215,
210805,A9701,wake,real,36,3929.858,19649,0.8035917762955209,0.019333333333333334,0.9424530252904108,1.3986754780687143,5.878915977303547,0.06153939014525686,0.9401353189991561,0.8732505088769347,9.0,30.000000000000167,0.3796783789509377,-0.15431913917897463,6.82116349907618
210805,A9701,wake,shuffle0,36,3929.858,19649,0.21251669425284214,0.158,0.9527719636932191,0.31517180019272506,1.0223699107432727,0.16029171851499713,0.15462410649635974,-0.0027332377685285398,86.99999999999999,75.00000000000004,0.004749223848813625,0.006634418139059832,
210805,A9701,rem,real,36,269.0,1345,0.6420917060719151,0.11598513011152416,0.905879691426986,0.7442929720868015,1.9780736778154342,0.6598879056124444,0.919036090091649,-0.688075493233014,20.999999999999964,45.0,0.30569404396425154,-0.11929974087180593,
210805,A9701,rem,shuffle0,36,269.0,1345,0.3810434709592151,0.11152416356877323,0.9712999195626144,0.46083575783151154,1.162807279532495,0.31706859704090967,0.006297404389347969,0.014867915224635085,87.00000000000003,105.00000000000009,0.004911783179631164,0.013997043199035991,
210805,A9701,nrem,real,36,3469.0,15109,0.5379160656731476,0.08666666666666667,0.8826466528515684,0.5754896590304396,1.8293334361126898,0.6232912336216303,0.9357345381281846,-0.40404185947011023,57.000000000000014,300.00000000000017,0.21869313225037387,-0.04256757838192362,
210805,A9701,nrem,shuffle0,36,3469.0,14595,0.19975658633376747,0.154,0.9252524662795948,0.2822183771672384,1.0287472350839253,0.10858927867087058,0.009047041579550212,0.03164872579168532,99.0,360.0,-0.00647925833056266,-0.001754298887062511,
201115,A3723,wake,real,25,4832.558,24163,0.5275520068888999,0.106,0.9555982603581344,0.8397758977823002,1.331101282224983,0.24248823002629746,0.71767887663276,0.3393444996462561,23.999999999999982,59.99999999999983,0.2509388135771464,-0.08291560646554703,10.025114714956231
201115,A3723,wake,shuffle0,25,4832.558,24163,0.1743055806042303,0.15966666666666668,0.9891121763238298,0.29691567134856434,1.046105378033302,0.1925129598689193,0.05291724528386751,0.005812320297950897,90.0,164.99999999999991,0.010145342255503837,0.005846988233671261,
201115,A3723,rem,real,25,257.0,1285,0.5639095903147444,0.08715953307392996,0.8965137735799588,0.6103717855379083,1.0221634345219646,0.5580326438044253,0.7611504046322511,0.22325353519335897,59.999999999999986,60.000000000000085,0.13375628549968654,-0.004058046397503917,
201115,A3723,rem,shuffle0,25,257.0,1285,0.39227916742245217,0.12840466926070038,0.977033196314879,0.5022223143218714,1.1700723796468433,0.2626948449310649,0.030373939908578736,0.05677014229551066,75.00000000000001,90.0,0.021813866539691654,-0.009236543179513985,
201115,A3723,nrem,real,25,3493.0,14346,0.4172943713938432,0.13033333333333333,0.9423801717244435,0.3746820596777699,1.0876580108626388,0.19037122992794717,0.30038295214146843,-0.11529598423311604,81.0,270.0,0.11429443397193619,0.025578008154460666,
201115,A3723,nrem,shuffle0,25,3493.0,15539,0.21095928348241033,0.15233333333333332,0.855244669852118,0.2981491413964926,1.0022056887856536,0.049910486553959826,0.3173062760643352,0.0416516076434343,95.99999999999999,344.9999999999999,-0.0016667306086283454,-0.004470696895366815,
190910,A1821,wake,real,34,5420.042,27100,0.6461542926011686,0.051666666666666666,0.9772674540804701,1.6466599780096718,1.395241068975327,0.06382634086949462,0.2140649705527379,0.6166854744883897,9.0,45.0,0.374839369136229,-0.10852936137363196,9.104439611539206
190910,A1821,wake,shuffle0,34,5420.042,27100,0.13653607216824015,0.18066666666666667,0.9443208554630302,0.32529493145315,1.0443063203925531,0.023035200625090475,0.29115932771016023,-0.005759696249410176,90.0,135.0,0.008355733906410692,0.009954401484009327,
190910,A1821,rem,real,34,257.0,1285,0.5422490646984833,0.07003891050583658,0.8947312168603584,0.324902952904923,1.3333781348433427,0.2771641575695783,0.6000446529257996,0.6388071946961359,14.999999999999982,30.000000000000043,0.3063960203113691,-0.015994474777548406,
190910,A1821,rem,shuffle0,34,257.0,1285,0.4754065439228409,0.11361867704280156,0.9455953557742179,0.5754553690427178,1.2369972485325136,0.16496648749008921,0.1994860501265883,0.010370780152743104,81.0,104.99999999999982,0.03006481142315147,-0.003630175910660827,
190910,A1821,nrem,real,34,4511.0,18395,0.47344725578036273,0.11766666666666667,0.9026279111591516,0.9304046785949135,1.6842681087046019,0.3319454277448186,0.33583528315750233,0.20054363434696681,50.999999999999986,195.00000000000006,0.1857867102608428,0.008104409197386952,
190910,A1821,nrem,shuffle0,34,4511.0,18678,0.2053092610119469,0.169,0.9503430725453856,0.38680711159398273,1.0786149275046921,0.13134768708077005,0.13161924857275345,0.017407919210021498,83.99999999999997,404.9999999999997,-0.006333478844660671,-0.003940666262910534,
210407,A6211,wake,real,34,3912.124,19560,0.6296560358363932,0.07866666666666666,0.9302153683160215,1.8105222443667768,3.2713867905133216,0.21947646598856374,0.9021200863460045,0.8458029783265691,9.0,30.000000000000167,0.2901289815515237,-0.09251780224775354,8.694797359201928
210407,A6211,wake,shuffle0,34,3912.124,19560,0.18214213384113598,0.174,0.9371206657884178,0.34506129245849004,1.094359656201379,0.12475081016314035,0.07740451453285419,0.014905756208306071,90.0,105.00000000000009,0.0052972649346323545,0.004697616601081646,
210407,A6211,rem,real,34,200.0,1000,0.6639639789120608,0.062,0.8980886809501896,0.591868407283739,1.5558574239073102,0.2003591016115333,0.8257796866068688,0.6505168235079546,14.999999999999982,30.000000000000167,0.24297013175528068,-0.0779515479060089,
210407,A6211,rem,shuffle0,34,200.0,1000,0.5361901052275553,0.092,0.901447689744897,0.6830604128663093,1.2836782537271842,0.02285272424577503,0.07001974899775475,0.007669673384910347,96.00000000000003,104.99999999999982,0.0077039719228338506,0.0007689499058657935,
210407,A6211,nrem,real,34,3553.632,14267,0.36918296349824564,0.145,0.9711880751275561,0.39369264037162444,1.0097775375896951,0.2797802031358393,0.7971066787048618,-0.2087579195577063,41.999999999999986,270.0,0.16073896831843262,-0.001055229961487879,
210407,A6211,nrem,shuffle0,34,3553.632,14924,0.315820990219874,0.144,0.947061251883436,0.29700447323268075,1.003328623332711,0.10672738285282642,0.1556863486472783,0.001332997839442879,87.00000000000003,360.0,-0.0016108102797663581,-0.00240883248705509,
190523,A1815,wake,real,28,3610.496,18053,0.698489725745123,0.04133333333333333,0.9688749473226937,1.7216704380471346,1.6858705080635938,0.8934558121626063,0.8575746230711957,0.8091626628232345,9.0,45.0,0.3363020589322405,-0.13482652428964356,8.558776815013776
190523,A1815,wake,shuffle0,28,3610.496,18053,0.26520635825213346,0.15233333333333332,0.9547201533808993,0.329704427704265,1.068774862365499,0.10409808147684547,0.12838331565555042,-0.01518390814189046,84.00000000000001,119.9999999999999,0.004942893230255742,0.0016632613232584151,
190523,A1815,rem,real,28,241.0,1205,0.3474108902246187,0.187551867219917,0.9541037119613218,0.9072630450756309,1.1976575188092633,0.1459417231086115,0.31700949413933327,0.07123068124691019,65.99999999999997,74.9999999999999,0.17811502377843955,0.011252119191948773,
190523,A1815,rem,shuffle0,28,241.0,1205,0.6342495521490605,0.08215767634854772,0.9606133727599189,0.4699592382852289,1.254311560043482,0.09460410318028513,0.025712777513114158,0.04135485068114075,86.99999999999999,135.0,0.015240481308021381,0.02997881533007496,
190523,A1815,nrem,real,28,2891.0,11993,0.46726151959481443,0.118,0.9367545370007644,0.3622441256996184,1.0592472071831158,0.24384140806335267,0.2627893512487666,0.06382919983828762,66.00000000000007,284.99999999999994,0.1403532549928055,0.041718828079641716,
190523,A1815,nrem,shuffle0,28,2891.0,12353,0.3111509013763132,0.14666666666666667,0.9736821417866005,0.3320916676365392,1.068201193705033,0.0024751060553542194,0.1315230361407558,0.009876988495285005,83.99999999999997,345.0000000000001,0.000488797296303978,-0.005844410356257149,
190408,A1813,wake,real,28,3793.586,18968,0.35322304356259693,0.196,0.8116703140572358,1.2029544560925216,1.1842562974938002,0.7992794676338631,0.924923082211284,0.4305437866229042,15.000000000000009,45.0,0.3995931521294562,-0.044320764583502974,11.63048328864992
190408,A1813,wake,shuffle0,28,3793.586,18968,0.3347950807270984,0.13966666666666666,0.9644870277056421,0.30643957377086317,1.0267606848415598,0.1484072814575081,0.19084784340466346,-0.004520711610132241,90.0,149.9999999999998,0.013110121531966263,0.009264146738473115,
190408,A1813,rem,real,28,330.0,1650,0.5719603232685012,0.10424242424242425,0.8758913669178365,1.2231946972019099,2.0281830632606037,0.07451899399356507,0.815309213600937,0.3917841230703729,30.000000000000018,60.000000000000085,0.26196622809344183,4.639259794938661e-05,
190408,A1813,rem,shuffle0,28,330.0,1650,0.37944198811003693,0.1406060606060606,0.9614199560692922,0.39830383168907646,1.0206589324313753,0.15511620035504137,0.32614973579787676,0.013726738254312002,77.99999999999999,119.9999999999999,0.024878215236361263,0.016238610646576997,
190408,A1813,nrem,real,28,4977.0,22757,0.4284294653610793,0.162,0.9358554942626398,0.612824836025265,1.3699174768108844,0.09886940895857724,0.6163380303148963,0.37378981454889537,21.000000000000018,135.0,0.29589611369714625,0.003129280363074662,
190408,A1813,nrem,shuffle0,28,4977.0,20265,0.30493408998315963,0.15033333333333335,0.9621367304796591,0.3273950456081455,1.013619049469475,0.07928559577482192,0.017416161315316887,-0.027879655845286105,92.99999999999997,344.9999999999999,-0.011866752315995216,-0.006385165527737345,
200831,A5505,wake,real,25,3610.916,18054,0.6939191048220448,0.04766666666666667,0.9293241219661481,1.9152039355238648,2.4690938643666627,0.2424135586653719,0.20702380862975486,0.64950803007887,12.000000000000018,45.0,0.2895670433938469,-0.12392082732725059,9.551400911310534
