slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-1.08,-0.11516300048943935,-0.29692202323625966,0.4458079448592874,124,0.004975124378109453,Achilles-11012013,34,-1,2.080745045851042,0.930253135205261,2.497222222222222,0.4,366,46,CircularMaze,2.9,True
-0.8700000000000001,-1.4268170380471195,-0.26653037945114294,0.3020503979443944,916,0.004975124378109453,Achilles-11012013,35,-1,12.563802714282602,1.2091375825916937,1.7722222222222221,0.56,366,124,CircularMaze,2.9,True
-0.98,-0.866242719157753,0.14650178365676875,0.21363645549382004,819,0.004975124378109453,Achilles-11012013,39,-1,14.256800355862179,0.9866050367577519,2.5374999999999996,0.36,366,97,CircularMaze,2.9,True
-0.71,-1.8823083073434916,-0.05661715460242337,0.20487510201691617,379,0.23880597014925373,Achilles-11012013,42,-1,6.222767174463448,1.2567109644547818,2.5777777777777775,0.4,366,108,CircularMaze,2.9,True
-0.7399999999999998,-1.255733066542419,-0.22416559081825516,0.31895518474088297,253,0.004975124378109453,Achilles-11012013,44,-1,6.539480652309253,0.7086072477131246,0.36249999999999993,0.32,366,91,CircularMaze,2.9,True
-0.6299999999999999,-2.015729973193494,-0.4349102349192219,0.42995196938210073,477,0.004975124378109453,Achilles-11012013,50,-1,12.142673859592074,2.2949712218738934,1.3291666666666666,0.32,366,89,CircularMaze,2.9,True
-0.8199999999999998,-1.540589289805474,-0.4483273943964682,0.41316904257177556,355,0.004975124378109453,Achilles-11012013,52,-1,8.879711084417668,1.5388577306914273,1.4499999999999997,0.32,366,67,CircularMaze,2.9,True
-0.5699999999999998,-1.482074084429036,-0.39803316238140796,0.3660180181214249,308,0.004975124378109453,Achilles-11012013,53,-1,6.1482218970167954,1.7144668583588105,2.336111111111111,0.36,366,93,CircularMaze,2.9,True
-0.8300000000000001,-1.3758724816002994,-0.16132933930588866,0.27472672853467917,1018,0.004975124378109453,Achilles-11012013,56,-1,18.954668947329587,0.6753556056979487,1.6916666666666664,0.44,366,109,CircularMaze,2.9,True
-0.8300000000000001,-1.6813625087963673,-0.3136454274818191,0.28018026438432486,1007,0.004975124378109453,Achilles-11012013,57,-1,16.695988686620126,1.34591650295159,1.409722222222222,0.48,366,105,CircularMaze,2.9,True
-0.6800000000000002,-1.6680492056347749,-0.5439011870280762,0.4152090870689902,1427,0.004975124378109453,Achilles-11012013,60,-1,37.53065462946524,2.9417331678298013,0.5638888888888889,0.4,366,111,CircularMaze,2.9,True
