,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,area,session,responsive
sub-703279277_ses-719161530_950957976,0.06974216695256015,0.1315353433446796,82.06968363161171,,,,8.629837666706598,3.69411038411722e-08,0.001996007984031936,0.015342955900705939,5.549756195331994,4.671179786061551,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950958000,0.00836910948926179,0.030283269117194506,52.16738011605359,,,,1.2724052095841623,0.27273179509185297,0.2934131736526946,0.006730297684780223,17.800654384186544,17.375628585083092,VISrl,sub-703279277_ses-719161530,False
sub-703279277_ses-719161530_950958015,0.08814651166458949,0.12267666531029771,118.9594408009511,,,,3.214285962266747,0.0066933948398728415,0.007984031936127744,0.035578465815469,1.1271593609266097,0.9135087160429842,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950958022,0.04305308477327226,0.09961783498651135,76.93382438521824,,,,17.417286237524372,3.717009326543155e-17,0.001996007984031936,0.010723907359604603,10.653640727083106,9.423682346604265,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950958029,0.22293235999966454,0.3407331852692092,4.705727692773739,,,,14.967761889184649,1.2535730714422595e-14,0.001996007984031936,0.0330002549888248,2.3138485970408564,1.6709696503038896,VISrl,sub-703279277_ses-719161530,True
sub-703279277_ses-719161530_950958817,0.07000723841499629,0.07846187835237747,125.54810411088619,,,,3.525897668796168,0.0034810588032622852,0.015968063872255488,0.029657614361167407,0.9248479462027924,0.7697045645493783,VISrl,sub-703279277_ses-719161530,False
sub-707296975_ses-721123822_950907350,0.17652036986625924,0.30464317457833723,23.347772699564924,,,,64.75426793277346,5.570384403078754e-66,0.001996007984031936,0.013100054113090325,8.627827545921898,6.128634005169116,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907356,0.34931456823087564,0.6120037144152264,179.78470548055824,,,,341.769621117541,7.9e-322,0.001996007984031936,0.01182343977597064,13.34866598400524,7.155131067112568,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907360,0.24790419286909912,0.43858787902696195,142.17857970282466,,,,50.285316000731505,3.608033698216937e-51,0.001996007984031936,0.019635357765977732,8.412054053912737,5.462734385761941,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907362,0.0530711525224297,0.108024260607206,10.58288810434609,,,,13.984708183237137,1.2877721674604634e-13,0.001996007984031936,0.00807360718058592,14.894092014751827,13.274492641254675,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907368,0.23839130327743085,0.4286113886170579,140.9999008778852,,,,187.0420243412974,3.2576863672285045e-185,0.001996007984031936,0.011256225069544348,18.22126537124057,11.872360311967391,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907370,0.23754785502634235,0.3936168705876491,161.02353354793473,,,,43.74232407716974,1.9858696717809052e-44,0.001996007984031936,0.023646743102147327,3.0140756820135657,1.81703817322353,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907388,0.1642155419310855,0.29291462798238527,101.79735602784629,,,,52.637051143302514,1.3825632104501478e-53,0.001996007984031936,0.01472446247792569,4.226448890842524,2.7909810318777395,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907392,0.43636011875938124,0.6646991518076469,179.42679848243822,,,,280.7646036024701,1.055932757502251e-269,0.001996007984031936,0.018444860694186393,6.722847173792019,2.773928380516665,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907394,0.04912720401632074,0.10778205369530922,102.55285304297635,,,,13.481216628050381,4.238166551845168e-13,0.001996007984031936,0.007793703151826196,27.566259199698376,24.763471975757408,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907396,0.07033041381879743,0.12671256419321383,69.86897316925685,,,,32.10694230983234,2.1774502357360667e-32,0.001996007984031936,0.0085846274912635,7.2960938877614385,6.192476273899886,VISam,sub-707296975_ses-721123822,True
