,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,split_half_r,split_half_pref_diff,pref_tf,baseline_rate,area,session,responsive,ori_selective
sub-717038285_ses-732592105_915966617,0.22787204310825057,0.5362312628439635,75.92935357590915,0.1305492067770194,0.292683507865875,222.99146255697516,1.5019439868511621,0.17377344360192798,0.06187624750499002,0.12096045765757181,1.7651940619904585,0.8909212071539594,0.08555722076975339,21.136736222066276,2.0,0.2830991104883542,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966645,0.09975890339450463,0.17408647833314472,64.64640338238492,0.17050677946431864,0.4150959416934533,280.80430227837627,1.6616928225578984,0.125656323126976,0.40718562874251496,0.09201525433501363,12.489482690954054,7.775966112105199,0.7686428368849585,14.199750701884156,8.0,3.946716814673589,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966658,0.4727488520746403,0.6879444745702583,131.53640334246325,0.40935388544472034,0.630138825113406,333.5866730613704,22.213158159426317,1.3607486593865624e-18,0.001996007984031936,0.13008095984174017,3.9633323053934735,0.9492013595438797,0.9803013061470648,3.752631849182734,2.0,0.016652928001066394,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966696,0.09694913409451562,0.14285671362482436,79.07704409512178,0.07278745577886306,0.05616205497528838,359.32791018537597,3.494857999658985,0.0019929689125668553,0.007984031936127744,0.035168086848790955,24.113008634777273,20.541099523514024,0.5832966774757244,7.770680264070123,2.0,4.029971887420205,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966716,0.11500850364839067,0.37378021887433804,70.82029461902171,0.08102678583821697,0.1261120674988573,45.98411334439201,5.257700462871947,3.264044094070345e-05,0.001996007984031936,0.03475852492005217,21.115677264066353,16.157284966474382,0.8799634014214944,10.370935868136229,2.0,7.543709912048223,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966870,0.23117122527001913,0.38823506735100594,22.499795846312033,0.21890617893095218,0.4567906793480024,42.392945040554025,2.4288643252431874,0.023558347444144704,0.06786427145708583,0.1280872288215141,1.9650210450419252,0.8659418775646419,0.482929103772537,17.214716966976304,4.0,0.5661940611881406,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966872,0.08447788707868424,0.1647432846015563,2.977096146639451,0.08773178096065093,0.245750338679699,175.21837941828122,5.371553712071051,2.5122229540657346e-05,0.10379241516966067,0.049347094665835575,13.422155643203473,8.07656677398845,0.7575530527637223,26.805298856045965,2.0,10.774346330327438,VISrl,sub-717038285_ses-732592105,True,False
sub-717038285_ses-732592105_915966876,0.05650762644676719,0.03963095355810772,110.30175239895378,0.09115898300574765,0.07401667939011947,145.6031380373774,1.6219235846906284,0.1363654867465508,0.40718562874251496,0.051614831004425266,11.357157795366563,8.830117818322638,0.8345900644071556,5.527466582269,1.0,9.89174647078277,VISrl,sub-717038285_ses-732592105,False,False
sub-717038285_ses-732592105_915966879,0.4422590157689181,0.8813567089726572,132.73911930568866,0.1489875791075573,0.34954302487167616,302.4585323460308,12.145796318747783,2.038215261886867e-11,0.001996007984031936,0.09297306326206056,7.393790548541893,2.710090816281788,0.9593862142262375,5.0774661494145334,15.0,4.113243016583672,VISrl,sub-717038285_ses-732592105,True,True
sub-717038285_ses-732592105_915966882,0.18992752643414668,0.31034567411651404,69.9171461135924,0.09130858508802243,0.10144927537223623,136.5348201838706,2.6708635937881158,0.013558623766189127,0.017964071856287425,0.0814504631285167,5.062420561975949,3.1265476524768165,0.2706374975351069,30.15505706758217,2.0,2.747705582825473,VISrl,sub-717038285_ses-732592105,False,False
