unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,author_hd,is_fs,is_exc,hd_cell
70,0.7664864197014888,0.7664864197014882,1.6686674930383332,6.285144502544006,0.7987874362463628,1.242336880525483,0.0,0.5706669239170655,True,False,True,True
71,0.923535076680752,0.9204538083585644,4.1068313675043076,20.496870997971374,1.8548021286246916,2.3508067147212874,0.0,0.8893974006648516,True,False,True,True
72,0.9608539735585787,0.9607432302045864,0.30872599289835595,25.828237726768737,1.8647593127330258,2.7237319573357395,0.0,0.9393009200589165,False,False,False,True
73,0.8967374552106794,0.8960060629077783,3.718254219226833,16.043225507802173,1.4061756668547467,2.227280953813548,0.0,0.9576455031783879,True,False,True,True
74,0.29941532853018143,0.2983250773570734,2.8122856882088736,26.63468416862423,6.2702601037759855,1.0390668744643103,0.0,0.856283745397739,True,False,True,True
75,0.06330782617394982,0.06321375466394703,0.17359595706737488,43.84116155189475,30.17524644030668,0.012733808962874096,0.0,0.5267485777711814,False,True,False,True
76,0.8998148181111248,0.9009560617719566,4.674771409929616,16.484071131825456,1.5378317678427207,2.2829783348815416,0.0,0.9285930357586178,True,False,True,True
77,0.1352833741213796,0.1352075860333055,0.9566962505483658,10.350218178963852,2.5573367851571573,0.6540410513613377,0.014,0.8282904007469221,True,False,True,False
78,0.510567502620343,0.5078805403451274,1.3207034496732801,12.099532041203927,2.6508236803965173,0.771271106471484,0.0,0.7802165388881972,True,False,True,True
79,0.041662715046656175,0.03996841692601223,1.7583663385228545,2.904675514615784,1.4227709737019705,0.05570069418623813,0.604,-0.08941304083469034,False,False,True,False
80,0.9522849734901387,0.9523287411981497,4.935064005521882,30.020061873749075,2.5645280847909544,2.4671307059195975,0.0,0.9259931310514843,True,False,True,True
81,0.8853683790013819,0.8859849322101249,4.389831433351659,36.029218786887384,4.619580249372144,1.9521540743528687,0.0,0.9278193725118979,False,False,False,True
82,0.20387054023168014,0.20562228008678435,4.285239983995133,4.562752208640985,1.7087634283691238,0.11624825844320394,0.0,0.43013953703888624,False,False,False,False
83,0.8660090168502701,0.8660658356687175,4.823607148313434,18.070404336980207,1.9239492404881233,1.9892566497941901,0.0,0.8870751826697982,True,False,True,True
84,0.4424122053542206,0.4418804366749123,0.6137887820678141,14.768762139990733,3.5430980118822397,0.5196508971493654,0.0,0.6979027562793774,True,False,True,True
85,0.9270873609769624,0.9270971576480609,6.165022276340997,16.543954744299718,0.7644904687621007,2.7403150361092847,0.0,0.9113526843706211,True,False,True,True
86,0.5883980934196638,0.5882820417311612,5.80739643763293,30.24973318795094,4.904466350249483,0.883599207540829,0.0,0.9261266891341391,True,False,True,True
87,0.9001281539378609,0.8992419959448692,4.3325839415767105,15.543438720407494,1.5815327425404095,2.1848503755984563,0.0,0.8542385893202101,True,False,True,True
88,0.9406332039391235,0.9375863048392086,4.151811780004424,10.66613456416607,0.9569960281898946,2.4751686875004237,0.0,0.7920603117338939,True,False,True,True
89,0.07490516049737017,0.07614950926384834,5.996185590172423,56.540697418164704,34.22726719550378,0.052700733869578804,0.003,0.4814662871875121,False,True,False,False
90,0.9554911444682709,0.9554911444682711,0.8538170397185126,22.769085398861414,2.593293283326142,2.0613501025748366,0.0,0.945477130694472,True,False,True,True
91,0.9431325629324357,0.9430128120090895,5.366098839919524,18.587269259360816,1.636850432031155,2.618544723248821,0.0,0.9287700190545987,True,False,True,True
92,0.8273765893086492,0.8200476146349822,3.058389181741465,30.949467297884976,4.216867469879518,1.716449337635563,0.0,0.9354900969471728,True,False,True,True
93,0.8384602956662977,0.8390989107762774,4.4531883651150785,35.96131090179264,6.315620609158397,1.701649103234411,0.0,0.9446489106735251,True,False,True,True
94,0.9413176977553204,0.9406171608114489,4.340085165692154,25.76782996995311,2.944560611592375,2.4618466942832837,0.0,0.9368954611926997,True,False,True,True
95,0.6257787122545773,0.6245755331445075,3.821604318619729,24.232195331151566,4.144401296646642,1.1825066503424746,0.0,0.9036136331255007,True,False,True,True
96,0.903483396918484,0.8950700557185609,3.179920593960158,28.865021560837643,3.5513956653058516,2.0324539437908893,0.0,0.8846827670645633,True,False,True,True
97,0.9473074255010899,0.9473329571227024,5.528044907312363,34.64247838668619,2.722183499839579,2.6273663743959292,0.0,0.9852044331418677,True,False,True,True
98,0.8274841815782404,0.8261762378796764,2.2040939034748277,10.377733158615506,0.9492515516611902,1.7745511679626493,0.0,0.9150317161517546,True,False,True,True
99,0.12838638083663095,0.12985317800210514,4.199882244815877,22.818123293466364,13.14458937679091,0.06552802548276718,0.0,0.3336746666506793,False,True,False,False
100,0.945607152784691,0.9456071527846902,3.428319914692525,13.93221951091456,1.041632093110735,2.773139424337242,0.0,0.8560175487418731,True,False,True,True
101,0.05007524205139765,0.052481348397008826,5.519154655978507,80.56502228098793,59.50855764656422,0.00904983433293709,0.0,0.5628874035858823,False,False,False,True
102,0.09842559335807724,0.10006783302591586,4.263398334503822,14.449010880686648,8.097403387655305,0.037468804486545916,0.0,0.19454883199505593,False,False,False,False
103,0.9213479012062114,0.9213352029280619,1.7879863105295952,11.94022486393759,1.9538207928131257,1.6121294454451762,0.0,0.851414681435635,True,False,True,True
104,0.14288653225026113,0.1432483483720316,0.01858301972044383,35.93567082835422,19.18085565402104,0.07718051499173612,0.0,0.3007855593399725,False,True,False,False
105,0.9116122520878595,0.9116122520878591,1.59769570531337,12.492373990593665,2.2918118756015797,1.621155673392399,0.0,0.8273566451204921,True,False,True,True
106,0.33595062376640417,0.33573175779860825,1.7218975127386558,23.924274807113164,4.151039419385531,1.1157827394939068,0.0,0.9019542819807038,True,False,True,True
107,0.3814540736247586,0.3815785662756661,5.802289156880684,11.992679030969917,1.1948620930000995,0.5201293704700463,0.0,0.4932454660580222,True,False,True,False
108,0.20042348335636603,0.2077834938425897,4.65155218853371,6.733478179327082,1.4908117317755871,0.5675602895402772,0.375,0.1883250375159204,False,False,False,False
109,0.7953817755357196,0.7954096793806693,2.4041912379596293,22.70961220011012,2.8134576874993087,1.5642108500788927,0.0,0.9037251283676754,True,False,True,True
110,0.4162590638852872,0.41552052509547166,2.165365405723015,24.960467370904347,3.8722382643521747,1.0893507374080351,0.0,0.8878915600374747,True,False,True,True
111,0.8860543071467264,0.8826492044070733,3.883153286736546,39.310344781293225,4.612388949738348,1.9155478625292208,0.0,0.9469103784355716,True,False,True,True
112,0.9560710219242198,0.9560584959482059,1.0273468280070426,16.735067044002832,1.7458262803279232,1.9900992332093983,0.0,0.8850852432185614,True,False,True,True
113,0.055937511615464466,0.05913947900663818,5.439740367118631,12.37248556458029,7.299722305198756,0.04474234912680894,0.199,-0.08471994049571527,False,False,False,False
114,0.054114275621910284,0.05429729788579447,3.562817862764444,38.16911936484595,22.76765464060097,0.05630665060899774,0.133,0.33105887773720466,False,True,False,False
115,0.01662768954907337,0.019880744427792925,4.744240511550464,30.327398492887763,17.56502594399637,0.04160852989080006,0.773,0.36187198567944356,False,True,False,False
116,0.7697983347621127,0.7698321698009191,6.200068049377339,14.550504571419442,0.8131700355139566,1.886327615533447,0.0,0.9135370314491649,True,False,True,True
117,0.7684648550561646,0.7684648550561641,1.4180889336087348,10.766907969793435,1.9543739697080331,1.2593529900117257,0.0,0.7954274550310148,True,False,True,True
118,0.9527273157517296,0.9496875710372417,3.9093174512453173,24.432802149496887,1.8033566773982985,2.7566980924214546,0.0,0.929382614017073,True,False,True,True
119,0.35487536227895927,0.3553715164892538,0.26683051092278265,3.219684018194243,0.7086196023764479,0.4407720647167372,0.042,0.3358651210363965,False,False,False,False
120,0.10037625334842658,0.09926827843044789,3.387053432800125,2.3732214441233346,1.124608627346853,0.07011663837768492,0.013,-0.014006994596662084,False,False,False,False
121,0.17414285754625125,0.17563032518490698,4.619284518445808,6.954907153613417,3.010941838981269,0.10528170613320927,0.0,0.08809621060380714,False,False,False,False
122,0.13343916827703872,0.13663078572102963,4.821062943091281,3.452786669185197,1.450429818447343,0.0898144813113772,0.0,0.20183201346834648,False,False,False,False
123,0.8535056244220659,0.8520426569353738,5.812245603959616,21.187576832066906,1.3204332481440915,2.1796017820975817,0.0,0.943191595361417,True,False,True,True
124,0.8901341160098587,0.8912085277946044,4.741898686695054,30.046487847716367,3.0341752685673824,2.1320522346747435,0.0,0.9287273361765235,True,False,True,True
125,0.04989332856071537,0.05138299837660739,3.910032590900368,20.567919182402232,11.427528294998174,0.05364415429639767,0.232,0.18883618607756658,False,True,False,False
126,0.8040624288269627,0.7989880126088913,2.75185291337037,47.492873713510605,8.126168586190492,1.279040981745385,0.0,0.9436266153457296,True,False,True,True
127,0.1553080517599394,0.15484357797294784,1.2662687364476093,14.068437110256877,2.7415446911613395,0.9220031328083964,0.01,0.9025092322781367,True,False,True,False
128,0.6089536914984374,0.6081194103612381,0.20672938561356782,19.403800505653496,2.186708265569164,1.379085484281814,0.0,0.8928339594085801,True,False,True,True
129,0.9646308271732006,0.9653897425845998,2.4070167734288845,7.2960554376302555,0.6007501078694945,2.6183544390852562,0.0,0.8570213007741521,True,False,True,True
130,0.25391247956359697,0.253149451020167,0.8586223483102668,14.071652155945022,2.7243962074192085,0.551143756742692,0.0,0.7730073757781322,True,False,True,True
131,0.7787395217097457,0.7741615484203384,3.3343106670234706,18.470804551095622,2.2304092402668525,1.5273705992488809,0.0,0.8975576518186308,True,False,True,True
132,0.7535997922207618,0.7524663258711708,4.012450461981786,2.1411000160311766,0.3341188445241019,1.4700294997975774,0.0,0.5769947899276243,False,False,False,True
133,0.9287328773409366,0.9286696961972531,0.3340818640583272,13.238034907448396,1.0372066779514753,2.4800069349550977,0.0,0.9001755731996789,True,False,True,True
134,0.807961328591542,0.8069062373450551,4.088300347912024,6.376860363399277,0.7943620210871032,1.6457234512833852,0.0,0.8417300265349162,True,False,True,True
135,0.7836748822300388,0.7837197132591273,1.433864129905291,3.45093204160046,0.6278557757199598,1.4446672221247419,0.0,0.7221616881489022,True,False,True,True
136,0.3448548320455616,0.3479536581919114,4.528397212524731,5.017857335133857,1.2109042229524156,0.37879188374990946,0.0,0.4463116666220553,False,False,False,False
137,0.9622584559887762,0.9632181185558357,2.464438727340834,3.4231400742813047,0.2605463175014106,2.5337477205858487,0.0,0.6937713902611163,False,False,False,True
138,0.919754795893379,0.9209724614049727,5.50894984392483,7.293153344565515,0.41211678670605284,2.7298334301477376,0.0,0.9030021930375822,False,False,False,True
139,0.9192494617911368,0.9192365324600551,6.141330095572517,27.348170087515857,1.0504829234292543,2.628700235742297,0.0,0.940949644483434,True,False,True,True
140,0.9350257655717314,0.93218105612062,3.3149669769068724,33.435471563059515,3.2311062431544357,2.444805028340192,0.0,0.9401369824365032,True,False,True,True
141,0.929031502974736,0.928674918706693,4.295967196427795,6.508804915132066,0.43092480113290627,2.50562860772124,0.0,0.6698617902960885,False,False,False,True
142,0.20958366315570828,0.20637329707781668,1.7189741080101166,11.660497065778948,2.5141889873543763,0.9082989993441835,0.0,0.7907257909662696,True,False,True,True
143,0.4253190745289253,0.42729668480218025,4.5913940407769775,15.818867641839958,3.855642957504951,0.8927145787688742,0.0,0.8119127895139152,True,False,True,True
144,0.5789881050646652,0.5760481139060172,3.49989017271649,15.57169783493621,3.9441512606901434,0.782452104615041,0.0,0.8440397685697432,True,False,True,True
145,0.2416626735511975,0.23782469822624971,1.3984087790064326,16.644489642838565,4.4160111520462015,0.8143580397038264,0.0,0.8034038320543451,True,False,True,True
146,0.10046066220334442,0.10293952197667089,4.8867772890716665,22.826756312946582,12.605241904256143,0.041984347821166744,0.0,0.17723642925559663,False,True,False,False
147,0.6309917669056913,0.631054556613175,5.8054836622514685,12.693503446613956,2.4118512617964973,1.2098742196343992,0.0,0.8008591631992581,True,False,True,True
148,0.1150625451907805,0.11344108926342032,0.6855261009293713,32.341565665548316,20.391206700078552,0.038434948325601695,0.0,0.5611582102961248,False,True,False,True
149,0.06997606715019312,0.07230876491955862,4.340168228887738,67.13751856748995,39.49904300397181,0.036856673540171296,0.025,0.010821956630552054,False,True,False,False
150,0.07894597843066797,0.07953381534265476,3.7033545304612616,13.320005938528555,8.027149922002058,0.04391454414298152,0.0,0.3569598476089838,False,False,True,False
151,0.023414190443538624,0.02556113522181457,4.4326864790438805,29.636418910506276,19.7196499496609,0.024716925539387678,0.578,-0.04450035190845098,False,True,False,False
152,0.11181254561057184,0.11345762469003498,4.244102639873212,49.0633133931088,29.14578423888391,0.04830661689590019,0.0,0.49311871602504437,False,True,False,False
153,0.10218516863848671,0.10505193321924228,5.038428221863274,60.04012374749815,32.190469868454535,0.02780234326954327,0.0,0.600086942234382,False,True,False,True
154,0.6398614241707452,0.6382344819268321,1.9290883727863437,8.838142143005042,2.079945124852025,0.8787597933016879,0.0,0.8902627552298892,True,False,True,True
155,0.03759083397878243,0.03993683697125909,4.510980725236586,52.07953226021006,39.036033942934274,0.009201854185848344,0.042,-0.11954658807101601,False,True,False,False
156,0.05735361899040775,0.057464971433647774,3.476156786824252,83.77480357567246,59.90573865710777,0.027188872072628427,0.015,0.3689988974933512,False,True,False,False
157,0.2235410501264211,0.22354105012642117,5.696644601526042,3.7226558596611494,0.9774635733014704,0.40179169207818255,0.302,-0.16658832535804266,False,False,False,False
158,0.07976140828733365,0.08155348158910435,4.357317831467068,40.37842188130467,26.16526712912255,0.02477331595871828,0.0,0.3514146186386127,False,True,False,False
