unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,hd_cell,author_hd,is_fs,is_exc,session
76,0.03963037069690596,0.038646463829967705,1.5121278786613512,63.0074269306024,41.765010846282934,0.017086808237954984,0.0,0.24578027324376459,False,False,True,False,A3705
77,0.9317310678602962,0.9317374273298059,0.8919700907645244,19.98409078475472,1.513249746465294,2.625030875466245,0.0,0.9679833295757141,True,True,False,True,A3705
78,0.08391384452541964,0.08303704387432602,0.5187481671285449,15.51299347712304,9.521005104043974,0.035650801681498145,0.092,0.33640659900252157,False,False,False,False,A3705
79,0.8503824421902256,0.850783486604814,3.1188362286781928,21.1702901819723,3.8613828366478544,1.4483823362257122,0.0,0.9705410838231285,True,True,False,True,A3705
80,0.8115219439851886,0.8129538774595473,3.551077023583609,15.246502375042349,4.279392971972477,1.121719613325641,0.0,0.9024711707937187,True,True,False,True,A3705
81,0.9396052946440806,0.939996466391214,0.24139316278806347,22.3369018218095,1.1009242458005708,2.8957852771543218,0.0,0.9356527912482557,True,True,False,True,A3705
82,0.6511609893339307,0.6506252932435242,2.760978509501312,6.707928308301337,0.9860946256705974,1.4489685117585756,0.0,0.9331252820670287,True,True,False,True,A3705
83,0.9555075901449777,0.9555081319913821,0.7395016097020547,19.356378053080526,1.209311279982658,2.936797495054174,0.0,0.9484712016663895,True,True,False,True,A3705
84,0.26487901964900307,0.26619550769507455,3.0012672806816982,6.571598249334756,2.7096758545521795,0.2629583345576811,0.0,0.8239738055496435,True,True,False,True,A3705
85,0.09990847403743722,0.09984842590715881,0.7719053133727192,5.564668228405113,2.473195052700353,0.09130707203458796,0.0,0.5463533910421401,True,False,False,True,A3705
86,0.17463500827411257,0.176062672965796,2.98609340565614,4.7207462400620335,2.428475926709142,0.0811554816052315,0.0,0.5817471633595268,True,False,False,True,A3705
87,0.8557033993012092,0.8563990715280585,1.1549728789001439,20.382946345991506,2.082850139387242,2.081424224054679,0.0,0.9368533386624409,True,True,False,True,A3705
88,0.25412452037707006,0.2547908569103786,0.16897052907219404,112.2988217576199,45.25613447874932,0.14892939535768182,0.0,0.9561540760753181,True,False,True,False,A3705
89,0.11889384013359612,0.11888862181448215,0.6824075925296421,47.826384106153135,32.86666272531997,0.03747547800571999,0.0,0.6539136355783113,True,False,True,False,A3705
90,0.838621146694704,0.8378939326737466,0.9741425689707205,29.83239575885884,2.9442617781840394,1.9699020398267628,0.0,0.9443523895732802,True,True,False,True,A3705
91,0.888064522286109,0.8882166379670744,2.4680579426144362,40.6716215651328,7.231613238680376,1.6990494781625067,0.0,0.9908793596648879,True,True,False,True,A3705
92,0.422207694737535,0.42254060080832334,4.686667517448473,18.35819053338394,3.142466039992542,0.9586261413882976,0.0,0.9437639233387387,True,True,False,True,A3705
93,0.11818743534456999,0.11781743517259499,1.2551385609880263,8.843054973443644,5.114276315689743,0.031081815374880535,0.0,0.5150665488214173,True,False,False,False,A3705
94,0.10993897074175742,0.10965693928346137,1.0653403784523223,6.784866547925348,3.5828357383127702,0.04149823636715543,0.0,0.4987990973654855,False,False,False,False,A3705
95,0.466575609616252,0.4654979439750756,2.193980817337588,8.369571738365208,1.357490756784043,0.6923380658311235,0.0,0.9278584089474434,True,True,False,True,A3705
96,0.1320071982176638,0.13224608011140088,0.8501883070115702,7.236685805688909,3.584730616532737,0.08587787049959672,0.0,0.6867997349674888,True,False,False,False,A3705
97,0.9167519957282011,0.9183350042922318,5.51159062016548,32.59401559749634,3.861003861003861,2.1825446918502767,0.0,0.9788284471819219,True,True,False,True,A3705
98,0.4416058357939716,0.44399446512174623,0.3023293822331767,12.580099697916634,2.1491708770860716,1.359310171725812,0.0,0.884609221474049,True,True,False,True,A3705
99,0.6815326460095873,0.6831671010288752,1.2896579207282142,22.18837799081408,3.0598493496019996,1.7067502614251802,0.0,0.9517734709545327,True,True,False,True,A3705
100,0.9191292700740666,0.9190159522979265,0.3825237079803828,48.522337765180836,3.4740697284866897,2.438686012715609,0.0,0.9831289758736833,True,True,False,True,A3705
101,0.29932760490024396,0.29861753273938785,2.9950613980609653,4.968931141441565,1.669766687434532,0.24679651590324578,0.0,0.679024164799382,True,True,False,True,A3705
102,0.08949380186437256,0.08873537464665977,0.6151601466310407,13.023804575813466,7.661371618968792,0.023131050564005416,0.0,0.3533746952885047,False,False,False,False,A3705
103,0.336098199380005,0.3397957463957041,5.791369768602003,40.599123130970355,6.004490103430033,1.118033229172965,0.0,0.9710644661391276,True,True,False,True,A3705
104,0.08586944777970164,0.08499247764905934,1.1093096438020276,41.14371632155383,28.46713447420161,0.020869222603878888,0.0,0.5898103588117738,True,False,True,False,A3705
105,0.059301468657912686,0.05971498045196895,6.142110157561176,27.531462399386957,18.796055015136286,0.015986645482204152,0.0,0.5978506887021893,True,False,True,False,A3705
106,0.043400747842820504,0.044006867591202675,3.151259951981241,38.11921637509617,26.3145528163196,0.027892526967797385,0.012,0.504658899042895,False,False,True,False,A3705
107,0.06228869548297522,0.06142633970797514,1.17844667968718,43.465668178764965,30.655718818262987,0.013543278884948409,0.0,0.3159168101075117,False,False,True,False,A3705
108,0.13397430079869957,0.13392439476104448,0.20188878273673666,65.76136663941752,40.31353412978854,0.03909731564145324,0.0,0.7222220370183312,True,False,True,False,A3705
109,0.07819335960099523,0.07921896363913924,3.7774188330665797,51.5203313347683,38.055597242876395,0.020924024407175806,0.0,0.7581878231856467,True,False,True,False,A3705
110,0.11834918818433703,0.1174941591619046,1.3353459892922996,36.09480082102663,6.736671047625111,1.0955910539070473,0.0,0.9555958859438081,True,True,False,True,A3705
111,0.8779237440502436,0.8789152887774669,3.7912711376478825,21.026135785051807,2.987086025955284,1.6986376450631326,0.0,0.9240720228464138,True,True,False,True,A3705
112,0.7076116181423582,0.7085719568348356,5.52033335272604,6.144639319295533,0.8015334870458546,1.4185401038761056,0.0,0.9405333149363576,True,False,False,False,A3705
113,0.37839740059915744,0.3777188333378121,5.717015128688876,18.132728884939997,4.118707298919313,1.0076349807182448,0.0,0.8788684976835308,True,True,False,True,A3705
114,0.4610828774372397,0.4603690551739327,4.803295456123086,40.67951092482731,7.41276359650918,1.2821731726262173,0.0,0.8955496400593108,True,True,False,True,A3705
115,0.48088647566588977,0.48187853054859225,5.995967865779114,21.791436858076576,2.757047810051344,1.3594889943050876,0.0,0.9431413927142498,True,True,False,True,A3705
116,0.12110687085702089,0.12111745770099677,1.5960628143492985,30.243000650996187,8.878262411831317,0.8742732719108125,0.0,0.9406538597205855,True,True,False,True,A3705
0,0.9519239743285487,0.9518635748824227,3.051650152861353,21.65110304427281,2.4082328656475305,2.373364735030501,0.0,0.9619744779442162,True,True,False,True,A3706
1,0.07029953756669134,0.07109087406275408,4.990030429135217,51.86556148026452,37.22788963013931,0.0177063201733905,0.0,0.8161957334521923,True,False,True,False,A3706
2,0.07256330596467486,0.07270829729414675,0.06156829130112402,37.920821736199436,29.83699138753436,0.014187731278580432,0.0,0.6795011034301405,True,False,True,False,A3706
3,0.9050002350198197,0.9057645121499595,5.3580110831642145,18.78374177774284,1.5722486479658824,2.435270639231222,0.0,0.9574352382937292,True,True,False,True,A3706
4,0.23437928821854825,0.23508956357477068,6.14673755553839,13.442957972727239,2.3882889081680476,0.993824114053445,0.0,0.9280026272732148,True,True,False,True,A3706
5,0.9252106831596616,0.9255063541470366,0.3253604448414159,34.65236725780722,2.9446422220227824,2.440315627931167,0.0,0.9863269340695392,True,True,False,True,A3706
6,0.19068702176561392,0.19083271137344132,1.4531135606879337,47.64410936086596,7.582443334230811,1.5328651171222618,0.0,0.9758582377431587,True,True,False,True,A3706
7,0.11431216640225045,0.11402225258298523,2.0106044688586473,82.66150456084468,55.31041107820358,0.035491488811516245,0.0,0.9163792617991078,True,False,True,False,A3706
8,0.0919234131477427,0.09478850945992322,2.6539724549996726,2.8654516211900383,1.5913616072170533,0.04031556679043369,0.0,0.1911853329279842,False,False,False,False,A3706
9,0.8268193379737255,0.829021478002546,0.8377168066909499,16.47073143512706,2.5490870653463764,1.7931302199449808,0.0,0.9268057021751577,True,True,False,True,A3706
10,0.04536093354252525,0.04411079779322469,1.252840313239205,7.330403211729656,4.295429842143577,0.033188482998756444,0.052,0.4767089858247484,False,False,False,False,A3706
11,0.775422980040066,0.7753669553561927,0.6514538099837862,12.56761533273949,1.160073526723241,1.9555397714830662,0.0,0.9426498768468295,True,True,False,True,A3706
12,0.8745384625276676,0.8743657018076564,0.11142579323888778,28.249080589200382,3.300724962854379,2.0611999745888587,0.0,0.9931220873956086,True,True,False,True,A3706
13,0.6994813996410437,0.6929488499018263,2.6734521138510647,18.750799046162314,2.182201347546727,1.2683470908941004,0.0,0.9697795049639473,True,True,False,True,A3706
14,0.3841451751872984,0.38365934495545573,0.3047421937302959,43.27877284425289,9.172973943219553,0.8137263980614201,0.0,0.9699176296158434,True,True,False,True,A3706
