unit,area,b0,gain,pd_rad,pd_deg,r2,best_lag
56,PMd,0.9213728030066777,0.4304118211098375,-1.7681688617923312,258.69138675284887,0.0021481427965596156,-0.04000000000000009
57,PMd,1.7095419054552177,2.3879894136973907,2.9090442914672736,166.6759603176997,-0.0025325690456285965,-0.10000000000000006
58,PMd,1.031520221616735,4.08377485481177,3.0516348144039145,174.8457954805326,0.006331065945252234,-0.10000000000000006
59,PMd,1.2657466494322613,2.978957371106699,-2.341674842423745,225.83191453715733,0.006145511588116492,0.05999999999999986
60,PMd,2.1901182667872927,1.3265904200751284,-0.6698752162190011,321.61897731023777,-0.0030089883008301843,-0.04000000000000009
61,PMd,8.309066252038372,2.2179423219783057,2.3517119020594683,134.74316661869074,0.0022039008747534172,-0.2
62,PMd,0.86627732593536,0.6334498768457015,-0.7878425070513291,314.859949424953,0.004000320144409764,0.09999999999999984
63,PMd,0.6978361874412482,5.721993947297152,1.1521075917831591,66.01090255415615,0.01958725560141683,0.07999999999999985
64,PMd,0.6044985018369357,0.9510084423752103,0.7798934315929197,44.68460210024908,-0.0006854348931149001,0.01999999999999988
65,PMd,0.907291397212743,2.945074581440992,1.2298089669913694,70.46286341594904,0.0057867624888181535,0.1799999999999998
66,PMd,2.156564419891337,5.6267978978171564,0.9092256954637945,52.09479497492251,0.0020496005879574453,0.05999999999999986
67,PMd,14.265752622238011,7.457300992528999,-0.1954965395034355,348.7988733770406,0.004410707439915229,-0.0200000000000001
68,PMd,1.7561126232851554,2.403810104145596,0.24139466714167299,13.830895624183194,0.004727292954002871,0.23999999999999977
69,PMd,1.58692887689684,1.1670156309998243,0.9861051665808139,56.49966420112563,-0.00032816669882729244,0.1999999999999998
70,PMd,13.78845146522532,5.839427387517327,-1.2851686830988946,286.3652584960474,0.0024777458052096524,0.11999999999999983
71,PMd,0.3417850390403179,3.194355483165056,-2.2876100708754787,228.92959776721193,0.006781712794952988,0.07999999999999985
72,PMd,3.60688818956169,4.942683505172721,-2.1692819622314716,235.70929899027902,-0.001033146459047618,-0.16000000000000003
73,PMd,5.397795792351062,3.997851663949904,0.16077456648075483,9.211704112392725,0.0018934189637600518,-0.10000000000000006
74,PMd,0.3711936304358552,0.21457470493655803,2.9673389756716233,170.01599969065688,-0.0007975585441251098,0.01999999999999988
75,PMd,4.107626399562723,5.642133844673113,0.07294105799333758,4.179214776237221,0.001144850710887213,-0.06000000000000008
76,PMd,2.714815922258486,9.04377285261007,1.1957391403242594,68.51080613918137,0.012022935936039092,-1.1102230246251565e-16
77,PMd,3.590994843682348,2.217691128377094,3.078250702473262,176.3707735348988,-0.0019943294734006134,-0.18000000000000002
78,PMd,0.6243291512820699,0.4472358386868373,3.041419883463624,174.26052304963633,-0.0002400617304290087,-0.14000000000000004
79,PMd,0.9948843259534288,1.083465322189293,0.2972421054028524,17.030718133166207,0.0006035274739991658,-0.2
80,PMd,0.5777434572603243,0.39129103595215814,-1.9272229041096007,249.57826141357413,7.090400621190263e-06,-0.2
81,PMd,0.3483812495121604,0.2747087891133369,0.6645391764156404,38.07529012971585,-0.004398003394814998,-0.2
82,PMd,5.208484818074429,2.3084621991858496,-2.2925888189553136,228.64433651497853,-0.0006062689200745375,-0.16000000000000003
83,PMd,0.1249555102320264,0.23064550650566107,-0.8615241867095994,310.63830015309924,-0.0015156483190603698,0.07999999999999985
84,PMd,3.1967389422767045,1.3572776137086207,-1.4505995278815813,276.8867692887156,0.0034961035510092664,-0.0200000000000001
85,PMd,0.34538101677428634,1.4664804469219819,1.7885634949974378,102.47713965452111,-0.0021460443768845927,0.13999999999999982
86,PMd,3.2048151448180713,1.124482243947164,-1.5927825498276806,268.74028221278814,0.0031588681059320223,0.21999999999999978
87,PMd,0.1413111305558411,0.1989451358019955,-2.3269586140203846,226.6750923150204,-0.0020102739807685843,-0.18000000000000002
88,PMd,2.951869782904508,1.8104076113028704,-1.0424680630514187,300.2709797099759,-0.0029121674753012083,-0.2
89,PMd,0.8446495062166224,2.436730502944765,0.22046514031334277,12.631722069714044,0.0038195906383647893,0.09999999999999984
90,PMd,2.4451288669215265,8.292453504452947,-0.5583622206529453,328.0082013170338,0.011648123426096446,0.09999999999999984
91,PMd,0.41760662694878375,1.7077424231987022,-0.505965155782786,331.01033199296717,-0.0004651765083629744,0.11999999999999983
92,M1,0.3125114924547298,0.15790884537163113,-1.1371715122185218,294.84487176736917,-0.003167021677186188,-0.12000000000000005
93,M1,1.7071238507475466,0.9896384673349637,0.004294231735788864,0.24604135471183952,-0.0038458144069151157,-0.12000000000000005
94,M1,0.8544572148765787,1.045681285943467,-0.03603347993949482,357.9354336782976,0.0016603877608798445,-0.0200000000000001
