unit,area,"direction only
(cos θ, sin θ)","velocity
(vₓ, v_y)",velocity + speed,"nonlinear velocity
(5×5 B-spline)"
147,M1,0.0006632489734329283,0.00046302519040182234,0.004008096549659968,0.004294867487624287
148,M1,0.0002209184633102268,0.00019135064212605357,7.009021064732223e-05,-0.0011061097378842534
149,M1,0.0011626992461970076,0.0005665274540660903,0.04695010036230087,0.05439750030636788
150,M1,0.0004967118249624037,0.00018318697657377926,0.00046031972742639483,0.00045418177905958145
151,M1,-0.0004347521000454435,0.0034530807577539237,0.02122155763208866,0.02403690032660961
152,M1,0.05365354120731354,0.14701341688632966,0.1903845876455307,0.21288976073265076
153,M1,0.000877681071870029,0.000337007060443284,0.024593959003686904,0.02403072118759155
154,M1,0.009701143018901348,0.004039010079577565,0.014731116592884064,0.01569830495864153
155,M1,0.02435089126229286,0.03666046671569347,0.08645882159471512,0.11309905797243118
156,M1,0.005705325026065111,-7.399753121717367e-05,0.0001546987856272608,0.004695780924521387
157,M1,0.006056029815226793,0.0008275900967419147,0.011121571063995361,0.015971306897699832
158,M1,-0.00015198010805761442,0.0004826586693525314,0.01851891241967678,0.01837999150156975
159,M1,0.05405929014086723,0.07852652966976166,0.07800959199666976,0.08579399585723876
160,M1,7.179204549174756e-05,0.0006681642029434442,0.0007441680383635685,0.001784109859727323
161,M1,0.06776422485709191,0.09452281296253204,0.09401528537273407,0.10625083148479461
162,M1,0.001593297626823187,0.0002239770779851824,0.009681719215586781,0.005545824114233255
163,M1,0.0021703613761928863,0.0012185124433017336,0.001073551143053919,0.004022283793892712
164,M1,0.0016442077001556754,0.0010320934816263616,0.023611609637737275,0.02163134478032589
165,M1,0.0012037517386488616,0.00027520460753294174,0.042443419247865675,0.04062316194176674
166,M1,0.007797214109450579,0.0007680153707042336,0.03638437539339066,0.03841863572597504
167,M1,0.0010871053906157612,0.0004054647477460094,0.005867656599730253,0.006820595636963844
168,M1,0.010395474918186664,0.03114217408001423,0.04478610754013061,0.04389585927128792
169,M1,0.0017344388499623165,0.00012299673107918352,0.005649987421929836,0.008293352834880353
170,M1,0.0009531550807878375,0.0012324365670792758,0.0029337095795199273,-0.0024013013811782003
171,M1,0.001305520406458527,0.0038589637657423736,0.0075665641576051716,0.011700393632054329
172,M1,-8.275879081338644e-05,-0.0002431377834000159,0.0032846467918716373,-0.0003082597628235817
173,M1,5.082505666393899e-05,0.0003065222772420384,0.0003943884040836565,4.309893120080232e-06
174,M1,-0.0004067051224410534,0.00016373298276448623,0.00532810022123158,0.0014690415933728217
175,M1,0.002683925605379045,0.0014005124801769852,0.0014948655269108712,0.002529546921141446
176,M1,0.0007679689966607839,0.0032809118274599314,0.006062110792845488,0.006771383248269558
177,M1,0.001899678079644218,0.013929824903607368,0.05002085641026497,0.05127126798033714
178,M1,0.0017928011395270005,0.0011209231917746366,0.010481762327253818,0.011027411557734013
179,M1,0.002386148169171065,0.0016286040656268597,0.002314202697016299,0.0025265309028327464
180,M1,0.0015324114356189966,0.001150268642231822,0.0651689499616623,0.06922808736562729
