unit,cell_type,location,n_spikes,rate,mrl,rayleigh_p,pref_phase,mrl_control
143,excitatory,rCA1,1271,1.1177336365122166,0.09504644514888022,1.0314150395640664e-05,1.9860849581732138,0.008692351434567324
144,excitatory,rCA1,203,0.17852079324309988,0.15733006739551683,0.006572846575121004,-3.092978099420713,0.08418111445318212
145,excitatory,rCA1,1396,1.2276602333367854,0.17582846732587964,1.805557621294511e-19,-2.860229036116902,0.049050107783472276
146,excitatory,rCA1,2397,2.107952420707933,0.10582959833709951,2.1920814045770445e-12,-0.7342516405997416,0.015261040473272902
147,excitatory,rCA1,136,0.11960013734513096,0.14669660961402475,0.05357323101466593,-1.962546136988704,0.010221010110804913
148,excitatory,rCA1,1870,1.6445018884955507,0.5039570945217107,5.5072528178416675e-207,-1.7972524794482492,0.016031992125932124
151,excitatory,rCA1,3132,2.7543208100363983,0.1742392472345123,5.0692782915166806e-42,-2.031647545102401,0.013869842821525999
161,excitatory,rCA1,2085,1.833575635033809,0.026682502231086234,0.22663191344424766,0.07988998541159885,0.011960496389782164
163,excitatory,rCA1,1397,1.228539646111382,0.11143596752144001,2.923465910656511e-08,-2.095681864332995,0.03493306375436818
168,inhibitory,rCA1,28179,24.780972575356216,0.435432897518386,0.0,-1.774970506559417,0.009613518272122746
169,excitatory,rCA1,504,0.4432240383966618,0.23268887724770349,1.4083064231710714e-12,-1.9430617846122167,0.024034797592105476
171,excitatory,rCA1,1325,1.1652219263404302,0.25348033688237315,1.0632985003790608e-37,2.780532190266962,0.040349851132315276
172,excitatory,rCA1,320,0.2814120878708964,0.1164435254643349,0.013050742122311913,1.597944497125762,0.07691552384964759
173,excitatory,rCA1,2286,2.010337602727716,0.11245459860411709,2.786443927172656e-13,2.4823752641746855,0.02789338545067107
175,excitatory,rCA1,1245,1.0948689043727062,0.11406104228101774,9.238029847887354e-08,-2.0210054229142047,0.042518733950480496
176,excitatory,rCA1,4026,3.540515830525715,0.07042822112671097,2.1249855875987812e-09,-1.509634310901125,0.007124893033788822
177,excitatory,rCA1,820,0.7211184751691719,0.03895131776291939,0.28819780044669036,-2.9032336879965674,0.01518108290034629
178,inhibitory,rCA1,20623,18.136129650504675,0.3064762079305221,0.0,1.5293470227577954,0.0034954741742592222
179,excitatory,rCA1,1828,1.6075665519624955,0.11611080730652307,1.981497045905051e-11,-2.522463045736319,0.027549656910773084
180,excitatory,rCA1,3059,2.69012367749085,0.199664934967978,1.0905171925593808e-53,-3.0496010656579395,0.014179788294685598
181,excitatory,rCA1,2895,2.5458999824570157,0.06709642689091123,2.186761661366689e-06,1.5792594324947333,0.004687966885418039
182,excitatory,rCA1,2052,1.8045550134721229,0.1496578854161579,1.096438748849256e-20,-1.986387568607992,0.02054305069084276
183,excitatory,rCA1,2089,1.8370932861321954,0.11282388121331942,2.8282650427052452e-12,2.637781201018786,0.00914706530686847
186,excitatory,rCA1,836,0.7351890795627167,0.10416942648333768,0.00011487554534683032,-3.066301392948431,0.04186226524266913
201,excitatory,rCA1,1918,1.686713701676185,0.03457732392716674,0.10094856282060678,-3.060621347794904,0.030426338949459033
202,excitatory,rCA1,1109,0.9752687670275753,0.14748604101776314,3.337831376631887e-11,-1.244527574804776,0.03780935463259646
203,excitatory,rCA1,987,0.8679804085267959,0.0522136547602791,0.06782500893092923,2.5001495869708004,0.04018510536670909
204,excitatory,rCA1,1220,1.0728835850077925,0.1081512927431512,6.347868340265795e-07,2.058759931950628,0.034300837068062286
210,excitatory,rCA1,610,0.5364417925038962,0.08510319949933583,0.012058827861369501,1.6621807102682253,0.07073362007604271
211,excitatory,rCA1,845,0.7431037945340857,0.030344417304252625,0.4592951744604618,1.5704818405845076,0.06698430268422
