start,stop,orientation,spatial_frequency,phase
5424.476788642938,5424.726992141096,60.0,0.16,0.0
5424.726992141096,5424.9772061429385,0.0,0.32,0.5
5424.9772061429385,5425.227420144781,120.0,0.08,0.5
5425.227420144781,5425.477634146623,120.0,0.08,0.75
5425.477634146623,5425.727848148466,60.0,0.16,0.5
5425.727848148466,5425.9780491466245,30.0,0.16,0.75
5425.9780491466245,5426.228250144781,90.0,0.32,0.5
5426.228250144781,5426.478451142939,60.0,0.16,0.0
5426.478451142939,5426.728652141096,150.0,0.32,0.5
5426.728652141096,5426.978868642938,0.0,0.04,0.0
5426.978868642938,5427.229085144781,60.0,0.16,0.25
5427.229085144781,5427.479301646623,120.0,0.16,0.5
5427.479301646623,5427.729518148465,0.0,0.02,0.0
5427.729518148465,5427.979716646623,0.0,0.02,0.25
5427.979716646623,5428.2299151447805,120.0,0.08,0.75
5428.2299151447805,5428.480113642939,30.0,0.02,0.75
5428.480113642939,5428.730312141096,90.0,0.08,0.0
5428.730312141096,5428.980528642938,150.0,0.04,0.25
5428.980528642938,5429.2307451447805,120.0,0.04,0.25
5429.2307451447805,5429.480961646625,90.0,0.16,0.0
5429.480961646625,5429.731178148466,150.0,0.02,0.5
5429.731178148466,5429.981394146623,150.0,0.04,0.75
5429.981394146623,5430.2316101447805,120.0,0.04,0.25
5430.2316101447805,5430.481826142938,90.0,0.04,0.0
5430.481826142938,5430.732042141096,60.0,0.32,0.0
5430.9822461429385,5431.232450144781,90.0,0.32,0.0
5431.232450144781,5431.482654146625,150.0,0.16,0.75
5431.482654146625,5431.732858148465,30.0,0.32,0.75
5431.732858148465,5431.9830641466215,120.0,0.02,0.0
5431.9830641466215,5432.233270144779,150.0,0.08,0.75
5432.233270144779,5432.483476142937,0.0,0.16,0.5
5432.483476142937,5432.733682141095,60.0,0.16,0.5
5432.733682141095,5432.983893642939,0.0,0.02,0.0
5432.983893642939,5433.234105144781,150.0,0.08,0.0
5433.234105144781,5433.484316646624,90.0,0.16,0.5
5433.484316646624,5433.734528148466,120.0,0.32,0.75
5433.734528148466,5433.984731646623,120.0,0.32,0.5
5433.984731646623,5434.234935144781,90.0,0.02,0.25
5434.234935144781,5434.485138642938,120.0,0.32,0.75
5434.485138642938,5434.735342141096,90.0,0.32,0.5
5434.735342141096,5434.985553642939,0.0,0.02,0.0
5434.985553642939,5435.235765144781,90.0,0.04,0.5
5435.235765144781,5435.4859766466225,90.0,0.04,0.0
5435.4859766466225,5435.736188148466,150.0,0.02,0.75
5435.736188148466,5435.986391646623,60.0,0.32,0.75
5435.986391646623,5436.236595144781,30.0,0.04,0.25
5436.236595144781,5436.486798642938,120.0,0.32,0.0
5436.486798642938,5436.737002141096,90.0,0.02,0.75
5436.737002141096,5436.987216142938,0.0,0.32,0.75
5436.987216142938,5437.237430144781,90.0,0.02,0.25
5437.237430144781,5437.487644146623,90.0,0.04,0.25
5437.487644146623,5437.737858148465,0.0,0.16,0.5
5437.737858148465,5437.9880641466225,120.0,0.16,0.0
5437.9880641466225,5438.2382701447805,30.0,0.16,0.75
5438.2382701447805,5438.488476142938,150.0,0.16,0.0
5438.488476142938,5438.738682141096,30.0,0.04,0.0
5438.738682141096,5438.988896142938,60.0,0.04,0.5
5438.988896142938,5439.239110144781,150.0,0.08,0.25
5439.239110144781,5439.4893241466225,120.0,0.02,0.5
5439.4893241466225,5439.739538148467,60.0,0.08,0.0
5439.989741646623,5440.239945144781,150.0,0.04,0.0
5440.239945144781,5440.490148642938,30.0,0.04,0.25
5440.490148642938,5440.740352141096,30.0,0.04,0.75
5440.740352141096,5440.990566142938,60.0,0.04,0.0
5440.990566142938,5441.240780144781,30.0,0.16,0.25
5441.240780144781,5441.490994146623,120.0,0.16,0.75
5441.490994146623,5441.741208148465,60.0,0.16,0.75
5441.741208148465,5441.991409146624,30.0,0.02,0.0
5441.991409146624,5442.241610144781,60.0,0.02,0.25
5442.241610144781,5442.491811142939,120.0,0.16,0.5
5442.491811142939,5442.742012141096,30.0,0.02,0.5
5442.742012141096,5442.992228642938,30.0,0.08,0.5
5442.992228642938,5443.2424451447805,0.0,0.08,0.25
5443.2424451447805,5443.492661646625,90.0,0.16,0.5
5443.492661646625,5443.742878148466,150.0,0.16,0.75
5443.742878148466,5443.993089146623,30.0,0.08,0.25
5443.993089146623,5444.243300144781,60.0,0.08,0.0
5444.243300144781,5444.493511142939,60.0,0.32,0.75
5444.493511142939,5444.743722141096,30.0,0.04,0.5
5444.743722141096,5444.993928642938,0.0,0.04,0.75
5444.993928642938,5445.244135144781,150.0,0.02,0.5
5445.244135144781,5445.494341646623,150.0,0.02,0.25
5445.494341646623,5445.7445481484665,120.0,0.04,0.0
5445.7445481484665,5445.994751646623,0.0,0.08,0.75
5445.994751646623,5446.244955144781,30.0,0.02,0.5
5446.244955144781,5446.495158642938,60.0,0.32,0.25
5446.495158642938,5446.745362141096,0.0,0.32,0.5
5446.745362141096,5446.995576142938,150.0,0.32,0.0
5446.995576142938,5447.245790144781,120.0,0.02,0.25
5447.245790144781,5447.496004146623,90.0,0.16,0.75
5447.496004146623,5447.746218148465,150.0,0.04,0.0
5447.746218148465,5447.996424146623,120.0,0.04,0.5
5447.996424146623,5448.246630144779,60.0,0.02,0.0
5448.246630144779,5448.496836142938,60.0,0.32,0.75
5448.496836142938,5448.747042141096,60.0,0.08,0.5
5448.747042141096,5448.997253642939,60.0,0.32,0.25
5448.997253642939,5449.247465144781,120.0,0.16,0.75
5449.247465144781,5449.4976766466225,90.0,0.02,0.5
5449.4976766466225,5449.747888148466,90.0,0.08,0.25
5449.747888148466,5449.998096646623,60.0,0.16,0.25
5449.998096646623,5450.248305144781,150.0,0.08,0.25
5450.248305144781,5450.498513642939,150.0,0.02,0.5
5450.498513642939,5450.748722141097,90.0,0.16,0.0
5450.748722141097,5450.998933642938,60.0,0.32,0.5
5450.998933642938,5451.2491451447795,120.0,0.04,0.75
5451.2491451447795,5451.499356646623,60.0,0.32,0.5
5451.499356646623,5451.749568148465,30.0,0.04,0.5
5451.749568148465,5451.999766646623,0.0,0.08,0.0
5451.999766646623,5452.249965144781,90.0,0.16,0.0
5452.249965144781,5452.500163642939,90.0,0.16,0.25
5452.500163642939,5452.750362141096,60.0,0.16,0.75
5452.750362141096,5453.000583642938,30.0,0.32,0.0
5453.000583642938,5453.250805144781,120.0,0.32,0.25
5453.250805144781,5453.501026646623,120.0,0.02,0.0
5453.501026646623,5453.751248148466,60.0,0.16,0.5
5453.751248148466,5454.001444146623,120.0,0.02,0.5
5454.001444146623,5454.251640144781,90.0,0.32,0.0
5454.251640144781,5454.501836142938,30.0,0.08,0.5
5454.501836142938,5454.752032141097,150.0,0.08,0.25
5454.752032141097,5455.002251142938,60.0,0.04,0.5
5455.002251142938,5455.252470144781,30.0,0.16,0.25
5455.252470144781,5455.502689146623,0.0,0.16,0.0
5455.502689146623,5455.752908148465,30.0,0.08,0.75
5455.752908148465,5456.0031116466225,0.0,0.04,0.75
5456.0031116466225,5456.253315144781,60.0,0.04,0.25
5456.253315144781,5456.503518642939,90.0,0.32,0.5
5456.503518642939,5456.753722141096,30.0,0.16,0.75
5456.753722141096,5457.003936142938,30.0,0.16,0.5
5457.003936142938,5457.2541501447795,0.0,0.04,0.5
5457.2541501447795,5457.504364146623,0.0,0.08,0.25
5457.504364146623,5457.754578148465,120.0,0.04,0.25
5457.754578148465,5458.004786646623,90.0,0.32,0.0
5458.505203642938,5458.755412141096,60.0,0.02,0.5
5458.755412141096,5459.005623642938,30.0,0.32,0.0
5459.005623642938,5459.255835144781,120.0,0.02,0.0
5459.255835144781,5459.506046646623,0.0,0.16,0.5
5459.506046646623,5459.756258148465,60.0,0.02,0.5
5459.756258148465,5460.006474146621,120.0,0.08,0.75
5460.006474146621,5460.25669014478,90.0,0.16,0.5
5460.25669014478,5460.5069061429385,0.0,0.08,0.25
