unit_id,session,structure,mean_rate,max_rate,pref_dir,pref_ori,gOSI,gDSI,p_gOSI
950919993,715093703,VISpm,2.7661160092992443,4.793310209090465,0.0,0.0,0.3258126271981522,0.07460098690569537,0.001996007984031936
950920017,715093703,VISpm,0.16457837550082857,0.35969958426032567,180.0,0.0,0.2722973103811979,0.10553029698449069,0.001996007984031936
950920040,715093703,VISpm,2.301617972888822,3.1243225840393563,45.0,45.0,0.10885131159580529,0.038857423618848384,0.001996007984031936
950920092,715093703,VISpm,1.9173546232949712,2.797643252294411,225.0,45.0,0.11701286905744741,0.10367444074565342,0.001996007984031936
950920151,715093703,VISpm,0.18045072467645584,0.41298898712478455,315.0,135.0,0.0933158286176849,0.24577332108997307,0.844311377245509
950920194,715093703,VISpm,3.781955916451571,10.13152106346195,315.0,135.0,0.5757801563306386,0.039511651812550064,0.001996007984031936
950920213,715093703,VISpm,0.8588328354800029,2.6644257849242545,225.0,45.0,0.4604367204172228,0.19764540141632528,0.001996007984031936
950920233,715093703,VISpm,5.473742420488681,5.961252411165004,0.0,0.0,0.019164651472326502,0.03285391989294307,0.35528942115768464
950920273,715093703,VISpm,0.8588271172352953,1.0524508400880528,270.0,90.0,0.03027118539413803,0.06240052674600519,0.7964071856287425
950920290,715093703,VISpm,16.93575442306473,24.346295014660456,315.0,135.0,0.20687861282842404,0.013305329881645038,0.001996007984031936
950920309,715093703,VISpm,10.237316556793346,14.820971811549875,180.0,0.0,0.20512887309919917,0.008295065979715103,0.001996007984031936
950920341,715093703,VISpm,0.7610686228083459,1.2189822498246556,180.0,0.0,0.2720132039606812,0.024522101420158995,0.001996007984031936
950920362,715093703,VISpm,0.004177114116652047,0.02700437710585559,135.0,135.0,0.8261794008438919,0.676843553241846,0.07984031936127745
950920383,715093703,VISpm,0.08689081038431076,0.159865346774913,225.0,45.0,0.32653068439407484,0.18045206040955428,0.043912175648702596
950920419,715093703,VISpm,3.399340097649697,6.947509516122309,315.0,135.0,0.22782304323707264,0.15168549517642102,0.001996007984031936
950920434,715093703,VISpm,0.1428640226867821,0.4529524869221563,225.0,45.0,0.4267446952679822,0.35220665727469197,0.001996007984031936
950920448,715093703,VISpm,6.759421065437099,9.13904998212205,180.0,0.0,0.1508665694217514,0.01330090500695444,0.001996007984031936
950920493,715093703,VISpm,0.08858276730157646,0.21981685260403333,315.0,135.0,0.20327783325606957,0.22898085685962927,0.1157684630738523
950920511,715093703,VISpm,3.8596448714019096,11.870076130836917,315.0,135.0,0.7356748841214448,0.045255737837633626,0.001996007984031936
950920536,715093703,VISpm,0.031745942080949545,0.11323851275993786,225.0,45.0,0.5211857001161071,0.6106729025838262,0.001996007984031936
950920578,715093703,VISpm,0.25981588454275284,0.43963377178638335,180.0,0.0,0.10726561670005955,0.10481655276891863,0.281437125748503
950920612,715093703,VISpm,0.6875578045341935,1.1656886207248913,225.0,45.0,0.0699182061153512,0.1557695125300795,0.49500998003992014
950920646,715093703,VISpm,6.992504942909555,8.357901950430294,0.0,0.0,0.03981466953195429,0.01847229895586527,0.16966067864271456
950921331,715093703,VISpm,6.023436397204529,8.692768516720191,180.0,0.0,0.16201221472619104,0.03713521791775618,0.001996007984031936
950921353,715093703,VISpm,7.87722678333522,10.358003646164507,315.0,135.0,0.07208050735860592,0.032573545606885634,0.02594810379241517
950921375,715093703,VISpm,0.01003201080341115,0.02025295399459105,135.0,135.0,0.23558363464556945,0.16837615346796084,0.7624750499001997
950921395,715093703,VISpm,5.054293436191658,7.193964597504303,270.0,90.0,0.1044664153891322,0.09156492165306931,0.001996007984031936
950921420,715093703,VISpm,0.9156218659986708,1.8451202295950528,225.0,45.0,0.5062737144574705,0.028685389128247165,0.001996007984031936
950921442,715093703,VISpm,0.08270668839707528,0.10657777415629,315.0,135.0,0.14654004913798505,0.05032978450362544,0.24151696606786427
950921456,715093703,VISpm,0.0618213097970847,0.1822799923804685,135.0,135.0,0.5745870308874642,0.08833486710806274,0.001996007984031936
950921476,715093703,VISpm,0.05680853078673648,0.11989978376475896,180.0,0.0,0.1881957524110537,0.26614268645074696,0.6307385229540918
950921655,715093703,VISpm,0.010860446620553499,0.039966494761772914,270.0,90.0,0.22925613346153345,0.31439039327763085,0.500998003992016
950921674,715093703,VISpm,0.05346684784109208,0.21315418392025112,270.0,90.0,0.7808091895185013,0.1755510171435477,0.001996007984031936
950921692,715093703,VISpm,0.03174602555399212,0.14654520068469676,180.0,0.0,0.4844960859235449,0.655491152510812,0.12375249500998003
950930088,715093703,VISp,11.849747885012029,13.356576362858341,45.0,45.0,0.034357269107827715,0.03752234134279315,0.16367265469061876
950930105,715093703,VISp,6.732767488933445,10.597848870992959,180.0,0.0,0.12869343388231988,0.15506003409696217,0.001996007984031936
950930145,715093703,VISp,6.526411332032435,8.206438659916982,90.0,90.0,0.028537760003793874,0.05425439822251484,0.7784431137724551
950930173,715093703,VISp,3.7486135522619337,7.120678370178448,225.0,45.0,0.5597016696366277,0.01907002775887939,0.001996007984031936
950930215,715093703,VISp,13.83293204592102,20.196391747310926,270.0,90.0,0.07862328432559804,0.025354009557842793,0.001996007984031936
950930237,715093703,VISp,6.627477785678718,19.06476941802434,45.0,45.0,0.6619053926048244,0.004915032993212402,0.001996007984031936
950930276,715093703,VISp,10.528173881147568,18.75090861158389,225.0,45.0,0.3287177767041121,0.008277740815191843,0.001996007984031936
950930295,715093703,VISp,2.7819845353550887,7.666910481219054,90.0,90.0,0.5995947807879983,0.017605740102504566,0.001996007984031936
950930321,715093703,VISp,2.3200202852361085,2.798103339289052,45.0,45.0,0.057671857615274394,0.0020299161507257605,0.029940119760479042
950930340,715093703,VISp,6.005955668477888,13.343084761558858,45.0,45.0,0.42790501514991913,0.03108065363789456,0.001996007984031936
950930358,715093703,VISp,6.638380733499475,8.715665216289214,135.0,135.0,0.038150561272928395,0.023592195556122204,0.15169660678642716
