,pref_dir,max_rate,mean_rate,gOSI,gDSI,OSI,pref_ori
950932205,45.0,7.267392064369612,5.8496380311210086,0.10426939168503087,0.04285059770775473,0.20738381423668484,45.0
950932315,90.0,2.7043978702474782,0.8989323672109618,0.5479034864728479,0.12422801119389125,0.7399365260870153,90.0
950932410,45.0,2.3047281308412324,1.5162876080854304,0.11381306221860674,0.09135444657692407,0.12621690239901906,45.0
950932428,225.0,4.736016384631809,3.3792916318381625,0.17866083662347304,0.016452621555109796,0.2669157625731424,45.0
950932445,0.0,6.548606593091863,3.9097846280692146,0.22996598066694238,0.05297850267986354,0.35145855530711645,0.0
950932496,90.0,1.405489319674104,0.8847453844318031,0.1499899770272841,0.05331373275167327,0.26747979820483186,90.0
950932529,315.0,1.5387146404543153,0.9758195989590811,0.05723296445258748,0.08589943713250159,0.09579565443917686,135.0
950932563,180.0,18.53788667240242,8.908170435336586,0.3423884003955095,0.05016325287795831,0.6341857352345146,0.0
950932578,180.0,3.177350908894842,2.213026185995799,0.06971197869203503,0.07574259157976324,0.10723140044836696,0.0
950932597,270.0,1.2123105963452774,0.8897571242462486,0.07968422356549058,0.05018909829611932,0.13513655921391673,90.0
950932614,270.0,3.4704082326299432,1.6683812506278348,0.23797583190762583,0.07618132327115633,0.3505118069486296,90.0
950932630,45.0,1.9984289030132167,1.3784542036312126,0.09170944075245654,0.10489838179175925,0.18255384472902061,45.0
950932643,90.0,1.1124002494457368,0.7309920071903626,0.19280343135430844,0.034627540928371545,0.29594122745408363,90.0
950932656,180.0,0.20649574149885186,0.1269839143976718,0.10298330135152718,0.11750148605707839,0.09791614931072001,0.0
950932669,180.0,4.909242376253997,2.61824583562611,0.39235534812133654,0.047405575808178474,0.6609787318974455,0.0
950932696,180.0,0.6860967068790014,0.2949034386441714,0.39973118726115237,0.3291109767504085,0.4389281447592333,0.0
950932708,225.0,0.5062428548649942,0.17460283169390542,0.4413327493107974,0.20727650087310293,0.5777960493773489,45.0
950932721,315.0,0.49958128430316273,0.3433572361736913,0.04969920295112613,0.04792207364846171,0.03575179434137788,135.0
950932731,225.0,0.026644285467207453,0.012531288093214023,0.44721046762325967,0.24037312816928638,0.3333288925782757,45.0
950932745,180.0,1.318904742973881,0.771093692526343,0.2758817796746733,0.04997369398196641,0.5114081992862005,0.0
950932756,135.0,3.2067617295543496,1.9950150083682296,0.15712118580478818,0.0880802534300551,0.226152746841641,135.0
950932797,270.0,0.7660248045539269,0.5722768843091257,0.1357886664042021,0.08556463050345894,0.19963681510740208,90.0
950933698,270.0,3.237284178729575,1.7853147056728738,0.2623677378615219,0.07428311178061951,0.46629925443893183,90.0
950933732,135.0,2.538417350497553,0.9055975308242953,0.6276657021291472,0.06976252611468536,0.879034757102424,135.0
950933750,315.0,0.03330545666629947,0.011695886140017852,0.5137748838366355,0.46402455213252325,0.7470422806020794,135.0
950933768,315.0,0.1465441025265569,0.046783548726302894,0.626318275787118,0.049998716394064384,0.8979676359216021,135.0
950933785,225.0,0.04662809857393969,0.021720960020053255,0.07403798497128755,0.1550898463867683,0.1069633810475488,45.0
950933803,270.0,2.76434874384203,1.3650787022363315,0.655776673867734,0.019467913531701225,0.9208082607921358,90.0
