start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch
3939.5664,3939.6152,3939.5928,8.233830451965332,0.0488,0.00027363983099348843,180.39122764617048,Awake,PRE
3940.5512,3940.5896,3940.5712,8.253066062927246,0.0384,0.00027625515940599144,169.26314377212935,Awake,PRE
3944.972,3945.012,3944.992,5.6973652839660645,0.04,0.00018108416406903416,160.82069963251445,Awake,PRE
3951.2544,3951.292,3951.2736,6.5554094314575195,0.0376,0.00023912405595183372,178.70317956695672,Awake,PRE
3951.4744,3951.5432,3951.5096,8.665088653564453,0.0688,0.0002417865180177614,176.41121618515865,Awake,PRE
3951.7744,3951.82,3951.7976,9.101700782775879,0.0456,0.0002874670026358217,167.7088614618691,Awake,PRE
3952.128,3952.1768,3952.1456,5.826401233673096,0.0488,0.0001991876633837819,171.34230016984904,Awake,PRE
3952.2488,3952.2864,3952.2656,7.850894451141357,0.0376,0.00034576820326037705,184.79498569024696,Awake,PRE
3952.764,3952.8072,3952.7872,8.167356491088867,0.0432,0.00024303239479195327,164.60744547343262,Awake,PRE
3957.24,3957.308,3957.2632,10.50146770477295,0.068,0.00033501756843179464,154.12039051490473,Awake,PRE
3958.4,3958.448,3958.4248,9.010552406311035,0.048,0.00028917338931933045,173.78205512525128,Awake,PRE
3961.836,3961.8848,3961.86,11.78466796875,0.0488,0.00034449255326762795,172.85474935538102,Awake,PRE
3962.0792,3962.1112,3962.0944,5.344666957855225,0.032,0.00021865725284442306,159.02329056796341,Awake,PRE
3963.3584,3963.4736,3963.4448,5.389921188354492,0.1152,0.00022874267597217113,160.30253904337977,Awake,PRE
3967.4584,3967.5288,3967.4776,9.75340461730957,0.0704,0.0003472893440630287,189.47453153151196,Awake,PRE
3970.5152,3970.6504,3970.5392,10.049620628356934,0.1352,0.00030610102112405,161.64777839281302,Awake,PRE
3977.5616,3977.5992,3977.58,6.665215015411377,0.0376,0.00023944345593918115,162.3294993714191,Awake,PRE
3978.4944,3978.5424,3978.516,9.276667594909668,0.048,0.00029600790003314614,176.6174707779629,Awake,PRE
3980.9512,3980.9928,3980.9704,9.080476760864258,0.0416,0.0002937955432571471,164.1364615495117,Awake,PRE
3984.9024,3984.9504,3984.928,7.253507614135742,0.048,0.00023074443743098527,160.26234677796168,Awake,PRE
3985.0368,3985.0744,3985.0544,6.8846435546875,0.0376,0.00021497295529115945,158.6230039744088,Awake,PRE
3987.6296,3987.6736,3987.6496,5.695842742919922,0.044,0.0002147003833670169,177.73735800015422,Awake,PRE
3988.4048,3988.4448,3988.4232,5.871686935424805,0.04,0.00018858253315556794,154.88632591996182,Awake,PRE
3988.7944,3988.8448,3988.8184,8.755264282226562,0.0504,0.00023708154913038015,157.83151806464883,Awake,PRE
3990.4744,3990.5248,3990.4968,10.737229347229004,0.0504,0.00034088463871739805,171.50693317916193,Awake,PRE
3992.0512,3992.1024,3992.0704,9.275792121887207,0.0512,0.00031118441256694496,190.76396652363525,Awake,PRE
3992.3216,3992.3616,3992.3432,10.543506622314453,0.04,0.00038652599323540926,185.95468941390996,Awake,PRE
3992.9728,3993.1168,3992.9992,9.252097129821777,0.144,0.0002714088768698275,178.8780938226223,Awake,PRE
3996.7312,3996.7848,3996.7544,8.722902297973633,0.0536,0.00031003824551589787,193.53711720707636,Awake,PRE
3997.7616,3997.8112,3997.7792,5.141851902008057,0.0496,0.00021063638268969953,167.82183265490383,Awake,PRE
4000.7704,4000.7992,4000.7848,5.077164649963379,0.0288,0.0001748744398355484,163.39271156307692,Awake,PRE
4002.2832,4002.3296,4002.304,8.266977310180664,0.0464,0.00024163736088667065,183.23293058792348,Awake,PRE
4002.54,4002.588,4002.5616,10.754465103149414,0.048,0.0002906518639065325,158.97483089092094,Awake,PRE
4003.7136,4003.7576,4003.7368,8.913928031921387,0.044,0.000278734922176227,179.37048565276842,Awake,PRE
4005.3632,4005.3936,4005.3776,6.426095008850098,0.0304,0.0002634268894325942,172.96413198227896,Awake,PRE
4007.6576,4007.7096,4007.6776,9.97652530670166,0.052,0.00032689361250959337,158.4270599934145,Awake,PRE
4009.9304,4009.9704,4009.9512,6.761463642120361,0.04,0.00024443829897791147,163.38799606469743,Awake,PRE
4011.2368,4011.2808,4011.2576,12.478337287902832,0.044,0.00042412098264321685,176.42483372017716,Awake,PRE
4011.9288,4012.0056,4011.9472,6.660635948181152,0.0768,0.00022296913084574044,153.18070213313968,Awake,PRE
4015.1544,4015.2024,4015.1752,9.28559684753418,0.048,0.00034654446062631905,163.72748799732787,Awake,PRE
