baseline_hz,bf_hz,bf_idx,peak_evoked_hz,evoked_at_bf_hz,latency_s,pval,unit,subject,session,path,n_spikes,pupil_frac_large
1.5521728482934094,16000.0,3,4.308042205470032,4.308042205470032,0.007500000000000144,0.001996007984031936,2,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,11022,0.49785177228786254
2.2840648063025095,2000.0,0,1.7054398913944087,-0.37930290154060486,,0.001996007984031936,3,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,12592,0.49785177228786254
1.2136895601603575,2000.0,0,0.8120557956947347,0.06522200446549276,,0.011976047904191617,4,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,7008,0.49785177228786254
1.4975991851319284,4000.0,1,1.1737393041008644,-0.9339387076783474,,0.001996007984031936,5,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,7875,0.49785177228786254
1.7665028935262972,16000.0,3,14.44989495593607,14.44989495593607,0.007500000000000144,0.001996007984031936,6,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,15093,0.49785177228786254
0.4201375061604692,8000.0,2,5.905044251936027,5.905044251936027,0.01750000000000015,0.001996007984031936,7,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,4634,0.49785177228786254
3.54623064298172,2000.0,0,6.072816976065899,6.072816976065899,0.012500000000000148,0.001996007984031936,8,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,22185,0.49785177228786254
6.8849223948971625,8000.0,2,40.768745813959406,40.768745813959406,0.007500000000000144,0.001996007984031936,9,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,56993,0.49785177228786254
17.32641494027577,4000.0,1,8.184195139299824,8.184195139299824,0.022500000000000155,0.03792415169660679,10,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,125844,0.49785177228786254
10.616633038472797,32000.0,4,3.985136873031628,3.985136873031628,0.01750000000000015,0.031936127744510975,11,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,64707,0.49785177228786254
0.9291367209335619,32000.0,4,0.6501689291685484,0.6501689291685484,0.012500000000000148,0.8762475049900199,12,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,6334,0.49785177228786254
3.7549110633839122,16000.0,3,9.86740076457307,9.86740076457307,0.007500000000000144,0.001996007984031936,13,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,27960,0.49785177228786254
0.3842014915701004,4000.0,1,0.30932062022905205,0.06672689039276425,0.052500000000000185,0.01996007984031936,14,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,2366,0.49785177228786254
29.76818548401906,8000.0,2,19.393781127313815,-15.240756534911334,0.012500000000000148,0.00998003992015968,15,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,146059,0.49785177228786254
7.619131546307528,2000.0,0,26.93188886185574,26.93188886185574,0.01750000000000015,0.001996007984031936,16,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,64884,0.49785177228786254
1.8903013152128536,4000.0,1,1.7337322205906616,-0.7828742595099356,,0.001996007984031936,17,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,10358,0.49785177228786254
1.735227248971565,32000.0,4,5.1401982105246935,5.1401982105246935,0.007500000000000144,0.023952095808383235,18,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,10890,0.49785177228786254
0.9346252333085941,16000.0,3,0.5777184256417072,0.4968263795946316,0.052500000000000185,0.9800399201596807,19,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,5417,0.49785177228786254
5.456634011039961,2000.0,0,5.5705768733137795,5.5705768733137795,0.02750000000000016,0.001996007984031936,20,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,36544,0.49785177228786254
12.80213369782876,8000.0,2,12.868718912878444,12.868718912878444,0.01750000000000015,0.007984031936127744,21,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,92206,0.49785177228786254
0.5076102261534724,2000.0,0,1.9345666445948266,1.9345666445948266,0.04750000000000018,0.003992015968063872,22,LA11,3,sub-LA11/sub-LA11_ses-3_behavior.nwb,3747,0.49785177228786254
