session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Cicero_09012014,30,R,22.76670552778255,1.1,0.88,1.6,0.7200000000000001,1.1178232531141337,980,True,0.06999999999999984,4.64441457563284,0.025809414326475745,0.3253493013972056
Cicero_09012014,32,R,9.514334842005571,1.5,1.16,1.6,0.44000000000000017,0.7782650801631089,190,True,-0.5900000000000001,5.480430032540643,-0.5146588069121565,0.001996007984031936
Cicero_09012014,61,R,10.348206338302754,0.8200000000000001,0.56,1.28,0.72,0.5202035486474049,395,True,-0.51,2.9438680324765722,-0.13443443595719476,0.003992015968063872
Cicero_09012014,65,R,10.259352006565742,1.58,1.36,1.6,0.24,1.2667299986941625,128,True,-0.75,5.879329577817999,-0.4910082677179194,0.001996007984031936
Cicero_09012014,66,R,6.29394166670882,0.86,0.6,1.08,0.4800000000000001,1.0744681828472589,208,True,-0.5999999999999999,3.7262058865232177,-0.34262289390500317,0.001996007984031936
Cicero_09012014,1,L,2.379192617847316,1.22,1.04,1.6,0.56,0.814608342303297,151,True,-0.32000000000000006,5.325094343979027,-0.45552006778991827,0.001996007984031936
Cicero_09012014,2,L,1.010460467508694,1.34,0.88,1.6,0.7200000000000001,0.5018020936789224,67,True,-0.07000000000000006,4.80326948640071,-0.028449053501085567,0.7584830339321357
Cicero_09012014,4,L,5.830980346184996,0.06,3.469446951953614e-18,0.28,0.28,0.7791647028381957,102,True,-0.16999999999999993,5.333610167834003,-0.1325861271154238,0.11177644710578842
Cicero_09012014,16,L,9.536067359261974,1.3,0.88,1.52,0.64,0.6095267748303441,462,True,1.2200000000000002,3.1986554815509396,-0.21250480935653665,0.001996007984031936
Cicero_09012014,21,L,5.266930568630223,0.02,3.469446951953614e-18,0.19999999999999998,0.19999999999999998,1.9169186043947952,58,True,-0.3999999999999999,4.144735434905547,-0.5022623948461685,0.001996007984031936
Cicero_09012014,29,L,7.485574582371273,0.7,0.52,1.08,0.56,0.8419058311097334,335,True,-0.5800000000000001,4.753462073692775,-0.4120121880848107,0.001996007984031936
Cicero_09012014,30,L,12.315763265374674,1.58,1.48,1.6,0.1200000000000001,1.2738639267104195,215,True,-0.09999999999999987,0.6230794930707282,-0.03174092900279357,0.5508982035928144
Cicero_09012014,33,L,1.2312835534297888,1.1400000000000001,0.84,1.44,0.6,0.8369127750586977,58,True,-0.28,3.2504233791354036,-0.21207353806322116,0.2055888223552894
Cicero_09012014,42,L,8.099294078743746,0.94,0.6799999999999999,1.32,0.6400000000000001,0.4056522715829518,399,True,-0.8,5.5370379615303635,-0.23238917656938132,0.001996007984031936
Cicero_09012014,55,L,4.210852414848967,0.98,0.43999999999999995,1.32,0.8800000000000001,0.7123213182891699,250,True,-0.1499999999999999,1.7646589455669996,-0.09440341557891084,0.1277445109780439
Cicero_09012014,57,L,1.2457428498845902,0.98,0.48,1.32,0.8400000000000001,0.8932907687360446,64,True,-1.3199999999999998,3.9508938632323,-0.30672516269871997,0.04790419161676647
Cicero_09012014,65,L,14.516739169121449,0.02,3.469446951953614e-18,0.16,0.16,1.953873052985786,140,True,-0.43999999999999995,4.949715396003845,-0.3350739317676454,0.001996007984031936
Cicero_09012014,69,L,7.167070393951554,0.98,0.76,1.32,0.56,0.4101519397657783,267,True,-0.71,5.098771732088604,-0.3143219930884983,0.001996007984031936
Cicero_09172014,18,R,11.448237339041171,0.98,0.43999999999999995,1.32,0.8800000000000001,0.5802432189795519,622,True,-1.0899999999999999,0.043042680999048434,0.07507443771750501,0.001996007984031936
Cicero_09172014,23,R,9.950993923103576,0.5,0.28,0.92,0.64,0.42133279609408536,414,True,0.16999999999999993,3.7306719966686326,0.10610112960967577,0.10978043912175649
Cicero_09172014,25,R,4.370632333544189,0.9,0.64,1.0,0.36,1.2883861480248613,116,True,-0.45999999999999996,4.496578381555564,-0.36878119006538024,0.001996007984031936
Cicero_09172014,27,R,5.352816482385537,1.26,0.64,1.4000000000000001,0.7600000000000001,0.6722371794481445,199,True,-0.72,5.859387810149152,-0.3564942688093259,0.001996007984031936
Cicero_09172014,31,R,12.975545686837243,1.98,1.76,2.0,0.24,0.7613665233521043,94,True,-0.16999999999999993,4.008562581722816,-0.27127106142826807,0.013972055888223553
