session,unit,cell_type,location,n_spikes,mrl,rayleigh_z,rayleigh_p,pref_phase,rate
Achilles_10252013,271,excitatory,rCA1,61,0.03999900432299119,0.09759514115667073,0.9077014023837331,5.126701217697931,0.29722100512623023
Achilles_10252013,272,excitatory,rCA1,122,0.15081249594797738,2.7748178899551608,0.0620846870694882,1.7386826158978193,0.5944420102524605
Buddy_06272013,2,excitatory,lCA1,1164,0.10428754972536373,12.659539484266329,3.0858958334193385e-06,5.928778173285686,8.894570982164183
Buddy_06272013,6,inhibitory,lCA1,7583,0.42593592012306847,1375.7185372513775,0.0,0.4901448157926203,57.94461491215721
Buddy_06272013,7,excitatory,lCA1,77,0.039462962726831655,0.11991405789280644,0.887642468567075,2.7695372815932706,0.588386568407768
Buddy_06272013,8,excitatory,lCA1,402,0.1276434927067679,6.549730214613849,0.0014040543368362148,6.124559870744671,3.071836370128867
Buddy_06272013,10,excitatory,lCA1,34,0.1603432081269414,0.8741381093429478,0.42024584241584195,6.009468962344992,0.25980705618005345
Buddy_06272013,12,excitatory,lCA1,1019,0.046934350806150875,2.2446871180211367,0.10594640228114031,5.430251396245984,7.786570301396307
Buddy_06272013,13,excitatory,lCA1,49,0.3973484980428881,7.736405615950012,0.0003422847326749385,5.747391953162412,0.3744278162594888
Buddy_06272013,15,excitatory,lCA1,58,0.3357615242014484,6.538676465776629,0.0012644853895335617,1.5957062743669925,0.44320027230715
Buddy_06272013,16,inhibitory,lCA1,3111,0.24668427577846866,189.31409339175732,3.2018760463995667e-84,4.673728153494399,23.77234564047489
Buddy_06272013,17,excitatory,lCA1,261,0.12251939098729228,3.9178713048211167,0.019739983025253476,4.783262951810195,1.9944012253821748
Buddy_06272013,18,excitatory,lCA1,200,0.4765319266063792,45.416535415037515,1.1667126699265777e-21,0.5324713423061486,1.5282768010591379
Buddy_06272013,19,excitatory,lCA1,100,0.2887449318503874,8.337363566928486,0.0002087161714450771,5.855981369848169,0.7641384005295689
Buddy_06272013,20,inhibitory,lCA1,4368,0.2982800914273597,388.62538453028054,2.050487444572515e-173,4.200067502812433,33.37756533513157
Buddy_06272013,21,inhibitory,lCA1,4065,0.2588684484883574,272.40733127655733,4.560430853394239e-121,4.294094255062052,31.06222598152698
Buddy_06272013,27,excitatory,lCA1,33,0.318576900014349,3.3492109603508338,0.03388721031723181,5.448527870371599,0.25216567217475777
Buddy_06272013,28,excitatory,lCA1,260,0.25239312916140627,16.56259582845044,5.047815476775878e-08,0.024738483421533924,1.9867598413768792
Buddy_06272013,29,inhibitory,lCA1,564,0.31802285704452943,57.042135207959575,3.894618945390229e-26,3.995234181443697,4.309740578986768
Buddy_06272013,30,excitatory,lCA1,99,0.03458581765895512,0.11842169953071066,0.8888191291239692,6.068331735451545,0.7564970165242733
Buddy_06272013,31,inhibitory,lCA1,2188,0.22395686633385134,109.74281141603588,5.464103302771153e-49,4.5155471560504195,16.719348203586968
Buddy_06272013,32,inhibitory,lCA1,7631,0.20231579321942894,312.34965149941735,8.713037008721963e-138,4.294518561211678,58.31140134441141
Buddy_06272013,33,inhibitory,lCA1,2771,0.26044398465968116,187.9598926019373,8.959361913593211e-84,3.9228431624682156,21.174275078674356
Buddy_06272013,36,excitatory,lCA1,153,0.32618245829625675,16.27843440332896,5.7100251361782104e-08,0.40741764943209285,1.1691317528102405
Buddy_06272013,38,excitatory,lCA1,50,0.17151524072734928,1.4708738900880287,0.2306245609894634,0.35136423087489677,0.38206920026478447
Buddy_06272013,39,excitatory,lCA1,575,0.22228138072211123,28.410182024043692,3.2843992552143844e-13,3.939405966454179,4.3937958030450215
Buddy_06272013,42,excitatory,lCA1,437,0.10802227216073333,5.099270530569417,0.006046024175915109,3.3254856023547044,3.3392848103142163
