template,wcorr,slope,p_circ,p_perm,max_p,significant
right,0.2769801719498397,138.78458829573444,0.1371571072319202,0.28428927680798005,0.28428927680798005,False
right,-0.18179001994596047,-79.69352131213222,0.47880299251870323,0.5685785536159601,0.5685785536159601,False
right,0.3401915253599368,200.66108866243354,0.032418952618453865,0.2718204488778055,0.2718204488778055,False
left,0.41872651625735524,205.04936740169805,0.014962593516209476,0.04488778054862843,0.04488778054862843,True
left,0.35274071970059034,180.8671785463955,0.04488778054862843,0.13216957605985039,0.13216957605985039,False
left,-0.3972902620062101,-248.52548078771247,0.05486284289276808,0.12219451371571072,0.12219451371571072,False
left,-0.13199737498095293,-60.61271802772351,0.6334164588528678,0.7082294264339152,0.7082294264339152,False
right,-0.1610592080465344,-72.78517255566017,0.5112219451371571,0.6758104738154613,0.6758104738154613,False
right,0.1678287027747033,88.04235784150981,0.513715710723192,0.6733167082294265,0.6733167082294265,False
right,0.3965105637619762,245.53413741079828,0.04738154613466334,0.10473815461346633,0.10473815461346633,False
right,0.38148028392871597,233.16614443542198,0.029925187032418952,0.19201995012468828,0.19201995012468828,False
left,0.16034795358179538,85.98108664354935,0.4488778054862843,0.5885286783042394,0.5885286783042394,False
right,0.45996177572559804,199.93354936775248,0.007481296758104738,0.029925187032418952,0.029925187032418952,True
right,-0.22767807391540476,-165.30930647730764,0.40648379052369077,0.6084788029925187,0.6084788029925187,False
left,-0.17626956032385063,-65.13474108369671,0.4538653366583541,0.46384039900249374,0.46384039900249374,False
left,0.28325994243807273,161.11004331482386,0.22942643391521197,0.33915211970074816,0.33915211970074816,False
right,-0.12016323695619739,-76.31611014472384,0.7930174563591023,0.8628428927680798,0.8628428927680798,False
left,-0.3126180050956154,-242.9431474533574,0.256857855361596,0.32169576059850374,0.32169576059850374,False
right,0.30950790062770395,222.4377692144789,0.10473815461346633,0.36159600997506236,0.36159600997506236,False
left,0.22664229117485182,96.73803224320223,0.20448877805486285,0.3915211970074813,0.3915211970074813,False
right,0.27275179457153487,122.55889722015908,0.20199501246882792,0.3341645885286783,0.3341645885286783,False
left,0.12388629031326891,84.2849733890644,0.6932668329177057,0.8179551122194514,0.8179551122194514,False
left,0.29148961245071,156.124481740914,0.11221945137157108,0.3266832917705736,0.3266832917705736,False
