template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,fwd
left,0.0560013912210681,32.487403807751896,0.9251870324189526,0.9551122194513716,0.9551122194513716,PRE,3717,17169.24,0.31999999999970896,38,False,False
right,-0.2841395191810969,-182.80643795696687,0.19451371571072318,0.4463840399002494,0.4463840399002494,PRE,3719,17172.43,0.2599999999983993,40,False,False
right,0.28322251920290537,159.63562495647517,0.14962593516209477,0.23690773067331672,0.23690773067331672,PRE,3722,17175.0,0.31999999999970896,46,False,True
left,-0.14510707199652134,-76.44376855865565,0.6957605985037406,0.7481296758104738,0.7481296758104738,PRE,3724,17175.66,0.33000000000174623,43,False,True
right,-0.3196623374384285,-146.05273619798993,0.10972568578553615,0.22443890274314215,0.22443890274314215,PRE,3733,17233.42,0.3600000000005821,47,False,False
left,0.20242717389892703,133.10879916277497,0.45885286783042395,0.628428927680798,0.628428927680798,PRE,3734,17236.39,0.26000000000203727,39,False,False
left,0.1744355843400168,111.77117002927581,0.5760598503740648,0.7231920199501247,0.7231920199501247,PRE,3738,17251.81,0.27999999999883585,34,False,False
left,0.11728336948386094,95.41446807984066,0.8379052369077307,0.8977556109725686,0.8977556109725686,PRE,3755,17311.28,0.25,42,False,False
left,-0.11866539005553618,-86.1870395935526,0.8478802992518704,0.9052369077306733,0.9052369077306733,PRE,3757,17325.67,0.26000000000203727,35,False,True
left,0.2536101563401089,111.90262349778742,0.1396508728179551,0.3341645885286783,0.3341645885286783,PRE,3764,17351.9,0.37999999999738066,44,False,False
right,-0.04600297707140201,-22.702574781959274,0.9376558603491272,0.9675810473815462,0.9675810473815462,PRE,3766,17355.18,0.3100000000013097,37,False,False
left,-0.27503100657311425,-171.28682005574842,0.16708229426433915,0.4314214463840399,0.4314214463840399,PRE,3770,17360.0,0.3100000000013097,48,False,True
left,0.24802453918473877,94.63397337341588,0.12967581047381546,0.27680798004987534,0.27680798004987534,PRE,3772,17368.7,0.4399999999986903,48,False,False
right,-0.03297468940607156,-23.596644461611362,0.9775561097256857,0.9825436408977556,0.9825436408977556,PRE,3776,17379.66,0.25,23,False,False
right,0.15237617146531188,63.17626855206944,0.5635910224438903,0.6359102244389028,0.6359102244389028,PRE,3780,17387.88,0.3999999999978172,59,False,True
right,0.1691960890815225,115.80754493049338,0.6109725685785536,0.7182044887780549,0.7182044887780549,PRE,3793,17439.34,0.25,35,False,True
left,0.2773840819402865,117.71394152205623,0.19950124688279303,0.18952618453865336,0.19950124688279303,PRE,3797,17529.81,0.41999999999825377,49,False,False
left,0.37500809813519015,211.41249022942395,0.032418952618453865,0.1770573566084788,0.1770573566084788,PRE,3799,17539.31,0.2999999999992724,40,False,False
left,-0.2700803204655799,-161.90368354650934,0.16708229426433915,0.3640897755610973,0.3640897755610973,PRE,3806,17557.38,0.2999999999992724,45,False,True
left,0.058125185275034644,31.616043450843467,0.9376558603491272,0.9501246882793017,0.9501246882793017,PRE,3807,17565.51,0.27000000000043656,41,False,False
left,0.35550108782963785,171.4361029834415,0.04239401496259352,0.14713216957605985,0.14713216957605985,PRE,3811,17569.81,0.3599999999969441,48,False,False
right,-0.2052896724703242,-128.386307284662,0.4912718204488778,0.6059850374064838,0.6059850374064838,PRE,3813,17575.39,0.2900000000008731,33,False,False
left,-0.1284400677771372,-89.46567896888894,0.7481296758104738,0.7980049875311721,0.7980049875311721,PRE,3815,17581.73,0.27000000000043656,32,False,True
right,0.2322605262660823,110.88735201251878,0.14713216957605985,0.42144638403990026,0.42144638403990026,PRE,3817,17593.94,0.38000000000101863,47,False,True
left,-0.04171971560981672,-26.488966300363348,0.9750623441396509,0.9650872817955112,0.9750623441396509,PRE,3818,17600.09,0.27000000000043656,39,False,True
right,0.2053716722929604,82.91200264156076,0.22443890274314215,0.44139650872817954,0.44139650872817954,PRE,3819,17607.62,0.4099999999998545,45,False,True
left,-0.044693031650324754,-23.514609177818823,0.970074812967581,0.9675810473815462,0.970074812967581,PRE,3820,17614.52,0.3400000000001455,37,False,True
left,0.21368234926029292,107.92016375837458,0.2793017456359102,0.48129675810473815,0.48129675810473815,PRE,3821,17619.47,0.3600000000005821,38,False,False
right,0.17952975243228259,105.63490533412599,0.4713216957605985,0.44139650872817954,0.4713216957605985,PRE,3822,17621.0,0.3100000000013097,45,False,True
right,0.5980718781407299,319.32858232875674,0.0024937655860349127,0.007481296758104738,0.007481296758104738,PRE,3823,17625.01,0.2800000000024738,33,True,True
right,0.22933830832599528,93.52951210319945,0.2169576059850374,0.34663341645885287,0.34663341645885287,PRE,3824,17625.92,0.4500000000007276,57,False,True
right,-0.045021331978384746,-19.862457772092327,0.9675810473815462,0.9600997506234414,0.9675810473815462,PRE,3826,17632.91,0.3499999999985448,43,False,False
right,0.21199340386734208,99.30824845787349,0.28428927680798005,0.513715710723192,0.513715710723192,PRE,3827,17633.98,0.38000000000101863,50,False,True
right,0.14628589473918016,68.39597702788967,0.6184538653366584,0.7630922693266833,0.7630922693266833,PRE,3828,17635.11,0.3099999999976717,46,False,True
right,0.3112324426766177,204.88564878075138,0.19950124688279303,0.39650872817955113,0.39650872817955113,PRE,3829,17644.73,0.27999999999883585,37,False,True
right,-0.061155462885573615,-24.63405869487917,0.8927680798004988,0.9376558603491272,0.9376558603491272,PRE,3831,17648.32,0.3499999999985448,39,False,False
left,0.26199406307476913,163.02046651042065,0.14962593516209477,0.4763092269326683,0.4763092269326683,PRE,3833,17653.85,0.3100000000013097,41,False,False
