template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,session
right,0.05109495238098784,19.952764941311973,0.8902743142144638,0.9551122194513716,0.9551122194513716,PRE,2286,12644.41,0.42000000000007276,22,False,Gatsby-08022013
right,-0.1449412442987029,-62.399896285420354,0.41895261845386533,0.6309226932668329,0.6309226932668329,PRE,2292,12721.26,0.3899999999994179,29,False,Gatsby-08022013
right,0.08884223283533073,31.376927322228532,0.7007481296758105,0.8029925187032418,0.8029925187032418,PRE,2297,12734.3,0.48000000000138243,26,False,Gatsby-08022013
right,0.08447935552962979,50.27834891006195,0.7356608478802993,0.85785536159601,0.85785536159601,PRE,2298,12737.9,0.25,16,False,Gatsby-08022013
right,0.20941630998507915,116.615438852376,0.2967581047381546,0.5236907730673317,0.5236907730673317,PRE,2301,12742.06,0.25,19,False,Gatsby-08022013
right,-0.06040753332392076,-30.11631661293061,0.885286783042394,0.9650872817955112,0.9650872817955112,PRE,2303,12750.97,0.3500000000003638,22,False,Gatsby-08022013
left,-0.17836776805591853,-133.62996659511361,0.5112219451371571,0.6533665835411472,0.6533665835411472,PRE,2309,12760.8,0.25,16,False,Gatsby-08022013
right,-0.06116196265755631,-27.288490714784476,0.827930174563591,0.9226932668329177,0.9226932668329177,PRE,2311,12769.16,0.3899999999994179,23,False,Gatsby-08022013
left,0.30351000667900724,195.9807575631163,0.10473815461346633,0.2194513715710723,0.2194513715710723,PRE,2315,12777.28,0.2999999999992724,21,False,Gatsby-08022013
right,0.3132492743322361,121.94564715592954,0.05236907730673317,0.16708229426433915,0.16708229426433915,PRE,2319,12787.5,0.3600000000005821,31,False,Gatsby-08022013
right,-0.43620721933763823,-249.60838177066563,0.004987531172069825,0.05486284289276808,0.05486284289276808,PRE,2327,12803.97,0.28000000000065484,20,False,Gatsby-08022013
left,0.32315794478143356,220.5586577331011,0.0773067331670823,0.16957605985037408,0.16957605985037408,PRE,2331,12816.68,0.27000000000043656,20,False,Gatsby-08022013
left,-0.19657083416105944,-106.96209616659992,0.314214463840399,0.516209476309227,0.516209476309227,PRE,2336,12827.59,0.36999999999898137,26,False,Gatsby-08022013
left,0.21837201060743922,98.59363868293846,0.23192019950124687,0.38154613466334164,0.38154613466334164,PRE,2358,12896.39,0.3500000000003638,22,False,Gatsby-08022013
left,0.18743818834605577,76.11013103256865,0.23940149625935161,0.3865336658354115,0.3865336658354115,PRE,2370,12918.63,0.43000000000029104,24,False,Gatsby-08022013
left,0.2775242824425363,156.79459960279257,0.09975062344139651,0.24189526184538654,0.24189526184538654,PRE,2376,12932.69,0.3400000000001455,21,False,Gatsby-08022013
right,0.18259520434047197,62.398198714467114,0.19451371571072318,0.2743142144638404,0.2743142144638404,PRE,2379,12940.25,0.47999999999956344,24,False,Gatsby-08022013
right,-0.0822990587421927,-25.77951547193987,0.743142144638404,0.8678304239401496,0.8678304239401496,PRE,2384,12951.91,0.46999999999934516,30,False,Gatsby-08022013
right,0.2933290257540379,189.59491488530037,0.04239401496259352,0.33665835411471323,0.33665835411471323,PRE,2392,12976.48,0.25,17,False,Gatsby-08022013
right,0.23047366118730744,89.62121769797682,0.12718204488778054,0.32169576059850374,0.32169576059850374,PRE,2393,12981.34,0.36999999999898137,19,False,Gatsby-08022013
left,0.3578185568256404,245.67190099137449,0.05486284289276808,0.11221945137157108,0.11221945137157108,PRE,2398,12993.08,0.27000000000043656,24,False,Gatsby-08022013
right,0.10353946768898889,66.6911355278889,0.7605985037406484,0.8453865336658354,0.8453865336658354,PRE,2405,13003.81,0.28000000000065484,25,False,Gatsby-08022013
right,-0.15456353992936778,-84.40232818865829,0.26433915211970077,0.5810473815461347,0.5810473815461347,PRE,2406,13007.72,0.2900000000008731,19,False,Gatsby-08022013
right,0.314984982778138,139.61104135864298,0.04239401496259352,0.10224438902743142,0.10224438902743142,PRE,2407,13011.09,0.3400000000001455,17,False,Gatsby-08022013
left,0.09040435380764289,60.557649934981846,0.773067331670823,0.8653366583541147,0.8653366583541147,PRE,2415,13024.88,0.3000000000010914,13,False,Gatsby-08022013
left,-0.13716488710187438,-94.89585549056723,0.6384039900249376,0.7930174563591023,0.7930174563591023,PRE,2417,13029.06,0.25,23,False,Gatsby-08022013
left,0.23398921436159087,124.86609233691331,0.23192019950124687,0.41895261845386533,0.41895261845386533,PRE,2418,13029.7,0.3599999999987631,22,False,Gatsby-08022013
left,-0.20948874369279397,-111.21734154737123,0.14214463840399003,0.46384039900249374,0.46384039900249374,PRE,2419,13033.94,0.2899999999990541,15,False,Gatsby-08022013
left,0.03580425928277507,16.05326254162211,0.9351620947630923,0.970074812967581,0.970074812967581,PRE,2423,13041.7,0.4399999999986903,23,False,Gatsby-08022013
left,-0.051196674031430876,-28.393377813035233,0.8977556109725686,0.9526184538653366,0.9526184538653366,PRE,2427,13101.03,0.3499999999985448,27,False,Gatsby-08022013
right,-0.01730784517592399,-6.746312518796723,0.9825436408977556,0.9925187032418953,0.9925187032418953,PRE,2436,13123.89,0.37000000000080036,20,False,Gatsby-08022013
right,0.1598970760984204,51.37390127026779,0.2892768079800499,0.4513715710723192,0.4513715710723192,PRE,2442,13136.95,0.4499999999989086,23,False,Gatsby-08022013
left,-0.20408145507879508,-114.47250566978461,0.3341645885286783,0.3765586034912718,0.3765586034912718,PRE,2449,13147.38,0.2900000000008731,11,False,Gatsby-08022013
left,-0.07581743687531005,-33.48832526963678,0.7905236907730673,0.8503740648379052,0.8503740648379052,PRE,2456,13171.09,0.4400000000005093,20,False,Gatsby-08022013
left,-0.2602346826329019,-195.41768218759202,0.13216957605985039,0.23690773067331672,0.23690773067331672,PRE,2465,13190.3,0.2600000000002183,17,False,Gatsby-08022013
left,-0.36864146713429113,-220.46562184190884,0.014962593516209476,0.1546134663341646,0.1546134663341646,PRE,2467,13194.76,0.2999999999992724,22,False,Gatsby-08022013
right,-0.22102604093822753,-143.77236125961812,0.3092269326683292,0.4538653366583541,0.4538653366583541,PRE,2469,13201.04,0.2599999999983993,22,False,Gatsby-08022013
right,0.3222126953614616,203.89716572208272,0.059850374064837904,0.26932668329177056,0.26932668329177056,PRE,2471,13205.67,0.25,23,False,Gatsby-08022013
right,-0.12564560659230264,-36.24999419683354,0.48877805486284287,0.57356608478803,0.57356608478803,PRE,2472,13210.61,0.5,24,False,Gatsby-08022013
right,0.13464444238087056,66.47862359652427,0.5112219451371571,0.6209476309226932,0.6209476309226932,PRE,2473,13212.98,0.27000000000043656,16,False,Gatsby-08022013
left,0.18040745367658645,103.26861664478689,0.32917705735660846,0.6059850374064838,0.6059850374064838,PRE,2476,13222.89,0.28000000000065484,16,False,Gatsby-08022013
right,0.11921959908697552,43.30158475789859,0.6109725685785536,0.7655860349127181,0.7655860349127181,PRE,2477,13224.85,0.3599999999987631,22,False,Gatsby-08022013
right,0.36147798981526286,228.1262826014637,0.00997506234413965,0.13216957605985039,0.13216957605985039,PRE,2478,13226.47,0.2600000000002183,20,False,Gatsby-08022013
left,-0.33299836640169955,-196.18519652288387,0.04239401496259352,0.12718204488778054,0.12718204488778054,PRE,2482,13232.08,0.31999999999970896,22,False,Gatsby-08022013
right,0.2141181413936407,114.42354919594214,0.1396508728179551,0.32418952618453867,0.32418952618453867,PRE,2483,13233.33,0.27000000000043656,17,False,Gatsby-08022013
right,-0.1664478769953906,-82.81493671533086,0.4164588528678304,0.655860349127182,0.655860349127182,PRE,2484,13238.61,0.27999999999883585,21,False,Gatsby-08022013
right,0.12796823387913236,77.28116113959628,0.543640897755611,0.7331670822942643,0.7331670822942643,PRE,2485,13241.14,0.27000000000043656,19,False,Gatsby-08022013
left,0.2803961507095846,119.47340581636129,0.00997506234413965,0.0399002493765586,0.0399002493765586,PRE,2490,13251.89,0.3500000000003638,18,True,Gatsby-08022013
