start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session,r,slope,direction,p_column,p_placefield,p_timebin,significant,n_bins
26415.7104,26415.7992,26415.732,7.40574312210083,0.0888,0.00013949835556559265,160.0042334410624,Non-REM,POST,Cicero_09012014,-0.1010447275415032,-1.3844408402076094,right,0.17165668662674652,0.3912175648702595,0.7584830339321357,False,6
26417.4432,26417.5056,26417.4696,7.873584270477295,0.0624,0.0001521917147329077,174.01913202654907,Non-REM,POST,Cicero_09012014,0.5295983463188132,9.110186483459684,left,0.02594810379241517,0.03992015968063872,0.0658682634730539,False,5
26418.476,26418.5328,26418.5048,12.034253120422363,0.0568,0.0002248364471597597,167.81799659807535,Non-REM,POST,Cicero_09012014,0.23041723473808717,3.1586923198143295,right,0.18962075848303392,0.3253493013972056,0.2834331337325349,False,5
26419.6464,26419.7024,26419.6728,5.430572509765625,0.056,0.00011048583837691694,176.11405349956087,Non-REM,POST,Cicero_09012014,-0.16685266722515796,-2.685421120927923,right,0.2834331337325349,0.37924151696606784,0.4930139720558882,False,5
26425.2496,26425.3408,26425.2832,9.962249755859375,0.0912,0.00019593245815485716,150.37010397921998,Non-REM,POST,Cicero_09012014,0.2399483914822473,2.902228244482306,left,0.1277445109780439,0.17764471057884232,0.3812375249500998,False,7
26426.3648,26426.4168,26426.3872,11.881868362426758,0.052,0.00022734930098522455,160.56719223883897,Non-REM,POST,Cicero_09012014,-0.19730000126468084,-2.8552162018793577,right,0.39520958083832336,0.6107784431137725,0.7325349301397206,False,5
26426.9968,26427.0704,26427.0256,14.261815071105957,0.0736,0.00024797176592983305,159.72587753796574,Non-REM,POST,Cicero_09012014,-0.02069067385499885,-0.27031138652578457,right,0.9620758483033932,0.9840319361277445,0.9461077844311377,False,6
26430.2192,26430.28,26430.2488,7.82763671875,0.0608,0.00016099844651762396,152.28319471293466,Non-REM,POST,Cicero_09012014,0.039638914420665604,0.7234731482743006,right,0.9540918163672655,0.9580838323353293,0.9720558882235529,False,5
26430.4016,26430.5552,26430.5248,12.912854194641113,0.1536,0.0002332017756998539,163.32534151462247,Non-REM,POST,Cicero_09012014,-0.27177368041931227,-1.8496807543732108,right,0.16766467065868262,0.21157684630738524,0.24550898203592814,False,10
26432.4448,26432.5032,26432.468,7.8645710945129395,0.0584,0.00015405872545670718,151.2169154938132,Non-REM,POST,Cicero_09012014,-0.26808378239861613,-3.9399237429827156,right,0.03992015968063872,0.47704590818363274,0.1656686626746507,False,5
26435.2928,26435.3608,26435.3208,11.225615501403809,0.068,0.0002145501202903688,163.82749409566787,Non-REM,POST,Cicero_09012014,0.15627541367626216,3.221295783582225,right,0.6746506986027944,0.46107784431137727,0.8483033932135728,False,5
26435.5168,26435.5704,26435.5432,14.285146713256836,0.0536,0.0002628293295856565,188.4394918032827,Non-REM,POST,Cicero_09012014,0.2150938479270725,3.6107520340373616,right,0.09580838323353294,0.06187624750499002,0.44510978043912175,False,5
26439.1336,26439.2056,26439.1696,8.067852020263672,0.072,0.00016435205179732293,160.59802247101555,Non-REM,POST,Cicero_09012014,-0.12890274072236732,-2.0473743095180543,left,0.2934131736526946,0.7504990019960079,0.8263473053892215,False,6
26454.1624,26454.2712,26454.244,11.586484909057617,0.1088,0.000217164313653484,169.96507546374534,Non-REM,POST,Cicero_09012014,0.10860510048114112,1.3275298782604268,left,0.5469061876247505,0.7265469061876247,0.5029940119760479,False,7
26462.9792,26463.1064,26463.0096,10.400531768798828,0.1272,0.0001952315360540524,163.17397836772255,Non-REM,POST,Cicero_09012014,0.18833766805745858,2.063689503293911,right,0.18762475049900199,0.3313373253493014,0.4550898203592814,False,8
26479.2672,26479.3584,26479.3136,10.061417579650879,0.0912,0.00018326930876355618,166.41532313692758,Non-REM,POST,Cicero_09012014,0.119425866027858,1.2797455397426836,left,0.49500998003992014,0.6946107784431138,0.3093812375249501,False,7
26487.6968,26487.7528,26487.728,10.041967391967773,0.056,0.0002024192945100367,161.2021737208028,Non-REM,POST,Cicero_09012014,0.2274373989355956,3.082632417189659,right,0.4411177644710579,0.4590818363273453,0.2275449101796407,False,5
26492.0392,26492.2232,26492.156,5.308068752288818,0.184,0.00013580211088992655,152.99567974967727,Non-REM,POST,Cicero_09012014,0.06528895393931765,0.46058950292120404,right,0.8223552894211577,0.8043912175648703,0.8483033932135728,False,11
26497.6728,26497.724,26497.6952,7.516247749328613,0.0512,0.00016042790957726538,169.2906861590281,Non-REM,POST,Cicero_09012014,0.13348717410608615,2.1697310615593737,left,0.5608782435129741,0.6666666666666666,0.6726546906187625,False,5
26512.5592,26512.6096,26512.5832,7.967917442321777,0.0504,0.00016122545639518648,175.7644939217921,Non-REM,POST,Cicero_09012014,-0.14774008914724382,-2.090724169318596,right,0.5768463073852296,0.6067864271457086,0.7964071856287425,False,5
26512.6672,26512.7184,26512.6944,9.42725944519043,0.0512,0.0002122816222254187,175.80430332496957,Non-REM,POST,Cicero_09012014,-0.026735165774032257,-0.46508964526875823,left,0.8822355289421158,0.8762475049900199,0.9481037924151696,False,5
26514.3392,26514.4056,26514.3896,5.1929192543029785,0.0664,0.0001201585546368733,165.3312476409915,Non-REM,POST,Cicero_09012014,-0.536510042128319,-9.8170113329815,right,0.003992015968063872,0.001996007984031936,0.05389221556886228,False,5
26521.6792,26521.7688,26521.7536,5.576362609863281,0.0896,0.00014334033767227083,157.66942191922686,Non-REM,POST,Cicero_09012014,0.2302489414684426,2.8005779601212852,right,0.35528942115768464,0.42714570858283435,0.36127744510978044,False,6
26529.3552,26529.4056,26529.3832,6.985319137573242,0.0504,0.00013973080785945058,160.36492634198424,Non-REM,POST,Cicero_09012014,0.22837282315595386,3.480121706989108,left,0.08582834331337326,0.4870259481037924,0.36127744510978044,False,5
26544.2968,26544.356,26544.3256,10.772790908813477,0.0592,0.00019291749049443752,154.76254818645634,Non-REM,POST,Cicero_09012014,-0.48976948910266416,-6.842521325950591,right,0.033932135728542916,0.05189620758483034,0.0998003992015968,False,5
26545.6288,26545.6896,26545.6568,11.278602600097656,0.0608,0.00021734852634835988,153.86793031007025,Non-REM,POST,Cicero_09012014,-0.20654878986815117,-3.304616285122832,left,0.3373253493013972,0.562874251497006,0.5828343313373253,False,5
26563.6648,26563.7176,26563.6912,10.745144844055176,0.0528,0.00019446801161393523,164.15911655881837,Non-REM,POST,Cicero_09012014,0.23134196633478196,3.317507987407269,left,0.10379241516966067,0.3932135728542914,0.5748502994011976,False,5
