start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session
10337.3888,10337.4384,10337.4104,7.093815803527832,0.0496,9.569090616423637e-05,140.1506886181246,Non-REM,PRE,Gatsby_08022013
10340.6272,10340.6728,10340.6448,5.0815253257751465,0.0456,6.199688505148515e-05,159.82853726804564,Non-REM,PRE,Gatsby_08022013
10358.2248,10358.3752,10358.256,14.840102195739746,0.1504,0.00016100502398330718,172.07928468035408,Non-REM,PRE,Gatsby_08022013
10367.8544,10367.9632,10367.8784,5.125514984130859,0.1088,7.772966637276113e-05,158.42662617572913,Non-REM,PRE,Gatsby_08022013
10374.6296,10374.6792,10374.6544,11.75849723815918,0.0496,0.0001397071755491197,150.0128934217026,Non-REM,PRE,Gatsby_08022013
10375.6688,10375.7064,10375.6872,5.990927219390869,0.0376,6.574895087396726e-05,146.1156918673776,Non-REM,PRE,Gatsby_08022013
10375.924,10376.1056,10376.0808,5.830109596252441,0.1816,7.597503281431273e-05,146.9833017992752,Non-REM,PRE,Gatsby_08022013
10377.0424,10377.0904,10377.0632,10.301941871643066,0.048,0.00013323804887477309,159.37406843389476,Non-REM,PRE,Gatsby_08022013
10382.0872,10382.2184,10382.1888,11.318771362304688,0.1312,0.00011751127749448642,145.16265001685395,Non-REM,PRE,Gatsby_08022013
10382.9832,10383.0184,10383.0,6.026531219482422,0.0352,8.713817805983126e-05,165.77952768360822,Non-REM,PRE,Gatsby_08022013
10386.5384,10386.5776,10386.5576,5.473231315612793,0.0392,6.790026964154094e-05,154.6505850383703,Non-REM,PRE,Gatsby_08022013
10387.844,10387.8928,10387.8688,8.13931941986084,0.0488,9.05525594134815e-05,150.28580538779488,Non-REM,PRE,Gatsby_08022013
10389.0376,10389.1056,10389.0864,8.535072326660156,0.068,0.00011131763312732801,164.2638386853885,Non-REM,PRE,Gatsby_08022013
10389.396,10389.428,10389.4104,5.003320217132568,0.032,6.366517482092604e-05,155.93239413294782,Non-REM,PRE,Gatsby_08022013
10389.552,10389.588,10389.5688,6.746043682098389,0.036,0.00011308447574265301,174.38442318001114,Non-REM,PRE,Gatsby_08022013
10389.8712,10389.9344,10389.8984,10.911115646362305,0.0632,0.00011242039181524888,163.06976948300684,Non-REM,PRE,Gatsby_08022013
10392.1808,10392.2288,10392.2024,6.091509819030762,0.048,7.4343457526993e-05,154.27247551265967,Non-REM,PRE,Gatsby_08022013
10392.3032,10392.348,10392.3304,5.7722978591918945,0.0448,7.167854346334934e-05,150.26591321524705,Non-REM,PRE,Gatsby_08022013
10392.3904,10392.4528,10392.4184,8.873144149780273,0.0624,0.000105071252619382,148.74998775003246,Non-REM,PRE,Gatsby_08022013
10392.8984,10392.9472,10392.9192,5.299866676330566,0.0488,7.302254380192608e-05,151.35919546261297,Non-REM,PRE,Gatsby_08022013
10394.6776,10394.7184,10394.6976,5.836237907409668,0.0408,7.278974953806028e-05,154.6658920971983,Non-REM,PRE,Gatsby_08022013
10400.688,10400.7856,10400.7568,9.407440185546875,0.0976,0.00010046297393273562,149.92985212508285,Non-REM,PRE,Gatsby_08022013
10400.884,10400.9312,10400.912,10.386013984680176,0.0472,0.00013574276817962527,166.40971209980242,Non-REM,PRE,Gatsby_08022013
10405.7544,10405.8056,10405.7808,7.691961765289307,0.0512,8.49494754220359e-05,158.54974847983112,Non-REM,PRE,Gatsby_08022013
10406.672,10406.72,10406.6992,8.399795532226562,0.048,8.740529301576316e-05,147.75821285831557,Non-REM,PRE,Gatsby_08022013
10407.3896,10407.4328,10407.4088,7.332719326019287,0.0432,8.482260454911739e-05,150.48871553382168,Non-REM,PRE,Gatsby_08022013
10408.0624,10408.1256,10408.1128,5.911473274230957,0.0632,0.00010679343540687114,169.19732853123287,Non-REM,PRE,Gatsby_08022013
10408.1744,10408.2144,10408.1928,5.165152072906494,0.04,5.839375444338657e-05,145.55507366373857,Non-REM,PRE,Gatsby_08022013
10409.5112,10409.5648,10409.5256,5.635928153991699,0.0536,7.28339800843969e-05,157.68173840117169,Non-REM,PRE,Gatsby_08022013
10414.7944,10414.8952,10414.8208,8.037922859191895,0.1008,8.651784446556121e-05,148.1013419511106,Non-REM,PRE,Gatsby_08022013
10415.1448,10415.2232,10415.1648,10.61971378326416,0.0784,0.00010619296517688781,154.8226366807578,Non-REM,PRE,Gatsby_08022013
10417.2416,10417.3808,10417.2584,6.839023113250732,0.1392,0.00010123319225385785,152.22892811208143,Non-REM,PRE,Gatsby_08022013
10418.4584,10418.524,10418.4816,7.881903648376465,0.0656,7.914703019196168e-05,154.1962633758064,Non-REM,PRE,Gatsby_08022013
10418.564,10418.6176,10418.592,12.400081634521484,0.0536,0.00013530399883165956,158.2665219227763,Non-REM,PRE,Gatsby_08022013
10418.7304,10418.768,10418.748,7.45266580581665,0.0376,0.00010944209498120472,138.61634698877293,Non-REM,PRE,Gatsby_08022013
10421.9824,10422.032,10422.0024,9.872454643249512,0.0496,0.00010474865121068433,150.63611251346177,Non-REM,PRE,Gatsby_08022013
10422.0808,10422.132,10422.1,8.496848106384277,0.0512,0.00012864533346146345,142.79752023268824,Non-REM,PRE,Gatsby_08022013
10454.5456,10454.6144,10454.5616,6.4328413009643555,0.0688,8.314711158163846e-05,146.10165739368054,Non-REM,PRE,Gatsby_08022013
10458.524,10458.572,10458.544,8.384663581848145,0.048,9.438046254217625e-05,147.36189442319954,Non-REM,PRE,Gatsby_08022013
10459.1848,10459.2312,10459.2032,6.286864280700684,0.0464,7.846975495340303e-05,151.5587106977564,Non-REM,PRE,Gatsby_08022013
10463.2608,10463.32,10463.2856,12.393884658813477,0.0592,0.00013269436021801084,160.07832928236553,Non-REM,PRE,Gatsby_08022013
10467.7016,10467.7616,10467.736,10.34641170501709,0.06,0.00010910893615800887,158.47791525831911,Non-REM,PRE,Gatsby_08022013
10471.2728,10471.3696,10471.2888,7.628270149230957,0.0968,9.839119593380019e-05,149.28043749538298,Non-REM,PRE,Gatsby_08022013
10471.42,10471.4608,10471.4408,6.2699971199035645,0.0408,7.457864558091387e-05,141.72055847867028,Non-REM,PRE,Gatsby_08022013
10475.116,10475.172,10475.1464,10.834941864013672,0.056,0.00011489202734082937,162.11807048890225,Non-REM,PRE,Gatsby_08022013
10481.9376,10481.9808,10481.9552,8.103394508361816,0.0432,9.305351704824716e-05,147.4440087367531,Non-REM,PRE,Gatsby_08022013
10482.0792,10482.1528,10482.1072,8.213762283325195,0.0736,8.400478691328317e-05,149.20439257230618,Non-REM,PRE,Gatsby_08022013
10482.1832,10482.2496,10482.2248,13.439191818237305,0.0664,0.00012444915773812681,161.51691414082882,Non-REM,PRE,Gatsby_08022013
10488.9232,10488.9608,10488.9408,5.38288688659668,0.0376,8.777064067544416e-05,166.10526156220283,Non-REM,PRE,Gatsby_08022013
10489.1568,10489.2072,10489.1768,9.25823974609375,0.0504,0.00012466135376598686,158.1508814564679,Non-REM,PRE,Gatsby_08022013
10494.0544,10494.1696,10494.1424,11.024701118469238,0.1152,0.00010853893036255613,156.08176313478404,Non-REM,PRE,Gatsby_08022013
10508.5328,10508.5944,10508.5656,7.421177387237549,0.0616,0.00010800744348671287,138.83878781148792,Non-REM,PRE,Gatsby_08022013
10534.988,10535.0624,10535.0224,5.17196798324585,0.0744,7.408401870634407e-05,184.2573393829544,Awake,PRE,Gatsby_08022013
10567.9824,10568.0848,10568.0048,8.115642547607422,0.1024,9.376308298669755e-05,157.0730709615148,Awake,PRE,Gatsby_08022013
10614.104,10614.1408,10614.1232,6.9514288902282715,0.0368,8.71919619385153e-05,162.57524234821594,Awake,PRE,Gatsby_08022013
10617.5656,10617.6648,10617.6248,16.077024459838867,0.0992,0.0001481464714743197,153.1700913241073,Awake,PRE,Gatsby_08022013
10619.084,10619.1352,10619.1088,5.8683247566223145,0.0512,6.811275670770556e-05,141.48856881859552,Awake,PRE,Gatsby_08022013
10619.1816,10619.2728,10619.204,10.5606107711792,0.0912,0.00013507172116078436,156.04060345504658,Awake,PRE,Gatsby_08022013
10628.8432,10628.9128,10628.8864,6.396763324737549,0.0696,7.564378756796941e-05,146.16952516586844,Awake,PRE,Gatsby_08022013
10654.5088,10654.5568,10654.532,9.264154434204102,0.048,0.00010535428009461612,157.81667006827814,Awake,PRE,Gatsby_08022013
10671.0696,10671.268,10671.152,8.597835540771484,0.1984,0.00011625936167547479,150.82521975241505,Awake,PRE,Gatsby_08022013
10678.4464,10678.488,10678.4656,5.962302207946777,0.0416,6.719261727994308e-05,148.7848460452667,Awake,PRE,Gatsby_08022013
10678.7808,10678.8344,10678.804,11.62216854095459,0.0536,0.00014819519128650427,177.76627868018102,Awake,PRE,Gatsby_08022013
10678.8888,10678.944,10678.9104,11.033598899841309,0.0552,0.00011783708760049194,162.7070961485032,Awake,PRE,Gatsby_08022013
