unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
64,45097,0.0,0.0,5.081488717996856e-62,True,True,2000.0,5.062229094761482,7.962296911819422,3.221942747634447,6.882181341906293,4.04040404040404,3.204320432043204,LA11_ses-2
65,53099,0.0,0.0,0.0,True,True,8000.0,24.759826272886095,24.49460498573732,8.168642951251647,38.459248675358694,36.22298938754635,16.453645364536452,LA11_ses-2
66,58923,0.0,0.0,0.0,True,True,8000.0,24.67661173308179,9.438174376782834,10.049107677566175,75.83497053045187,19.191919191919194,8.868886888688868,LA11_ses-2
67,27285,0.0,0.0,0.0,True,True,8000.0,16.208676402212056,20.47624953491256,1.6888250089831118,42.57903196999464,8.042449814601714,8.256825682568257,LA11_ses-2
68,27334,0.0,0.0,0.0,True,True,2000.0,19.96661060486321,26.379759394766218,8.68367469157983,26.195153896529142,22.720879682905,15.853585358535852,LA11_ses-2
69,102162,0.0,0.0,0.0,True,True,2000.0,28.817490533784486,54.42143122907107,31.189363995688108,14.84788950407811,16.494054468738014,27.134713471347133,LA11_ses-2
70,36939,0.0,0.0,4.402722762684019e-08,True,True,16000.0,4.584007251597316,4.9733349869775525,4.587375733620793,3.48871822349229,5.370157268891446,4.5004500450045,LA11_ses-2
71,47212,0.0,0.0,0.0,True,True,2000.0,12.084690181219036,38.12476745628178,8.995089232243382,5.429540989462405,4.321697992584069,3.552355235523552,LA11_ses-2
72,17342,0.0,0.0,0.0,True,True,8000.0,5.218770797295654,1.116209847451321,0.6587615283267457,19.039114127522772,4.679708477176832,0.6000600060006,LA11_ses-2
73,89767,0.0,0.0,0.0,True,True,8000.0,21.26326357120336,24.77985861341932,18.445322793148883,49.63981663392273,6.418616545198824,7.0327032703270325,LA11_ses-2
74,48964,0.0,0.0,0.0,True,True,2000.0,13.776710475892461,54.359419570879325,5.725236555276081,5.179496338631899,1.4831862933128754,2.136213621362136,LA11_ses-2
75,27741,0.0,3.067709388783332e-246,4.677543546547522e-100,True,True,8000.0,3.7046668915895644,4.9361279920625085,2.5152712899748475,7.346549979162946,1.8411967779056386,1.8841884188418843,LA11_ses-2
76,58004,0.0,0.0,2.790890164099217e-227,True,True,2000.0,11.161617288474961,23.564430112861217,9.96526530123368,11.144847294159671,5.024932873034139,6.108610861086109,LA11_ses-2
77,22848,0.0,7.762455564629266e-114,3.8450420290151005e-16,True,True,4000.0,1.4326292542338885,1.7611310926454171,2.1559468199784404,0.7739477287610883,0.7799514128628052,1.6921692169216922,LA11_ses-2
78,3432,0.0,1.0730885371878635e-29,3.50183014870285e-05,True,True,2000.0,0.32252178608748855,0.5581049237256605,0.2635046113306983,0.40483419658272307,0.23014959723820483,0.156015601560156,LA11_ses-2
79,99542,0.0,0.0,1.227901893756079e-37,True,True,4000.0,7.381619365597129,7.491008309562198,10.396454665229369,7.441805084241233,4.65413629970592,6.924692469246925,LA11_ses-2
80,7142,0.0,1.005714784245434e-209,3.907062580960287e-240,True,True,2000.0,2.875380461102162,8.22274587622473,3.90465924062762,0.8334821694350182,0.7799514128628052,0.6360636063606361,LA11_ses-2
81,33925,0.0,1.7919095909417192e-217,6.840428232015039e-37,True,True,2000.0,3.5578751834532425,5.184174624829468,4.431668463289016,2.7385842710007737,1.3425393172228615,4.092409240924092,LA11_ses-2
