unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
56,13006,0.0,1.4534721288927328e-98,3.262275336932892e-08,True,True,32000.0,1.6817805878471392,1.6613616955205341,2.1061291649526943,1.0300850228907783,1.1804246249692598,2.4309024309024307,LA8_ses-2
57,5040,0.0,3.1636301470580126e-31,1.7266662520582432e-05,True,True,32000.0,0.4515831170027094,0.57448955826411,0.6252570958453312,0.2943100065402224,0.13115829166325108,0.6327006327006327,LA8_ses-2
58,22633,0.0,2.781729388640857e-169,1.4588580988515923e-25,True,True,32000.0,2.835423571394353,3.0432419843179876,3.8502673796791442,2.1092217135382603,1.3115829166325108,3.8628038628038626,LA8_ses-2
59,57713,0.0,0.0,2.0123619468071766e-20,True,True,4000.0,8.516592634635002,9.548948063038583,10.037021801727684,5.804447351209942,9.000737765390605,8.191808191808192,LA8_ses-2
60,85162,0.0,0.0,5.033064087262157e-271,True,True,16000.0,22.899731364422287,18.197344926636134,18.017276840806254,25.670372792674954,38.52774817608,14.085914085914085,LA8_ses-2
61,5049,0.0,2.556099152379003e-59,3.797468123212677e-11,True,True,16000.0,0.9596070739602226,0.6521232823538544,0.8227067050596462,0.670372792674951,1.7870317239117959,0.8658008658008658,LA8_ses-2
62,63857,0.0,0.0,3.74619237548846e-95,True,True,32000.0,6.962558512632329,8.167067774241131,8.901686548745372,5.755395683453237,2.098532666612017,9.890109890109889,LA8_ses-2
63,90544,0.0,0.0,2.536791671099193e-71,True,True,2000.0,13.123309995988043,17.157053023833555,15.499794323323734,9.924787442773056,9.115501270595951,13.919413919413918,LA8_ses-2
64,13165,0.0,1.106008049805511e-183,2.3308166359200724e-57,True,True,8000.0,3.068596229493277,1.894262867789768,2.879473467708762,6.31131458469588,2.426428395770145,1.8315018315018317,LA8_ses-2
65,11685,0.0,1.0211954534323065e-139,5.339278541193574e-21,True,True,16000.0,2.678802998532585,2.080583805605155,2.8136569313039903,2.2890778286461737,4.26264447905566,1.948051948051948,LA8_ses-2
66,32728,0.0,4.796599697251863e-247,7.475009922503385e-36,True,True,4000.0,4.131552285142478,4.828817638382113,5.923488276429453,2.76324395029431,2.180506598901549,4.961704961704961,LA8_ses-2
67,12356,0.0,1.1349647427299045e-81,0.00253810594891612,True,True,8000.0,1.4824480445902581,1.5992547162487385,1.6454134101192923,1.6841072596468278,0.9017132551848512,1.5817515817515817,LA8_ses-2
68,29043,0.0,1.031385784079444e-242,0.0011568521776894572,True,True,4000.0,4.463144489613191,4.797764148746215,5.380501851090086,3.629823413996076,4.3118288384293795,4.195804195804196,LA8_ses-2
69,24308,0.0,4.807907374690757e-180,9.560608178047335e-05,True,True,16000.0,3.6411330826673494,3.0742954739538852,3.6363636363636367,4.120340091563113,4.361013197803098,3.0136530136530135,LA8_ses-2
70,24183,0.0,0.0,0.0,True,True,16000.0,9.012863037553165,3.477990839220557,3.800904977375566,5.771746239372139,28.08426920239364,3.9294039294039296,LA8_ses-2
71,15490,0.0,1.0195121962479991e-125,0.01332957537652602,True,True,16000.0,2.3464063789728926,2.235851253784644,1.8922254216371863,2.4689339437540876,2.770718911386179,2.3643023643023646,LA8_ses-2
