session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,18,-1,lCA1,6.506302465261296,1.3826517868735568,34.0,90.0,66.0,56.0,186,165.8072074120214,0.2249986729259877,0.06517501810235685,7.394539500659213e-05,-0.48999999999999977,-1.9111633716727328,-0.31556183426050183,2.1315909647379172e-05,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,19,-1,lCA1,8.407100131679524,0.43843768786053616,50.0,94.0,74.0,44.0,219,155.42504632756595,0.33972004186873495,0.06448654044820365,5.1797145207814444e-12,-0.5099999999999998,-2.1885458959062283,-0.5359239987522221,9.103828801926284e-15,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,20,-1,lCA1,5.577926913886432,0.42821794363033516,118.0,158.0,158.0,40.0,129,200.70880431681616,0.13993652395625014,0.06553928593118394,0.07976274846619043,-0.22999999999999998,-2.291830525227842,-0.0896988843869066,0.30578155842988775,0.5384615384615384
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,21,-1,lCA1,33.474221685392656,0.4692447753294369,2.0,82.0,30.0,80.0,1406,307.3023070213281,0.15412153268890508,0.01995976622928011,2.592964480000676e-15,0.35000000000000053,-2.0456645935868676,0.19013572045314636,7.753797603982093e-13,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,22,-1,lCA1,7.546129049227035,0.9514245644980052,138.0,158.0,158.0,20.0,115,77.10510524155059,0.21571318686491672,0.0839211649005254,0.004557684848026941,-1.71,2.382452839792001,-0.18982705463989055,0.046070371528842635,0.0979020979020979
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,23,-1,lCA1,12.37626477654114,1.5257233801702663,2.0,26.0,2.0,24.0,164,152.1803774916653,0.07320415593889705,0.06316746550485075,0.4158836744404691,-0.6799999999999997,-0.9545924262602494,-0.29192085120839306,0.00014270255151083155,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,24,-1,lCA1,2.9017898608946924,1.0075016261331673,26.0,86.0,66.0,60.0,100,136.5311080034651,0.083436206843635,0.08654532281489767,0.4996265733097036,4.0,-2.853386169602999,-0.003648476716095024,0.9705464957945822,0.988011988011988
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,27,-1,rCA1,1.1212513682026508,1.023680931041162,150.0,158.0,158.0,8.0,12,311.2062109919054,0.47417374921657046,0.26049388244434074,0.06454733522223292,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,30,-1,rCA1,2.3029659073244586,0.620359576246167,70.0,106.0,82.0,36.0,50,140.05080094461175,0.41999427338042966,0.12683598735047277,0.00010658215169394086,-0.3999999999999999,-2.319980297987967,-0.3785138529512188,0.011805168438331348,0.006993006993006993
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,33,-1,rCA1,2.6766468319022163,0.37818672436185474,106.0,158.0,158.0,52.0,106,277.6921685149324,0.6002812473200997,0.09337155839536661,4.725922718810838e-19,-0.040000000000000036,-1.330601745231329,-0.07813596616740841,0.39401227139636896,0.43156843156843155
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,42,-1,rCA1,2.441438837973394,0.414163405523972,42.0,142.0,82.0,100.0,133,227.21433285774438,0.2717311649122104,0.07297797824108344,4.679256469504554e-05,-0.6999999999999997,0.17724419905132574,-0.21571332140913912,0.012838962300930623,0.01898101898101898
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,43,-1,rCA1,7.6844508799404565,0.30107420663558465,30.0,142.0,66.0,112.0,375,187.68633693471105,0.13921250943889188,0.04401739817350216,0.0006800916533181648,-0.7999999999999998,0.19126200788944256,-0.3279834348366079,1.6632650812198335e-10,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,48,-1,rCA1,1.3044163832679945,1.3925484887701964,6.0,54.0,18.0,48.0,36,270.95713950135814,0.19560664403348565,0.1630652168779441,0.253740238838725,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,53,-1,rCA1,31.339505832722605,0.899976170000466,26.0,86.0,58.0,60.0,958,133.48737661596255,0.14096377803758187,0.026844310292756753,4.961039302310562e-09,-0.6299999999999999,-1.5062701936760086,-0.23646618278516812,1.1302070390684094e-13,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,54,-1,rCA1,2.5025174060215742,0.4634354389345919,30.0,86.0,54.0,56.0,64,140.44746017728457,0.24700643893465035,0.13970808851760677,0.01955525089095953,-0.3500000000000001,-2.5113844669056675,-0.21865423582774315,0.09969891600792113,0.14885114885114886
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,60,-1,rCA1,3.517861017737023,0.7743308213985276,26.0,94.0,62.0,68.0,108,219.38148645639424,0.21593995166324764,0.08640450737042411,0.006269137293448258,-0.44999999999999973,-1.3801816378142122,-0.24990961615267354,0.01163554731168781,0.016983016983016984
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,61,-1,rCA1,1.216088172290371,0.517924457225154,2.0,30.0,2.0,28.0,18,302.5372541686881,0.1731250114602062,0.21667920038771188,0.5893723902440198,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,68,-1,rCA1,1.5629470262919594,2.1626072194318438,2.0,10.0,2.0,8.0,8,293.1432649821767,0.555665350083927,0.35402676545800443,0.08125792229329812,,,,,
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,74,-1,rCA1,4.50076063847097,0.9874393493126534,118.0,158.0,150.0,40.0,171,169.6957135811521,0.2591716896735238,0.06283288017092185,8.71523435792722e-06,-0.48,-2.183372463517993,-0.4558368966461357,1.7639803617797156e-08,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,76,-1,rCA1,12.025127169326481,0.6280860918817242,2.0,98.0,58.0,96.0,596,102.13662443059702,0.057020720652175366,0.028969352183900544,0.14402598976267555,-1.0,-1.2665936655611467,-0.16272425474652427,5.176050349708916e-05,0.001998001998001998
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,77,-1,rCA1,27.15478934416626,1.4174788114904238,6.0,46.0,22.0,40.0,594,113.36250685585364,0.14596079021473188,0.03833363267738443,3.0140761307223168e-06,-0.69,-1.2434869987655983,-0.25476695828434454,5.271276748430864e-10,0.000999000999000999
Gatsby-08022013,1.6mLinearMazeLinearizedPosition,78,-1,rCA1,9.660227964547191,0.31639427213293936,70.0,154.0,98.0,84.0,593,263.0023491892649,0.30989438393888463,0.0326622320687368,4.6336023159818625e-26,-0.3999999999999999,-0.7548320416488511,-0.15594677084309366,0.0002230124784969867,0.000999000999000999
