session,subject,unit,direction,maze,track,mean_rate,si,si_null,p,sparsity,peak_rate,peak_loc,field_width,stability,n_spikes,is_place,testable
Achilles_10252013,Achilles,163,right,linear,1.6,1.3200021835742437,0.7755718586758357,0.31075918936540814,0.0,0.42249077232669324,5.8436681899983505,0.02,0.11999999999999998,0.8935953318462277,140,True,True
Achilles_10252013,Achilles,169,right,linear,1.6,0.06600010917871219,2.9987500051884908,1.2462264080426733,0.0,0.1183246161982953,0.3692120990345117,1.02,0.15999999999999998,0.5936959724432135,7,False,False
Achilles_10252013,Achilles,171,right,linear,1.6,0.1602859794340153,1.5857841349716435,0.7058568254040996,0.0,0.30228636850523977,0.4179628690071871,1.22,0.31999999999999995,-0.23670333337657165,17,False,False
Achilles_10252013,Achilles,173,right,linear,1.6,0.028285761076590935,3.7657325356808338,0.4388310516697879,0.0,0.0733681601546693,0.16566359564803157,1.06,0.11999999999999998,,3,False,False
Achilles_10252013,Achilles,175,right,linear,1.6,5.496866235884172,1.4206890279046125,0.8221394962918642,0.066,0.32532468681306925,21.710567577120603,0.22,0.27999999999999997,0.9760042966059341,583,False,True
Achilles_10252013,Achilles,176,right,linear,1.6,11.55001910627463,0.616970077771861,0.18298687092606275,0.0,0.56217964788958,27.07204273268266,0.18,0.5999999999999999,0.966700575562889,1225,True,True
Achilles_10252013,Achilles,177,right,linear,1.6,3.1302908924760633,1.0703267603762903,0.9833139758884734,0.308,0.380269326828633,11.684184130486639,0.8200000000000001,0.3999999999999999,0.9451679854240355,332,False,True
Achilles_10252013,Achilles,179,right,linear,1.6,3.9788637247737912,0.7754230153909656,0.6193943599655755,0.202,0.47353357641854515,12.159323262394071,0.26,0.19999999999999996,0.9425559942858408,422,False,True
Achilles_10252013,Achilles,180,right,linear,1.6,0.028285761076590935,3.504395819605851,0.2939123453268025,0.0,0.08487138511029325,0.1832044469519408,1.54,0.11999999999999998,,3,False,False
Achilles_10252013,Achilles,181,right,linear,1.6,0.0848572832297728,2.206257101649514,0.435087703307687,0.0,0.2089214353452,0.4297596500584715,0.18,0.19999999999999996,0.05449904083337055,9,False,False
Achilles_10252013,Achilles,182,right,linear,1.6,0.06600010917871219,2.5726030891994993,0.6142446779229491,0.0,0.16622265481305468,0.24973303964300414,0.42000000000000004,0.11999999999999998,-0.24445448208017215,7,False,False
Achilles_10252013,Achilles,183,right,linear,1.6,1.2257163133189404,2.8353046632514385,0.5189304625648826,0.0,0.10951949763017853,13.785971349915021,0.02,0.07999999999999999,0.9974704549917589,130,True,True
Achilles_10252013,Achilles,186,right,linear,1.6,0.7920013101445461,1.4115649557607126,1.0884915776909772,0.176,0.3080902769251086,3.2660453871424444,1.18,0.43999999999999995,0.7735084678635339,84,False,True
Achilles_10252013,Achilles,201,right,linear,1.6,1.3577165316763649,0.588443511137095,0.3020860207166294,0.006,0.5729196235854639,3.905526921552058,0.02,0.19999999999999996,0.7963810790039824,144,True,True
Achilles_10252013,Achilles,202,right,linear,1.6,1.122001856038107,0.7008306031742564,0.4308849498539427,0.042,0.4946475039991659,3.688838922737137,1.34,0.3999999999999999,0.7786129363471067,119,False,True
Achilles_10252013,Achilles,203,right,linear,1.6,0.9051443544509099,0.44174382917727734,0.6325753264213814,0.84,0.6408962655828804,2.0496409466434438,1.22,0.23999999999999996,-0.18524597454313432,96,False,True
Achilles_10252013,Achilles,204,right,linear,1.6,1.0748589209104555,0.7022146950081268,0.43388582055162034,0.028,0.49062634364598307,3.4469127452003865,0.1,0.15999999999999998,0.8541152208249347,114,False,True
Achilles_10252013,Achilles,211,right,linear,1.6,0.10371445728083342,2.151533625751429,1.0068096272587415,0.004,0.21227597297822204,0.5572084146355916,1.58,0.039999999999999994,-0.08498169787129059,11,False,False
Achilles_10252013,Achilles,215,right,linear,1.6,1.0842875079359857,1.0492537630252003,0.9102464217983957,0.276,0.4278481248510607,3.9668277018020985,1.58,0.35999999999999993,0.6819261501212733,115,False,True
Achilles_10252013,Achilles,216,right,linear,1.6,1.4048594668040164,1.6340327492591697,0.5448109694699961,0.008,0.2708428636428739,6.451837331587926,0.5800000000000001,0.31999999999999995,0.9089766010475232,149,True,True
Achilles_10252013,Achilles,217,right,linear,1.6,0.028285761076590935,3.973870409463856,0.7961062008642551,0.0,0.06306833521700031,0.23646064017835453,1.3,0.15999999999999998,0.18314448106230974,3,False,False
Achilles_10252013,Achilles,219,right,linear,1.6,2.244003712076214,0.7317153376271234,0.9244634051213315,0.75,0.4370158426698645,8.310964410789882,0.1,0.15999999999999998,0.8995270099499683,238,False,True
Achilles_10252013,Achilles,220,right,linear,1.6,1.9140031661826533,1.2656323734183808,1.589574442481162,0.718,0.35478511540037305,7.101018815658558,1.22,0.4799999999999999,0.9459305089030754,203,False,True
Achilles_10252013,Achilles,222,right,linear,1.6,0.5468580474807581,1.2031790586050373,0.36721797434837267,0.0,0.3711432405345496,2.05160337223001,0.22,0.23999999999999996,0.7549683703014983,58,True,True
Achilles_10252013,Achilles,225,right,linear,1.6,0.4997151123531065,1.5477971645744653,0.9414947620056872,0.038,0.25887902315580796,2.784033911876718,0.45999999999999996,0.15999999999999998,0.7650613598396935,53,False,True
Achilles_10252013,Achilles,229,right,linear,1.6,0.39600065507227306,0.9319516342847495,0.2878354593470165,0.002,0.4693499390206557,1.066965085323002,0.42000000000000004,0.15999999999999998,0.2929519425995612,42,False,True
Achilles_10252013,Achilles,237,right,linear,1.6,0.6034295696339399,1.6451198615608122,0.5060083119153821,0.0,0.24989806436528683,3.7102722885171886,1.54,0.15999999999999998,0.9003985541856454,64,True,True
Achilles_10252013,Achilles,238,right,linear,1.6,0.5280008734296975,0.9635493341772314,0.568069602664121,0.016,0.42171153513150467,1.8077356273838567,0.1,0.19999999999999996,0.3354745005241369,56,False,True
Achilles_10252013,Achilles,240,right,linear,1.6,2.875719042786745,0.7230070955009482,0.17511135297401745,0.0,0.46368860392378003,8.640867310906206,0.62,0.43999999999999995,0.9577858963557356,305,True,True
Achilles_10252013,Achilles,242,right,linear,1.6,0.8862871803998492,1.5020590465766515,0.3516214616077234,0.0,0.2592507483607922,5.980626836762551,1.58,0.15999999999999998,0.9012325347219621,94,True,True
Achilles_10252013,Achilles,253,right,linear,1.6,0.4902865253275762,1.119940202439878,1.478195946824219,0.758,0.3912696913464065,1.374826764225042,1.02,0.6799999999999999,0.7516951095083875,52,False,True
Achilles_10252013,Achilles,255,right,linear,1.6,0.8297156582466674,1.0821543169364207,0.2732670511520634,0.0,0.3287504171041839,4.657405901141286,0.02,0.07999999999999999,0.8059037773469847,88,True,True
Achilles_10252013,Achilles,257,right,linear,1.6,2.4137182785357596,0.2207287060023131,0.12163412495303162,0.008,0.7612983375638216,5.4109299393214565,0.02,0.11999999999999998,0.5602368348559452,256,True,True
Achilles_10252013,Achilles,258,right,linear,1.6,3.4980057864717455,0.2333711755124216,0.26117883896929206,0.61,0.7723556662900263,6.334808440295566,0.06,0.23999999999999996,0.7940441004692528,371,False,True
