session,unit,cell_type,location,state,n_spikes,rate,mrl,pref_phase,rayleigh_p,theta_channel,null_mrl_mean,null_mrl_p95,shuffle_p,n_matched,mrl_matched,pref_matched
Gatsby_ses-Gatsby-08022013,56,excitatory,rCA1,run,338,0.15812152833819826,0.09186593262806486,3.0199190541432426,0.0575959089566312,32,0.05748232206469071,0.10521718909136685,0.13432835820895522,304,0.09094886,3.1711502
Gatsby_ses-Gatsby-08022013,57,inhibitory,rCA1,run,6152,2.8779989418242473,0.14249974181938596,2.6040601500781877,2.9688966343350193e-55,32,0.011464973083747908,0.02209149200536911,0.004975124378109453,6152,0.14249974,2.6040602
Gatsby_ses-Gatsby-08022013,58,excitatory,rCA1,run,579,0.27086498493436917,0.1562256848070909,3.8790722741132755,6.765799291397197e-07,32,0.03802392182944622,0.07240233895254734,0.004975124378109453,237,0.15080133,4.288965
Gatsby_ses-Gatsby-08022013,59,excitatory,rCA1,run,534,0.24981330216744932,0.03135505747061981,3.233622081200512,0.5917718011004129,32,0.03817385342812314,0.07848575154249825,0.572139303482587,445,0.032066926,3.3236454
Gatsby_ses-Gatsby-08022013,60,excitatory,rCA1,run,1425,0.666636620952463,0.10960985668678486,4.118553841333604,3.5064344845870037e-08,32,0.025365534550566723,0.04778972722746007,0.004975124378109453,566,0.11028081,4.263712
Gatsby_ses-Gatsby-08022013,61,excitatory,rCA1,run,2775,1.2981871039600597,0.004915102148363733,2.9910378722796196,0.9351695646524323,32,0.018765441368493816,0.03716138712780793,0.9303482587064676,253,0.02064055,0.47420254
Gatsby_ses-Gatsby-08022013,62,inhibitory,rCA1,run,8435,3.946020980865983,0.19542179146073568,2.0375046864836497,5.590919750792464e-142,32,0.010593240070414248,0.02095135351782869,0.004975124378109453,1329,0.19518746,2.276125
Gatsby_ses-Gatsby-08022013,63,inhibitory,rCA1,run,11693,5.470162813190982,0.15849295135974295,3.576360120419118,4.262183500881992e-129,32,0.009030933134088474,0.016573910919631216,0.004975124378109453,7384,0.15687698,3.6012836
Gatsby_ses-Gatsby-08022013,64,inhibitory,rCA1,run,23498,10.992720925712966,0.2178635502708812,3.912030787125581,0.0,32,0.00614040914615944,0.011329627965586443,0.004975124378109453,8284,0.21699236,3.897453
Gatsby_ses-Gatsby-08022013,65,excitatory,rCA1,run,46,0.021519497939518104,0.14041943260850687,1.2912236283152323,0.4059082239421442,32,,,,46,0.14041942,1.2912235
Gatsby_ses-Gatsby-08022013,66,inhibitory,rCA1,run,103182,48.2701051390295,0.24485791717817545,1.351000935192621,0.0,32,0.0046061208272271,0.008507568570313444,0.004975124378109453,47580,0.24273802,1.3444467
Gatsby_ses-Gatsby-08022013,67,excitatory,rCA1,run,3563,1.6668254599674568,0.03475087310210209,2.6457589090235394,0.013521734372666933,32,0.019350337688376858,0.037046876940169754,0.07462686567164178,835,0.015536273,4.7160993
Gatsby_ses-Gatsby-08022013,68,excitatory,rCA1,run,461,0.21566279456777926,0.29327761355196036,4.105446026481372,2.584843390662428e-18,32,0.04878145143317633,0.09548789429157314,0.004975124378109453,251,0.30800226,4.1634455
Gatsby_ses-Gatsby-08022013,69,excitatory,rCA1,run,15,0.0070172275889732955,0.25504008339499257,2.180636221228839,0.38325950771899897,32,,,,15,0.25504005,2.1806362
Gatsby_ses-Gatsby-08022013,70,excitatory,rCA1,run,182,0.08514236141287598,0.2514217994562953,2.7365027114043228,8.637002790652199e-06,32,0.07478102794899248,0.14196979069943644,0.004975124378109453,182,0.2514218,2.7365026
Gatsby_ses-Gatsby-08022013,71,excitatory,rCA1,run,1767,0.8266294099810542,0.18172870508828684,2.466039652992869,2.824886092410892e-26,32,0.028626820730900455,0.05391263410818872,0.004975124378109453,403,0.20528042,2.3892171
Gatsby_ses-Gatsby-08022013,72,excitatory,rCA1,run,894,0.4182267643028084,0.05003449615711798,2.6173941876418607,0.10664666211848293,32,0.03226007897403953,0.06341753927180567,0.16417910447761194,894,0.05003449,2.6173942
Gatsby_ses-Gatsby-08022013,73,excitatory,rCA1,run,1734,0.8111915092853129,0.17999865750044,3.9046962835658725,2.5545672921269976e-25,32,0.024483658877298975,0.04974914118402173,0.004975124378109453,1198,0.1821723,3.9296553
Gatsby_ses-Gatsby-08022013,74,excitatory,rCA1,run,732,0.34244070634189683,0.2005637793656958,3.6689277188436975,1.229736394419425e-13,32,0.038209279018855825,0.07754256595105036,0.004975124378109453,732,0.20056377,3.668928
Gatsby_ses-Gatsby-08022013,75,excitatory,rCA1,run,3554,1.6626151234140727,0.07342920451401702,1.8842227830054057,4.652682346204481e-09,32,0.01767304725092708,0.03439992398214723,0.004975124378109453,582,0.031077486,1.5746468
Gatsby_ses-Gatsby-08022013,76,excitatory,rCA1,run,4692,2.194988789830847,0.06859178685659813,1.9402163493668023,2.527189434536906e-10,32,0.015755904035458842,0.03008836064475451,0.004975124378109453,1651,0.0715263,1.8765032
Gatsby_ses-Gatsby-08022013,77,excitatory,rCA1,run,6120,2.8630288563011046,0.05383562806169958,3.4411614445367102,1.9577976466093472e-08,32,0.013979845014456238,0.02679810988545932,0.004975124378109453,1699,0.03723891,3.590163
Gatsby_ses-Gatsby-08022013,78,excitatory,rCA1,run,471,0.22034094629376147,0.06601596647776853,3.0549483051823643,0.12838441980252271,32,0.04613395016110473,0.09373376767690864,0.19900497512437812,471,0.06601597,3.0549483
Gatsby_ses-Gatsby-08022013,79,excitatory,rCA1,run,142,0.0664297545089472,0.021845755939058666,3.650929554467762,0.934692311380269,32,0.07661047020596079,0.1438497547488524,0.9253731343283582,142,0.021845752,3.6509297
Gatsby_ses-Gatsby-08022013,0,inhibitory,lCA1,REM,7018,4.995010849907071,0.19433515107498037,1.9328728625364004,6.222871710315208e-117,32,0.010793436526024224,0.022304772358515922,0.004975124378109453,7018,0.19433515,1.9328729
Gatsby_ses-Gatsby-08022013,1,inhibitory,lCA1,REM,8123,5.7814866249351855,0.30303409890664146,0.9292795967218855,0.0,32,0.012097212168108093,0.024309243044513745,0.004975124378109453,8123,0.30303407,0.9292795
Gatsby_ses-Gatsby-08022013,2,inhibitory,lCA1,REM,20356,14.48823608730526,0.24401177843381558,2.9279075443477467,0.0,32,0.00788531747573488,0.015723106688361795,0.004975124378109453,20356,0.24401176,2.9279075
Gatsby_ses-Gatsby-08022013,3,excitatory,lCA1,REM,444,0.31601379557690784,0.1681901656249178,3.9767132886188135,3.254379293164295e-06,32,0.0497261276288937,0.09451183774498252,0.004975124378109453,74,0.16315714,3.9420638
Gatsby_ses-Gatsby-08022013,4,excitatory,lCA1,REM,949,0.675443900906499,0.3333375359275142,3.742407402189331,7.64041694436935e-48,32,0.033082045343708996,0.058158881440435795,0.004975124378109453,333,0.33193198,3.752905
