path,subject,session,unit,layer,depth_mm,n_spikes,box_half_cm,run_time_s,included,gridness,spacing_cm,orientation_deg,peak_rate,mean_rate,spatial_info,r_in,r_out,hd_mvl,hd_pref,gridness_p,gridness_shuf_95,hd_mvl_shuf_95,hd_p
sub-10884/sub-10884_ses-05080401_behavior+ecephys.nwb,10884,05080401,t3c4,MEC LII,3.15,1357,52.063469955881814,571.64,True,1.015075065230985,72.11102550927978,26.30993247402023,19.03748715998523,2.367576243982892,1.2537784555310247,16.0,35.0,,,0.0,0.6211591640579723,,
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,10884,08070402,t1c1,MEC LIII,2.1999999999999997,1356,50.47358783926397,568.02,True,0.12200872165070713,47.762432936357,14.036243467926479,17.98468389976584,2.3818724749172695,1.1905861639398774,12.0,39.0,,,0.47,0.7448152328811397,,
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,10884,08070402,t2c1,MEC LIII,2.1999999999999997,715,50.47358783926397,568.02,True,-0.26610094869094314,52.73755777432247,4.2900462191887385,9.568160551575701,1.2559283330131619,0.7914645721867031,11.0,24.0,,,0.91,0.7640945375481866,,
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,10884,08070402,t2c3,MEC LIII,2.1999999999999997,1095,50.47358783926397,568.02,True,0.18722583013449481,62.69968101992227,23.49856567595208,8.442510717155816,1.9234147197893878,0.29983772350619886,13.0,26.0,,,0.295,0.591508249955506,,
sub-10884/sub-10884_ses-08070402_behavior+ecephys.nwb,10884,08070402,t3c1,MEC LIII,2.1999999999999997,542,50.47358783926397,568.02,True,-0.03729630056216188,40.0,15.0,3.10713899512245,0.9520463727176696,0.20009082932456232,8.0,14.0,,,0.59,0.5045469312679957,,
sub-10884/sub-10884_ses-08070405_behavior+ecephys.nwb,10884,08070405,t4c2,MEC LIII,2.1999999999999997,178,51.09849878083184,558.02,True,-0.16261669616736607,69.32712311931024,13.495638618244968,3.085338467813102,0.3180275147330974,1.2696282478495795,13.0,36.0,,,0.825,0.6795981178014151,,
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,10884,09080404,t3c1,MEC LII,3.4,1297,52.091278178796,591.06,True,0.05635312179764465,80.15609770940699,26.42366562500264,17.43735246088138,2.1910264206562764,0.967266770937969,17.0,35.0,,,0.54,0.7395314050905342,,
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,10884,09080404,t3c2,MEC LII,3.4,735,52.091278178796,591.06,True,0.4717468060535901,74.20411039827914,17.818888914522773,13.161789853988312,1.241637948482932,1.7427420194453827,17.0,33.0,,,0.135,0.6696884213065215,,
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,10884,09080404,t3c3,MEC LII,3.4,538,52.091278178796,591.06,True,-0.14940767661755291,92.80355596635292,20.788973459183325,9.296091150351605,0.908845192222881,1.2416849041757627,22.0,37.0,,,0.82,0.6538983134087007,,
sub-10884/sub-10884_ses-09080404_behavior+ecephys.nwb,10884,09080404,t3c5,MEC LII,3.4,489,52.091278178796,591.06,True,-0.36666226025958437,84.59462157844315,25.840305454330576,3.0733189290421143,0.8260693289906854,0.145363730641944,18.0,40.0,,,0.99,0.6411724096241477,,
