session,area,task,n_units,acc,sd,chance,kind
754312389,VISam,orientation,10,0.244375,0.024831900126427876,0.25,shuffled
754312389,VISam,orientation,20,0.2452083333333333,0.020334656719229103,0.25,shuffled
754312389,VISam,orientation,40,0.24520833333333333,0.013602427785754512,0.25,shuffled
754312389,CA1,direction,5,0.14166666666666666,0.017460272366464136,0.125,observed
754312389,CA1,direction,10,0.14604166666666665,0.013015415539531058,0.125,observed
754312389,CA1,direction,20,0.16312500000000002,0.018623415294253154,0.125,observed
754312389,CA1,direction,40,0.19458333333333333,0.020374105297329435,0.125,observed
754312389,CA1,direction,80,0.19145833333333334,0.01983328956577804,0.125,observed
754312389,CA1,direction,5,0.12437499999999999,0.01794934036237667,0.125,shuffled
754312389,CA1,direction,10,0.13625,0.011924240017711816,0.125,shuffled
754312389,CA1,direction,20,0.11229166666666668,0.012773059213307776,0.125,shuffled
754312389,CA1,direction,40,0.12624999999999997,0.024519691633007486,0.125,shuffled
754312389,CA1,direction,80,0.12604166666666666,0.015941244113584375,0.125,shuffled
754312389,CA1,orientation,5,0.25354166666666667,0.030950649562381288,0.25,observed
754312389,CA1,orientation,10,0.25875000000000004,0.03367275110035807,0.25,observed
754312389,CA1,orientation,20,0.29333333333333333,0.04314864488666539,0.25,observed
754312389,CA1,orientation,40,0.3297916666666667,0.027098553415675544,0.25,observed
754312389,CA1,orientation,80,0.32729166666666665,0.017259005298362044,0.25,observed
754312389,CA1,orientation,5,0.26645833333333335,0.01680024594727377,0.25,shuffled
754312389,CA1,orientation,10,0.2633333333333333,0.014907119849998601,0.25,shuffled
754312389,CA1,orientation,20,0.24458333333333335,0.024815289865546826,0.25,shuffled
754312389,CA1,orientation,40,0.25979166666666664,0.018227678510685033,0.25,shuffled
754312389,CA1,orientation,80,0.25583333333333336,0.01707825127659934,0.25,shuffled
759883607,VISp,direction,5,0.30520833333333336,0.09473441494515074,0.125,observed
759883607,VISp,direction,10,0.43645833333333334,0.04228242920462876,0.125,observed
759883607,VISp,direction,20,0.581875,0.05715134330588097,0.125,observed
759883607,VISp,direction,40,0.77375,0.021630578920695663,0.125,observed
759883607,VISp,direction,5,0.13041666666666665,0.008025566785107597,0.125,shuffled
759883607,VISp,direction,10,0.12354166666666666,0.0155330628552989,0.125,shuffled
759883607,VISp,direction,20,0.11604166666666665,0.011545125835414512,0.125,shuffled
759883607,VISp,direction,40,0.12083333333333332,0.016223268611609817,0.125,shuffled
759883607,VISp,orientation,5,0.5191666666666667,0.12248866160678798,0.25,observed
759883607,VISp,orientation,10,0.6795833333333333,0.084757620109738,0.25,observed
759883607,VISp,orientation,20,0.82625,0.05472627593558492,0.25,observed
759883607,VISp,orientation,40,0.96625,0.018099838857477863,0.25,observed
759883607,VISp,orientation,5,0.2572916666666667,0.013487069424699606,0.25,shuffled
759883607,VISp,orientation,10,0.2558333333333333,0.02039539708420069,0.25,shuffled
759883607,VISp,orientation,20,0.25312500000000004,0.022797988154415933,0.25,shuffled
759883607,VISp,orientation,40,0.26416666666666666,0.01596437005055668,0.25,shuffled
759883607,VISal,direction,5,0.28229166666666666,0.030149367737980833,0.125,observed
759883607,VISal,direction,10,0.3408333333333333,0.04425306015783917,0.125,observed
759883607,VISal,direction,20,0.48416666666666663,0.027575653512957144,0.125,observed
759883607,VISal,direction,40,0.6245833333333333,0.021274495685366213,0.125,observed
759883607,VISal,direction,5,0.125625,0.012188835396925063,0.125,shuffled
759883607,VISal,direction,10,0.11916666666666667,0.018763883748662835,0.125,shuffled
759883607,VISal,direction,20,0.12354166666666666,0.014635323991402908,0.125,shuffled
759883607,VISal,direction,40,0.125625,0.01534187941188721,0.125,shuffled
759883607,VISal,orientation,5,0.49041666666666667,0.05987109996576906,0.25,observed
759883607,VISal,orientation,10,0.5820833333333333,0.07755710261908104,0.25,observed
759883607,VISal,orientation,20,0.7418750000000001,0.042159069638427464,0.25,observed
759883607,VISal,orientation,40,0.8791666666666667,0.017420454133639032,0.25,observed
