unit,cell_type,location,n_spikes,rate,mrl,pref_phase,rayleigh_p,mrl_shuffle
129,excitatory,rCA1,2146,2.0548698843129882,0.044174747929257664,-2.454569791492034,0.01518082244453426,0.009626285517554097
135,inhibitory,rCA1,10326,9.887505324052151,0.2490298885300404,-2.28873411076455,7.730770221536845e-279,0.011425147119134138
136,inhibitory,rCA1,28795,27.57221729673462,0.43230071966345507,-1.8584485868504579,0.0,0.007376639300165909
137,excitatory,rCA1,1691,1.6191915071636829,0.06467982556142975,-2.811470767981591,0.0008466150945659787,0.020599369101291624
140,inhibitory,rCA1,15335,14.683797612273848,0.16032703143529362,1.5918551637570917,6.437802558122897e-172,0.00891193214059004
143,excitatory,rCA1,1165,1.1155281524811889,0.07389522146014776,1.7729937439020365,0.00172679727186945,0.03442834393469322
144,excitatory,rCA1,199,0.1905494440718941,0.1308699188261201,-3.0629514946301324,0.033098735655175876,0.019130630008237542
145,excitatory,rCA1,1364,1.306077596553083,0.19147925776279173,-2.986444890835629,1.909341565738276e-22,0.01018353270692255
146,excitatory,rCA1,2205,2.111364443108173,0.12424801741741914,-1.0212252656185157,1.646966177232391e-15,0.022482504853430087
147,excitatory,rCA1,119,0.11394665248520298,0.18964055964513046,-2.059400074894155,0.013847348874988756,0.13649194122374547
148,excitatory,rCA1,1672,1.6009983441618436,0.5300625168159353,-1.93009411723354,9.528980422021313e-205,0.014884742912166604
151,excitatory,rCA1,2717,2.601622309262996,0.20635530334864807,-2.1238068528028307,5.669816521263114e-51,0.0072497331482934795
161,excitatory,rCA1,1965,1.8815560683480999,0.04147475707292639,-0.8054504312946823,0.03404386268209892,0.03144257735261113
163,excitatory,rCA1,1213,1.1614898274332035,0.11568011301358506,-2.067275716362141,8.921373696998698e-08,0.025918127439831528
168,inhibitory,rCA1,25806,24.710145496076876,0.4423099752353456,-1.9171406575816308,0.0,0.012867800904797664
169,excitatory,rCA1,442,0.4232304235164682,0.2319277747228212,-2.287080582641797,4.7258065977334284e-11,0.03753502723042337
171,excitatory,rCA1,1196,1.1452117342210317,0.25567727668018064,2.596862835880385,1.109969867242689e-34,0.02564661744194351
172,excitatory,rCA1,298,0.2853453986604243,0.08798014440309665,1.6079387124940603,0.09959226967200835,0.09023401094362528
173,excitatory,rCA1,2210,2.1161521175823412,0.126760999119178,2.290744174306251,3.782200579031577e-16,0.00927220878822219
175,excitatory,rCA1,1230,1.1777679206453755,0.14147971062217624,-2.075662490907194,2.0301923578393053e-11,0.02192829054262683
176,excitatory,rCA1,3687,3.5304311572516256,0.084586193131589,-1.6301453659190566,3.4944806805507356e-12,0.01956537258190903
177,excitatory,rCA1,736,0.704745682597558,0.0597639616084744,-2.400693090800581,0.072165434456846,0.04928142401387929
178,inhibitory,rCA1,19169,18.354986399066018,0.3030931282056464,1.3588574320002889,0.0,0.00819656476705635
179,excitatory,rCA1,1759,1.6843038800123702,0.13118585632434607,-2.5985083144970686,7.129764237460847e-14,0.03259637101656524
180,excitatory,rCA1,2915,2.7912142184400563,0.206014945038026,-3.1286626843148144,1.8602403109826658e-54,0.024027339922217204
181,excitatory,rCA1,2860,2.7385497992242063,0.06284323123201312,1.5829709207990372,1.2435974759449922e-05,0.044882244110777854
182,excitatory,rCA1,1964,1.8805985334532662,0.13665834879823124,-2.1395137661776453,1.176649567206044e-16,0.027050620581514712
183,excitatory,rCA1,2040,1.9533711854606226,0.11406722193280816,2.474730950121709,2.968051367346413e-12,0.016619353497610127
186,excitatory,rCA1,800,0.7660279158669109,0.09506358503501687,3.06157950839768,0.0007247613282170196,0.04976623594307606
201,excitatory,rCA1,1735,1.661323042536363,0.03596422526768348,-2.7195576329070166,0.10602363469039254,0.008663329490826132
202,excitatory,rCA1,958,0.9173184292506258,0.13346559330775976,-1.1024691129260613,3.8797272704120034e-08,0.04670769950105473
203,excitatory,rCA1,944,0.9039129407229548,0.05096507979191527,2.398175261305262,0.08612265704525587,0.02334149953515787
204,excitatory,rCA1,1111,1.0638212681601724,0.09717656992274985,1.917725484664352,2.7771771708588114e-05,0.01908100289653596
210,excitatory,rCA1,594,0.5687757275311813,0.06911833756786319,1.5903573847853336,0.05855770004090276,0.035525125114563405
211,excitatory,rCA1,817,0.7823060090790828,0.02642287055064057,1.3695539870207263,0.56529739244323,0.006590003066290643
214,inhibitory,rCA1,6953,6.657740123778289,0.019784968726516108,1.3663714405672969,0.0657617446413746,0.014835845431324848
215,excitatory,rCA1,1082,1.036052756209997,0.10554009190132174,2.703745783025469,5.832380625292837e-06,0.020736320378741995
216,excitatory,rCA1,1169,1.1193582920605234,0.3012906334702566,1.1165199764752736,8.201374898420156e-47,0.02491073217906745
217,excitatory,rCA1,1522,1.4573681099367979,0.18850236827679612,1.8695983978237318,3.2563235718438856e-24,0.021103782984389308
219,excitatory,rCA1,774,0.7411320086012363,0.05092217276869309,3.1295128460622283,0.13438662342675137,0.0054865194696135065
220,excitatory,rCA1,377,0.36099065535228175,0.06262151244068412,-0.42992403786886196,0.22800491567654774,0.04595536765595701
221,excitatory,rCA1,791,0.7574101018134081,0.1145878315307134,-1.4733391944402445,3.0857720866852186e-05,0.037254692970565884
222,excitatory,rCA1,2091,2.002205465097138,0.08674890388752333,-1.5244814350417875,1.4660066182467855e-07,0.030349505883072673
225,excitatory,rCA1,636,0.6089921931141942,0.26562559495533555,-1.5720550810958938,3.24617506971132e-20,0.05330307671462379
229,excitatory,rCA1,1660,1.58950792542384,0.08186601856500518,-1.898282942862874,1.4733382906815878e-05,0.011971098754820574
236,excitatory,rCA1,376,0.3600331204574481,0.1422217287204565,-2.413895166161938,0.0004977764062441229,0.06935792511826765
237,excitatory,rCA1,1432,1.3711899694017704,0.06194602559007373,-1.890030630016073,0.004107141284356336,0.037849508945420836
238,excitatory,rCA1,1090,1.043713035368666,0.14254272086129097,-3.1005697374047907,2.4079245768549705e-10,0.032004466324248644
240,excitatory,rCA1,2701,2.586301750945658,0.08898136491785653,-1.837797263647413,5.15614047414333e-10,0.024619195394830345
241,excitatory,rCA1,1104,1.057118523896337,0.2620792958851864,3.0113030887821717,1.169355537772056e-33,0.06416463047561084
242,excitatory,rCA1,984,0.9422143365163004,0.04980153147603904,-2.8317610847542145,0.08711645808610806,0.03454523520124624
250,inhibitory,rCA1,43746,41.888321509392355,0.25610151282234056,1.6270408824693081,0.0,0.007135224414416728
253,excitatory,rCA1,588,0.5630305181621795,0.10968266619352035,2.656072290640312,0.000847000806751387,0.03702924918542202
255,excitatory,rCA1,2060,1.9725218833572955,0.18640582249908053,-2.5343385677782617,8.195898227800552e-32,0.02980628140509268
256,inhibitory,rCA1,12679,12.140584931595704,0.4864811477127518,1.6884911837650718,0.0,0.01974997476662494
257,excitatory,rCA1,3168,3.033470546832967,0.10619327504149044,-2.5013650768288147,3.0519738225323163e-16,0.018020599382361776
258,excitatory,rCA1,2259,2.1630713274291895,0.16446816864244598,-1.5778847445362947,2.8989479259631962e-27,0.021136320890481237
259,excitatory,rCA1,5238,5.015567779138599,0.0364940786445114,-2.8888053550877157,0.0009339744166538096,0.011699791380861004
263,excitatory,rCA1,2295,2.1975425836432003,0.18379255423026913,0.6151718187405948,2.145719223760677e-34,0.03691397354419093
264,excitatory,rCA1,271,0.2594919564999161,0.0680932967853831,2.59640140545401,0.2846357730931994,0.059907833062450205
266,excitatory,rCA1,947,0.9067855454074557,0.16264667743382819,-2.143831727176971,1.3185771673565635e-11,0.034872540453575275
267,inhibitory,rCA1,2954,2.8285580793385683,0.24844875934759825,2.1826019186161223,6.461629511990479e-80,0.010243511837417467
268,excitatory,rCA1,2202,2.108491838423672,0.10260311157032981,-2.827356694514302,8.560037040597337e-11,0.01859786091953266
269,excitatory,rCA1,722,0.691340194069887,0.05854996724795467,-3.08563525598751,0.08415564853999435,0.046848907440940675
270,excitatory,rCA1,606,0.5802661462691849,0.09600515826877808,-2.332199913196021,0.0037518876548894085,0.03602863652831517
271,excitatory,rCA1,198,0.18959190917706042,0.1370403794140331,-2.6402911331972168,0.024271487127558923,0.05418673459066528
272,excitatory,rCA1,942,0.9019978709332875,0.0847334543338659,2.5136482297320093,0.0011553727001870518,0.02200002858293248
