,session,area,gosi,osi,gdsi,dsi,p,pref_ori,pref_dir,waveform_duration,sg_gosi,sg_pref_ori,pref_tf,pref_sf,peak_rate,blank_rate,group,responsive
950951902,715093703,VISrl,0.09439541489347592,0.10674533369089528,0.07498358124978421,0.1352562714725877,0.26073926073926074,21.75488930604167,46.400529853193405,0.700502512562814,0.09432342840914815,169.19238492280596,4.0,0.02,8.526181832682104,0.7826837891329721,HVA,True
950951940,715093703,VISrl,0.18865040345670456,0.2489956822336708,0.20316393010830797,0.4019291016804353,0.17482517482517482,117.31876593402204,152.56839452772093,0.741708542713568,0.2893524267465929,103.12014845502367,8.0,0.08,7.2605599700199095,0.8825997764480881,HVA,True
950951950,715093703,VISrl,0.7210951465869814,0.9036459034928821,0.08211358882770403,0.10533545965527834,0.000999000999000999,129.2294831813062,125.82618019739904,0.68676716917923,0.30128567702067455,119.33582320478996,4.0,0.08,13.455399936515956,0.6494568709811358,HVA,True
950951979,715093703,VISrl,0.7344187250671352,0.9270518844103994,0.6121499497164904,0.7192431607497419,0.000999000999000999,172.73935961530862,174.12741759305268,0.618090452261307,0.42993809651985965,165.12801610408712,2.0,0.04,18.15152246940681,0.3663616706080681,HVA,True
950952002,715093703,VISrl,0.5211984373633747,0.6962063179188829,0.534026019580159,0.6119429316448186,0.000999000999000999,158.50083387796823,155.64205047134732,0.576884422110553,0.5661131968620882,154.07146575860926,1.0,0.02,1.7985044105926637,0.26644468498833457,HVA,True
950952213,715093703,VISrl,0.40981792742629525,0.5952860730080172,0.28846934727116225,0.5065525468404556,0.000999000999000999,138.79810906563714,320.8105816029555,0.686767169179229,0.4651091513865535,121.65414771629383,1.0,0.04,12.855894193751313,2.098244385755087,HVA,True
950952241,715093703,VISrl,0.8948138447956485,0.9268288849168158,0.1965839437818075,0.21519407911893706,0.000999000999000999,46.13024229675757,32.1819513589764,0.65929648241206,0.651834328872283,54.57745466004961,1.0,0.04,1.5986619533182294,0.01665284480547894,HVA,True
950952256,715093703,VISrl,0.12980599441725024,0.23920004361247846,0.04784979149203255,0.20797091900657944,0.2007992007992008,1.3848282774737892,79.61122663409765,0.274706867671692,0.10478944836649329,31.415773660949753,2.0,0.04,16.153198397458844,4.0299714718441395,HVA,True
950952312,715093703,VISrl,0.06422183888405246,0.12974906144297677,0.02414402599238157,0.0644247714602831,0.03496503496503497,7.508797746454214,280.889133003257,0.947738693467337,0.1279375480206358,94.55971607281523,8.0,0.04,6.328052241360059,0.5162321990080667,HVA,True
950952336,715093703,VISrl,0.6463327902257449,0.9419350548815242,0.1071132817362379,0.14617914686714742,0.000999000999000999,88.38297345910686,81.12833204778782,0.810385259631491,0.5668919168485934,89.00793147741015,2.0,0.08,11.490350604579412,1.3821812936661257,HVA,True
950952386,715093703,VISrl,0.5874729748158931,0.7130822853076568,0.26045059884269556,0.3596042224575062,0.000999000999000999,126.7594439689432,126.3302220743076,0.673031825795645,0.5659222952513974,27.112583122227058,2.0,0.08,9.192321248913375,0.48292684222435706,HVA,True
950952704,715093703,LP,0.04690686800352158,0.07399290842096264,0.05494887507513038,1.9078898100112466e-06,0.5444555444555444,30.75103639165105,265.72328256834896,1.55209380234506,0.027296991255658373,171.23442149101027,2.0,0.02,8.45957727614454,6.794328068838905,LP,True
950952719,715093703,LP,0.046027159797520936,0.0860956815801564,0.04791867538623217,0.07926776117399788,0.4015984015984016,175.89607261566854,177.28140272652126,0.50820770519263,0.043953822917406765,170.37447327589342,2.0,0.04,11.790165038081687,7.926708287720915,LP,True
950952734,715093703,LP,0.11296694049611301,0.23302292202332417,0.07155881396480594,0.1720652502456334,0.000999000999000999,179.91332169214627,186.18068619062944,1.4284757118928,0.056015889198589346,169.2317094536622,15.0,0.02,27.110737003464973,15.570348912672682,LP,True
950952748,715093703,LP,0.10972350685987727,0.1684449642630377,0.06462855058125579,0.13503301921157312,0.03796203796203796,151.42270737555384,134.41624917906066,0.50820770519263,0.04830949057418436,163.71337084819515,2.0,0.02,10.35797230019398,7.277249420201406,LP,True
950952845,715093703,LP,0.1011616070699181,0.15753405652824184,0.06914944961292356,0.10295732728983738,0.02197802197802198,115.70834235781749,102.74486288006887,0.480737018425461,0.08202437407763351,11.619473828107326,4.0,0.16,15.520265172676478,8.276422937058364,LP,True
950952881,715093703,LGd,0.1906286998559554,0.2877195604220626,0.29052568174491966,0.5813954677206505,0.11688311688311688,154.9373274091823,67.95866382823931,0.50820770519263,0.3997164744877691,145.3014721465492,8.0,0.02,9.059126942807273,0.849292090137131,LGd,True
950952969,715093703,LGd,0.09221557192961458,0.16775344615112026,0.06884821849424881,0.13140351264339611,0.13186813186813187,177.56301610607306,157.6567110846371,0.412060301507538,0.10681105112900399,9.677265482912976,2.0,0.08,8.459615544292353,7.477086802406906,LGd,False
950953187,715093703,VISrl,0.1926705754160489,0.3396271713353796,0.2909692185605728,0.5774658590864123,0.08691308691308691,176.82999501016872,148.53146073129798,0.769179229480737,0.5941238343266766,168.79686845517617,4.0,0.02,1.8651179529395792,0.34970915857170126,HVA,True
950953417,715093703,VISrl,0.4533432656931976,0.6811590824721845,0.31476419217126805,0.4827578277241778,0.000999000999000999,37.83857657316958,222.88549334978583,0.65929648241206,0.43086615094315817,46.75146424252701,2.0,0.02,1.4321316754009945,0.13322176012171955,HVA,True
950955414,715093703,VISrl,0.058488776241221015,0.05697843048862465,0.03976828310497156,0.12453235419785263,0.18581418581418582,16.399533314256555,17.543729139860517,0.384589614740369,0.011886536606361894,27.392579556103353,1.0,0.32,14.887518966274957,12.023286562888918,HVA,True
950955543,715093703,VISrl,0.36729609223496196,0.5675226851670631,0.08576296358777988,0.0878438308686431,0.11388611388611389,139.94040443350053,329.8656580993333,0.123618090452261,0.06486124243483848,173.1631353487991,1.0,0.32,2.2980929159498538,1.6319647313305363,HVA,False
