event,start,end,n_active,n_bins,wc,p,abs_wc,significant
1267,23509.2456,23509.3576,28,6,-0.8576409671040347,0.005988023952095809,0.8576409671040347,True
1276,23632.3312,23632.4808,32,8,0.13782274238111702,0.6746506986027944,0.13782274238111702,False
1278,23637.36,23637.464,38,6,0.8500822878271057,0.007984031936127744,0.8500822878271057,True
1280,23642.5184,23642.6392,22,7,-0.16236172279855884,0.6107784431137725,0.16236172279855884,False
1287,23686.4272,23686.5384,28,6,-0.013244851850103562,0.9441117764471058,0.013244851850103562,False
1290,23689.8808,23689.9912,17,6,0.14688496000976087,0.6826347305389222,0.14688496000976087,False
1292,23695.6312,23695.7576,21,7,-0.5450183612160642,0.011976047904191617,0.5450183612160642,True
1297,23709.172,23709.2976,28,7,-0.7944591131525417,0.001996007984031936,0.7944591131525417,True
1298,23711.168,23711.3256,25,8,0.6137182766437432,0.031936127744510975,0.6137182766437432,True
1307,23744.2184,23744.3248,18,6,0.0778582937884764,0.7884231536926147,0.0778582937884764,False
1308,23748.0024,23748.1472,31,8,0.5063935913462431,0.043912175648702596,0.5063935913462431,True
1311,23759.5648,23759.7056,19,8,0.39408228304079246,0.03792415169660679,0.39408228304079246,True
1312,23760.0352,23760.1424,19,6,-0.38565522706200744,0.17964071856287425,0.38565522706200744,False
1313,23762.056,23762.1704,35,6,0.9302592154599868,0.001996007984031936,0.9302592154599868,True
1317,23784.3824,23784.4952,33,6,0.33055000140561774,0.2654690618762475,0.33055000140561774,False
1329,23800.2144,23800.3832,28,9,-0.06850320032498186,0.7744510978043913,0.06850320032498186,False
1334,23827.1936,23827.32,30,7,-0.46214294512651,0.0718562874251497,0.46214294512651,False
1335,23828.3504,23828.476,17,7,0.14550492635764978,0.36327345309381237,0.14550492635764978,False
1338,23843.1192,23843.248,28,7,-0.4855323145539688,0.041916167664670656,0.4855323145539688,True
1345,23854.1272,23854.24,20,6,0.4197617767148664,0.2315369261477046,0.4197617767148664,False
1349,23869.1256,23869.2104,22,5,-0.3491763041244904,0.3213572854291417,0.3491763041244904,False
1361,23907.3192,23907.4488,37,7,-0.280932750793469,0.29141716566866266,0.280932750793469,False
1367,23914.3648,23914.4768,30,6,0.0939312702872313,0.8223552894211577,0.0939312702872313,False
1370,23923.2328,23923.3488,23,6,0.7156125922291813,0.041916167664670656,0.7156125922291813,True
1372,23924.0976,23924.2096,32,6,-0.05400897915321764,0.8902195608782435,0.05400897915321764,False
1378,23953.9736,23954.144,44,9,-0.9595079610613473,0.001996007984031936,0.9595079610613473,True
1383,23961.9208,23962.0456,22,7,0.6096762875425821,0.043912175648702596,0.6096762875425821,True
1384,23969.528,23969.6264,20,5,-0.7848097906891879,0.001996007984031936,0.7848097906891879,True
1402,24202.772,24202.8896,17,6,-0.2577535213414771,0.499001996007984,0.2577535213414771,False
1404,24205.368,24205.4952,34,7,0.05156294335875554,0.8842315369261478,0.05156294335875554,False
1405,24207.9648,24208.0464,18,5,0.23035045693729078,0.41916167664670656,0.23035045693729078,False
1407,24211.5744,24211.6816,35,6,0.2495591223146574,0.4311377245508982,0.2495591223146574,False
1411,24239.1808,24239.3648,44,10,-0.15421482915819204,0.5369261477045908,0.15421482915819204,False
1414,24245.464,24245.6568,44,10,-0.43516930883642435,0.07584830339321358,0.43516930883642435,False
1416,24252.116,24252.2248,27,6,0.5548789447651479,0.08183632734530938,0.5548789447651479,False
1420,24257.2352,24257.3464,26,6,0.20971380902149422,0.5748502994011976,0.20971380902149422,False
1426,24264.3824,24264.5104,32,7,-0.6183776506557667,0.023952095808383235,0.6183776506557667,True
1428,24266.4912,24266.5944,32,6,-0.7880081445132656,0.03792415169660679,0.7880081445132656,True
1431,24275.4408,24275.5776,38,7,-0.8630728626771466,0.003992015968063872,0.8630728626771466,True
1432,24276.1512,24276.2792,20,7,0.08888968358995192,0.7005988023952096,0.08888968358995192,False
1434,24276.7152,24276.8,29,5,0.7942881522058446,0.007984031936127744,0.7942881522058446,True
1440,24290.9312,24291.0256,23,5,0.8726407432608718,0.001996007984031936,0.8726407432608718,True
1456,24323.9952,24324.1248,35,7,0.12653069862361283,0.7005988023952096,0.12653069862361283,False
1483,24357.6688,24357.7576,20,5,0.3361981854690229,0.2694610778443114,0.3361981854690229,False
1492,24363.2184,24363.3408,27,7,0.6452013277501427,0.021956087824351298,0.6452013277501427,True
1496,24373.4168,24373.516,17,5,0.358552408428771,0.07984031936127745,0.358552408428771,False
1500,24379.252,24379.3776,31,7,0.05683115657190757,0.8682634730538922,0.05683115657190757,False
1504,24381.6184,24381.7656,32,8,0.7488875839383677,0.001996007984031936,0.7488875839383677,True
1523,24417.4584,24417.5632,34,6,-0.7211801565072201,0.041916167664670656,0.7211801565072201,True
1528,24478.3232,24478.468,26,8,-0.09022711290497978,0.7664670658682635,0.09022711290497978,False
1534,24624.2904,24624.4288,38,7,0.6236652901066327,0.07984031936127745,0.6236652901066327,False
1537,24633.8224,24633.9088,16,5,-0.096387665487358,0.6926147704590818,0.096387665487358,False
1539,24637.0728,24637.2144,38,8,-0.34211281870173527,0.1996007984031936,0.34211281870173527,False
1540,24643.82,24643.94,35,7,-0.9255153943679454,0.001996007984031936,0.9255153943679454,True
1544,24671.5112,24671.7296,44,11,0.4856004680939617,0.043912175648702596,0.4856004680939617,True
1546,24678.492,24678.6408,31,8,0.21201672230035482,0.5289421157684631,0.21201672230035482,False
1548,24682.3984,24682.5168,31,6,-0.8951905930647807,0.001996007984031936,0.8951905930647807,True
1556,24828.7024,24828.8208,25,6,-0.1880762916734119,0.5668662674650699,0.1880762916734119,False
1561,24863.6264,24863.7384,32,6,-0.41389858649397854,0.18363273453093812,0.41389858649397854,False
1563,24864.04,24864.1552,28,6,0.5891284831147096,0.06786427145708583,0.5891284831147096,False
1577,24908.9872,24909.2296,45,13,0.13040652554564666,0.562874251497006,0.13040652554564666,False
1586,24920.6832,24920.8544,42,9,0.6539010071179441,0.001996007984031936,0.6539010071179441,True
1587,24926.4712,24926.58,33,6,0.20551723061263946,0.5369261477045908,0.20551723061263946,False
1597,24935.4936,24935.588,34,5,-0.8144214676455412,0.04590818363273453,0.8144214676455412,True
1599,24939.5264,24939.6352,33,6,0.9526484803047875,0.001996007984031936,0.9526484803047875,True
1624,24970.4832,24970.6328,42,8,-0.6697045937519343,0.023952095808383235,0.6697045937519343,True
1638,24984.6328,24984.7496,23,6,0.03850389696934974,0.9321357285429142,0.03850389696934974,False
1659,25005.3632,25005.484,23,7,0.15887580075840396,0.590818363273453,0.15887580075840396,False
1660,25006.1624,25006.304,30,8,0.21441861787259867,0.41317365269461076,0.21441861787259867,False
