session,unit,n_spikes,rate,mrl,mrl_unbiased,pref_phase,rayleigh_z,rayleigh_p,mrl_null_mean,mrl_null_p95,mrl_z,shuffle_p,burst,cell_type,mrl_cooled,pref_phase_cooled,n_spikes_cooled,rate_cooled,mrl_null_cooled,shuffle_p_cooled
Peter-MS21-180628-155921-concat,1715,13487,10.676670507178066,0.14863826314176845,0.14839413917182445,3.3216218289584094,297.9727858098142,2.6636553599354365e-130,0.009829564574701712,0.018974945471605317,27.729994118011003,0.004975124378109453,1.5593869731800767,interneuron,0.31049496320459485,3.4081539617036394,2153.0,8.734676788559968,0.024299032041567577,0.004975124378109453
Peter-MS21-180628-155921-concat,1738,4463,3.5330303606091578,0.07928943258772386,0.07787238497110037,0.8317886233888062,28.058051417931352,6.261778175357485e-13,0.013179369770083446,0.027653112636304607,9.632610847218622,0.004975124378109453,0.0,pyramidal,0.260141821387513,1.1671061013046113,818.0,3.3186092025276603,0.03126524655189042,0.004975124378109453
Peter-MS21-180628-155921-concat,1745,2943,2.3297576408856715,0.021677297696925984,0.011408774336019098,4.6438813028783565,1.382931107903312,0.25086041776819673,0.020065238760901268,0.03839503581247707,0.15259044935980182,0.39800995024875624,1.0944081336238198,pyramidal,0.06726972869595628,5.822275916377333,1289.0,5.229446530633441,0.0319879210437354,0.029850746268656716
Peter-MS21-180628-155921-concat,1752,7413,5.8683293890198716,0.21927545505792465,0.21898240990991047,1.4458806059987421,356.4298288398447,9.13010217736577e-155,0.012226868807955007,0.02396325112443922,31.239535695468383,0.004975124378109453,0.9660678642714571,pyramidal,0.44002858287915775,1.7040580286429543,1670.0,6.775155706871874,0.02603795249916269,0.004975124378109453
Peter-MS21-180628-155921-concat,1761,2008,1.589586592897869,0.1276035368243501,0.12566829131676352,5.121018578012997,32.69558652104721,5.5696397105353845e-15,0.024438610423364277,0.04582436336353722,7.892327743050932,0.004975124378109453,3.0380952380952375,pyramidal,0.17255560564341077,5.598033002934761,391.0,1.5862789708903609,0.05863780544412618,0.004975124378109453
Peter-MS21-180628-155921-concat,1769,1766,1.398012909889261,0.09767761309764413,0.09476154009238107,4.029516425820416,16.849257833400102,4.645141731590405e-08,0.023558456734382772,0.044961356409049705,6.302224629912346,0.004975124378109453,2.1256038647342996,pyramidal,0.036460114108024834,0.2642985966767442,514.0,2.085287445109068,0.04053283883337668,0.5572139303482587
Peter-MS21-180628-155921-concat,1774,2993,2.3693389803502596,0.05054419280963196,0.047131143382965646,4.740813071817637,7.646263272344313,0.0004761039917035288,0.017943083175001973,0.0342864875758344,3.348180084804579,0.009950248756218905,1.9592875318066152,pyramidal,0.020156087536778323,1.3120925165665898,359.0,1.4564556280041934,0.04749834123582053,0.845771144278607
Peter-MS21-180628-155921-concat,1797,1304,1.0322813332364646,0.07191180307930539,0.06639138862712189,5.638646965692371,6.7433848784403025,0.0011714256362937963,0.029137727546656614,0.06187550197555426,2.6503125023348133,0.01990049751243781,2.318627450980392,pyramidal,0.19220204302899913,5.715135504061552,202.0,0.8195098519689333,0.07997188822628806,0.004975124378109453
Peter-MS21-180628-155921-concat,1825,792,0.6269684171190798,0.06867410997800631,0.058803682878364516,5.67473103046215,3.7351776379668746,0.023820038492006874,0.04048170579341614,0.07632471338134422,1.3834801550047082,0.09950248756218906,3.788888888888889,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1831,1091,0.8636648271173182,0.04460346934344195,0.032769856364749196,0.12231051335571091,2.17051119992126,0.11410958362469917,0.03345712316917751,0.0615965199579736,0.6861373912838911,0.208955223880597,3.4941176470588236,pyramidal,0.09720124694786857,5.272675010314033,216.0,0.8763075644816316,0.0805021819277581,0.2885572139303483
