session,unit,n_cooled,n_normal,rate_cooled,rate_normal,mrl_cooled_matched,mrl_normal_matched,mrl_cooled,mrl_normal,pref_cooled,pref_normal,rayleigh_p_cooled
Peter-MS21-180628-155921-concat,2089,612,6249,2.4828714326979564,4.946875806284254,0.06249005954437618,0.07497560537585145,0.062490059544376156,0.04742409880940669,5.207651903531344,5.765169700872709,0.09160717028629527
Peter-MS21-180629-110332-concat,1026,2439,23269,6.779858427716361,21.70065564069929,0.1360819553534281,0.09168312990406195,0.13608195535342807,0.05451175386779855,2.7842231249208074,2.548861280050959,1.9833523126546483e-20
Peter-MS21-180629-110332-concat,1067,13932,46629,38.72775219964918,43.486177827588946,0.20648756707218802,0.1107969572201503,0.206487567072188,0.10316873271878085,3.46591416766009,3.58047693626521,1.5141700304178366e-257
Peter-MS21-180629-110332-concat,1068,263,150,0.7310794450551058,0.13988991130280173,0.18431779230500975,0.23876741630581044,0.16674454639718558,0.20605721788247655,3.299073781986166,5.559841105814345,0.0006426832371121583
Peter-MS21-180629-110332-concat,1138,571,2740,1.5872485289979672,2.555322379797845,0.11083488981830987,0.07118571328264009,0.1108348898183099,0.055969300075611544,3.6606338011894795,2.8886632234921974,0.0008850415966539475
Peter-MS21-180629-110332-concat,1157,2707,11044,7.524836721536773,10.299627869520949,0.05388474228428005,0.1204252507529715,0.05388474228428005,0.08069157874282282,1.183330595532832,1.0059558015315224,0.0003842520418617049
Peter-MS21-180629-110332-concat,1176,5801,22197,16.125444337508245,20.700909074588598,0.20517244709479074,0.07110966476723139,0.20517244709479077,0.07949981859701871,3.189241793092201,3.509892724280182,1.4497049548657862e-106
Peter-MS21-180629-110332-concat,1190,9527,31217,26.482866437414422,29.11295574093041,0.3082684728556683,0.14823561982867445,0.3082684728556683,0.15907388552948748,4.482131024536923,4.588937934888486,0.0
Peter-MS21-180629-110332-concat,1194,843,2998,2.343345901830624,2.795933027238664,0.14309607948893172,0.07769304406738937,0.14092294271454495,0.09637452077564702,5.191781090512125,4.738760411009361,4.9795743959465254e-08
Peter-MS21-180629-110332-concat,1223,351,524,0.9756991833244948,0.4886820901511207,0.21585847866169358,0.14895872515984265,0.20974050723586443,0.054442316706795536,5.926114205458383,5.083733592351553,1.692026420435502e-07
Peter-MS21-180629-110332-concat,1234,281,832,0.7811153006102081,0.7759227080262069,0.26433792265843403,0.10951734955045662,0.2643379226584339,0.09765552647074105,3.60590348027537,4.1874472970325725,2.161138824237207e-09
Peter-MS21-180629-110332-concat,1242,624,1582,1.734576325910213,1.4753722645402154,0.05030127935885855,0.06610591941606343,0.049094346268022754,0.06485724412893659,4.0538461558867205,5.075868477226647,0.2223061608617975
