session,center,auc,null_mean,z
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.85,0.40911820253521075,0.5224937626576726,-1.6341000095422984
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.8,0.47357383137608544,0.5052493474665404,-0.4350588195226789
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.75,0.5337409516072426,0.5146161234990282,0.25063671253967235
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.7,0.4836557052566273,0.5211076533631241,-0.4542656159572503
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.65,0.46884098617961323,0.5184174363419087,-0.6236868049809355
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.6,0.4017227985286387,0.504015961990186,-1.5769829267562523
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.55,0.48311787622238445,0.5087222262066372,-0.38035962672714374
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.5,0.5135764918372501,0.5219953461860868,-0.10884686625794097
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.45,0.5527933685823031,0.5182889464784884,0.46985770597244797
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.4,0.557661877272533,0.5238261599215717,0.4361106113456565
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.35,0.5773197903730691,0.5143018578520369,0.7812978747105114
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.3,0.45122048757550803,0.5279206083114041,-1.1798796695745288
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.25,0.42345559551246026,0.5200245404294963,-1.243969434977052
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.2,0.3998487633195625,0.5239784488866931,-1.3893911472593587
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.15,0.4597478075398157,0.5341409794920005,-1.006261643855252
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.1,0.4475008205233615,0.512369839753268,-0.8554163114386402
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.05,0.4700512636936818,0.5263581827374922,-0.7615511141110987
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.0,0.4932551329144568,0.5218077776404388,-0.37655241596509553
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.05,0.5340023807697989,0.5293481211278642,0.05893992266113877
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.1,0.6294988682386223,0.5118610914596293,1.7241126438862102
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.15,0.6655303727204342,0.5345000177157522,1.6897027598353567
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.2,0.6903069539929171,0.5338299193315476,2.1215999220701764
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.25,0.7430674555392792,0.5276374765698608,3.0501371293121204
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.3,0.7006452476636903,0.5340603219720412,2.2355777988849805
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.35,0.6839716863154364,0.5233348612619139,2.2196679650308493
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.4,0.5988154179393933,0.5386293874790958,0.9126308980523931
32d27583-56aa-4510-bc03-669036edad20,-1.1,0.49370504927367614,0.5006958570998841,-0.12826933355155867
32d27583-56aa-4510-bc03-669036edad20,-1.05,0.48245887335878,0.5001105180874732,-0.38466837846837776
32d27583-56aa-4510-bc03-669036edad20,-1.0,0.49453334812846234,0.4912987023393241,0.05680479334553139
32d27583-56aa-4510-bc03-669036edad20,-0.95,0.4854383994922031,0.48130035373461544,0.08502627759976018
32d27583-56aa-4510-bc03-669036edad20,-0.9,0.45587864094298386,0.5005592033003632,-0.856822579008721
32d27583-56aa-4510-bc03-669036edad20,-0.85,0.48417065841050627,0.4950520926026815,-0.20975424451302088
32d27583-56aa-4510-bc03-669036edad20,-0.8,0.5276970883525017,0.48999551927708246,0.7367140520438787
32d27583-56aa-4510-bc03-669036edad20,-0.75,0.5178607562027024,0.49317432330817185,0.43568072812530034
32d27583-56aa-4510-bc03-669036edad20,-0.7,0.5416659979782115,0.49313198834861427,0.9059090450167704
