session,group,n_units,rep,accuracy,shuffled
715093703,LGd,4,11,0.44823529411764707,0.22064425770308124
715093703,LGd,4,12,0.4633193277310924,0.26579831932773107
715093703,LGd,4,13,0.391344537815126,0.2357563025210084
715093703,LGd,4,14,0.46648459383753504,0.2574789915966387
715093703,LGd,8,0,0.8210504201680673,0.24914565826330531
715093703,LGd,8,1,0.6888515406162465,0.2742577030812325
715093703,LGd,8,2,0.6355042016806722,0.2574789915966387
715093703,LGd,8,3,0.6521428571428572,0.23911764705882352
715093703,LGd,8,4,0.7725490196078431,0.24746498599439776
715093703,LGd,8,5,0.7273249299719888,0.24901960784313731
715093703,LGd,8,6,0.5887114845938375,0.28759103641456585
715093703,LGd,8,7,0.662170868347339,0.23081232492997197
715093703,LGd,8,8,0.7007002801120448,0.2223669467787115
715093703,LGd,8,9,0.7341316526610644,0.24739495798319328
715093703,LGd,8,10,0.732436974789916,0.2708543417366947
715093703,LGd,8,11,0.7409103641456583,0.25915966386554623
715093703,LGd,8,12,0.5350560224089635,0.2223669467787115
715093703,LGd,8,13,0.5951680672268906,0.2676190476190476
715093703,LGd,8,14,0.6320728291316527,0.2657983193277311
715093703,LGd,16,0,0.7860084033613445,0.23406162464985997
715093703,LGd,16,1,0.7606862745098039,0.29093837535014005
715093703,LGd,16,2,0.8211064425770308,0.2257703081232493
715093703,LGd,16,3,0.8477591036414566,0.24572829131652663
715093703,LGd,16,4,0.8327030812324929,0.26596638655462185
715093703,LGd,16,5,0.837843137254902,0.24406162464985992
715093703,LGd,16,6,0.7442156862745098,0.2341736694677871
715093703,LGd,16,7,0.8043417366946779,0.24753501400560224
715093703,LGd,16,8,0.7475910364145658,0.2826190476190476
715093703,LGd,16,9,0.8211064425770307,0.23585434173669467
715093703,LGd,16,10,0.7943137254901961,0.2207422969187675
715093703,LGd,16,11,0.805966386554622,0.24240896358543415
715093703,LGd,16,12,0.8545658263305322,0.2573809523809524
715093703,LGd,16,13,0.7541176470588236,0.23747899159663866
715093703,LGd,16,14,0.7608403361344538,0.23242296918767508
715093703,LGd,32,0,0.89296918767507,0.26768907563025207
715093703,LGd,32,1,0.8777450980392156,0.23247899159663868
715093703,LGd,32,2,0.8862745098039216,0.2676190476190476
715093703,LGd,32,3,0.9181372549019609,0.2592016806722689
715093703,LGd,32,4,0.876204481792717,0.27757703081232493
715093703,LGd,32,5,0.9163865546218487,0.26753501400560226
715093703,LGd,32,6,0.9114425770308123,0.23065826330532216
715093703,LGd,32,7,0.8946218487394958,0.2592717086834734
715093703,LGd,32,8,0.9314425770308123,0.24746498599439776
715093703,LGd,32,9,0.918109243697479,0.2123389355742297
715093703,LGd,32,10,0.8730392156862745,0.24095238095238097
715093703,LGd,32,11,0.9163585434173669,0.2442156862745098
715093703,LGd,32,12,0.9147899159663867,0.257563025210084
715093703,LGd,32,13,0.9230812324929973,0.2507843137254902
715093703,LGd,32,14,0.9146778711484593,0.2626330532212885
